KKB IN Equity,price,volume,mc,pe,bm,div
1995-01-31,11.43,,,,,0.0
1995-02-28,10.16,,,,,0.0
1995-03-31,9.52,,,,,0.0
1995-04-30,9.84,,,,,0.0
1995-05-31,8.51,,,,,0.0
1995-06-30,8.89,,,,,0.0
1995-07-31,8.25,,,,,0.0
1995-08-31,9.52,,,,,0.0
1995-09-30,10.29,,,,,0.5714
1995-10-31,10.79,,,,,0.5714
1995-11-30,8.63,,,,,0.5714
1995-12-31,7.62,,,,,0.5714
1996-01-31,6.92,,,,,0.5714
1996-02-29,7.78,,,,,0.5714
1996-03-31,6.35,,,,,0.5714
1996-04-30,6.92,,,,,0.5714
1996-05-31,6.92,24412.0,,,,0.5714
1996-06-30,6.46,39375.0,512.413,,,0.5714
1996-07-31,5.71,64575.0,453.24,,,0.254
1996-08-31,9.38,102659.0,744.069,,,0.254
1996-09-30,6.63,285752.0,526.262,,,0.254
1996-10-31,6.35,46903.0,503.6,,,0.254
1996-11-30,6.16,36225.0,488.492,,,0.254
1996-12-31,7.91,35361.0,627.4856,,,0.254
1997-01-31,8.47,38588.0,671.5506,,,0.254
1997-02-28,7.11,13781.0,564.032,,,0.254
1997-03-31,7.47,24098.0,592.2336,,,0.254
1997-04-30,5.98,41535.0,474.1394,,,0.254
1997-05-31,5.51,32490.0,437.1248,,,0.254
1997-06-30,5.87,332978.0,465.366,,,0.254
1997-07-31,7.16,73283.0,567.6055,,,0.254
1997-08-31,6.71,123188.0,532.3505,,,0.3556
1997-09-30,6.22,54000.0,493.57,,,0.3556
1997-10-31,5.87,111960.0,458.315,,,0.3556
1997-11-30,5.33,129960.0,423.06,,,0.3556
1997-12-31,5.71,81158.0,453.0268,,,0.3556
1998-01-31,4.89,22388.0,387.805,,,0.3556
1998-02-28,4.51,66195.0,357.8383,,,0.3556
1998-03-31,5.42,87818.0,430.111,,,0.3556
1998-04-30,5.33,194884.0,423.06,,,0.3556
1998-05-31,5.16,77884.0,408.958,,,0.3556
1998-06-30,4.72,71100.0,374.0556,,,0.3556
1998-07-31,4.18,81641.0,331.397,,,0.3556
1998-08-31,4.72,57375.0,374.0556,,,0.3556
1998-09-30,4.42,84881.0,350.7873,,,0.3556
1998-10-31,4.09,41288.0,324.346,,,0.3556
1998-11-30,4.0,67523.0,317.295,,,0.3556
1998-12-31,3.92,106279.0,310.5966,,,0.3556
1999-01-31,4.08,112579.0,323.6409,,,0.3556
1999-02-28,4.82,200993.0,382.5168,,,0.3556
1999-03-31,5.78,186368.0,458.315,,,0.3556
1999-04-30,5.29,88009.0,419.5345,,,0.3556
1999-05-31,5.5,101306.0,436.1044,,,0.3556
1999-06-30,5.47,201949.0,433.6365,,,0.3556
1999-07-31,7.38,337354.0,585.233,,,0.4
1999-08-31,6.58,394853.0,521.774,,,0.4
1999-09-30,6.15,364106.0,487.9292,,,0.4
1999-10-31,6.8,522821.0,539.7541,,,0.4
1999-11-30,6.76,95625.0,535.876,,,0.4
1999-12-31,6.13,198011.0,486.519,,,0.4
2000-01-31,5.89,119588.0,467.1288,,,0.4
2000-02-29,3.89,128025.0,308.4813,,,0.4
2000-03-31,4.4,92813.0,349.0245,,,0.4
2000-04-30,4.44,44888.0,352.55,,,0.4
2000-05-31,4.37,41063.0,338.448,,,0.4
2000-06-30,4.78,54563.0,,,,0.4
2000-07-31,4.57,77524.0,,,,0.4
2000-08-31,3.83,12060.0,,,,0.4
2000-09-30,4.89,115009.0,,,,0.4
2000-10-31,4.18,25898.0,,,,0.4
2000-11-30,4.67,33863.0,,,,0.4
2000-12-31,4.4,159806.0,,,,0.4
2001-01-31,4.13,61841.0,,,,0.4
2001-02-28,3.91,55406.0,,,,0.4
2001-03-31,3.62,40939.0,,,,0.4
2001-04-30,3.2,255859.0,,,,0.4
2001-05-31,3.56,234315.0,,,,0.4
2001-06-30,3.83,208328.0,,,,0.4
2001-07-31,4.17,106808.0,,,,0.0
2001-08-31,3.56,124571.0,,,,0.4
2001-09-30,3.66,282870.0,,,,0.4
2001-10-31,3.75,80348.0,,,,0.4
2001-11-30,4.38,227149.0,,,,0.4
2001-12-31,4.42,133031.0,,,,0.4
2002-01-31,4.24,69604.0,,,,0.4
2002-02-28,4.36,936259.0,,,,0.4
2002-03-31,4.37,90203.0,,1.1364,0.1801,0.4
2002-04-30,5.24,139163.0,,1.3628,0.2159,0.4
2002-05-31,5.33,264566.0,,1.3847,0.2194,0.4
2002-06-30,5.7,204379.0,,1.4806,0.2346,0.4
2002-07-31,6.09,235069.0,,1.5822,0.2507,0.4
2002-08-31,7.15,208091.0,,1.8582,0.2945,0.4
2002-09-30,8.55,366795.0,,2.222,0.3521,0.4
2002-10-31,9.76,2399175.0,,2.535,0.4017,0.4
2002-11-30,9.94,2292379.0,,2.5823,0.4092,0.4
2002-12-31,7.85,557381.0,,2.0395,0.3232,0.4
2003-01-31,9.14,178830.0,,2.3756,0.3764,0.4
2003-02-28,9.24,66870.0,,2.4022,0.3806,0.4
2003-03-31,6.87,233753.0,,2.1872,0.2376,0.4
2003-04-30,9.16,130804.0,,2.9143,0.3166,0.4
2003-05-31,9.78,1531069.0,,3.1124,0.3382,0.4
2003-06-30,10.68,1644131.0,,3.3996,0.3694,0.4
2003-07-31,12.02,1078763.0,,3.8268,0.4158,0.4
2003-08-31,13.47,791843.0,,4.2866,0.4657,0.4
2003-09-30,13.83,273116.0,,4.4012,0.4782,0.4
2003-10-31,24.72,1834200.0,,7.8701,0.8551,0.4
2003-11-30,36.89,2403158.0,,11.7422,1.2758,0.4
2003-12-31,31.05,1331629.0,,9.8846,1.074,0.8889
2004-01-31,30.25,3162398.0,,9.63,1.0463,0.8889
2004-02-29,26.67,1220839.0,,8.4883,0.9223,0.8889
2004-03-31,26.4,1346850.0,,5.8386,0.8441,0.8889
2004-04-30,29.99,907200.0,,6.6328,0.9589,0.8889
2004-05-31,30.22,1394843.0,,6.6839,0.9663,0.8889
2004-06-30,32.0,764483.0,,7.0771,1.0232,0.8889
2004-07-31,44.02,1559216.0,,9.7359,1.4076,1.7778
2004-08-31,43.88,1249740.0,,9.7044,1.403,1.7778
2004-09-30,45.35,446299.0,,10.0298,1.4501,1.7778
2004-10-31,46.74,636604.0,,10.3375,1.4946,1.7778
2004-11-30,49.19,872786.0,,10.8781,1.5727,1.7778
2004-12-31,65.05,937519.0,,14.3871,2.08,1.7778
2005-01-31,69.99,813803.0,,15.4792,2.2379,1.7778
2005-02-28,76.88,1763696.0,,17.0037,2.4583,1.7778
2005-03-31,80.81,538459.0,,9.6301,2.197,1.7778
2005-04-30,111.97,373894.0,,13.344,3.0443,1.7778
2005-05-31,141.93,451373.0,,16.9138,3.8587,1.7778
2005-06-30,155.57,377663.0,,18.5398,4.2297,1.7778
2005-07-31,206.35,548741.0,,24.5905,5.6101,2.6667
2005-08-31,223.76,682009.0,,26.6652,6.0834,2.6667
2005-09-30,273.76,1795541.0,,32.6237,7.4428,2.6667
2005-10-31,280.0,398266.0,,33.3679,7.6126,2.6667
2005-11-30,346.53,2708847.0,,41.2967,9.4215,2.6667
2005-12-31,360.27,1370160.0,,42.9334,9.7948,2.6667
2006-01-31,435.87,853060.0,,51.9427,11.8502,1.7778
2006-02-28,414.33,655317.0,,49.3765,11.2648,4.4444
2006-03-31,520.2,1017655.0,,20.5578,9.3333,4.4444
2006-04-30,659.87,1233776.0,51845.7072,26.0773,11.8392,4.4444
2006-05-31,556.33,499256.0,44130.1945,21.9858,9.9816,4.4444
2006-06-30,489.6,1101564.0,38836.6865,19.3485,8.7843,4.4444
2006-07-31,481.6,620823.0,38202.1001,19.0324,8.6408,5.3333
2006-08-31,492.33,518084.0,39053.5035,19.4566,8.8333,5.3333
2006-09-30,527.73,556745.0,41861.5482,20.8555,9.4685,5.3333
