KMB IN Equity,price,volume,mc,pe,bm,div
1995-01-31,2.4,,,,,0.008
1995-02-28,2.31,,,,,0.008
1995-03-31,2.22,,,,,0.008
1995-04-30,1.78,,,,,0.008
1995-05-31,1.82,,,,,0.008
1995-06-30,1.61,,,,,0.008
1995-07-31,1.71,,,,,0.008
1995-08-31,1.45,,,,,0.016
1995-09-30,1.35,,,,,0.016
1995-10-31,1.35,,,,,0.016
1995-11-30,1.01,,,,,0.016
1995-12-31,1.06,,,,,0.016
1996-01-31,0.85,,,,,0.016
1996-02-29,1.02,,,,,0.016
1996-03-31,0.92,,,,,0.016
1996-04-30,0.96,,,,,0.016
1996-05-31,0.88,3450186.0,,,,0.016
1996-06-30,0.79,11373253.0,,,,0.016
1996-07-31,0.8,36850688.0,,,,0.016
1996-08-31,0.95,36805734.0,,,,0.016
1996-09-30,0.68,99853114.0,,,,0.016
1996-10-31,0.67,3877582.0,,,,0.016
1996-11-30,0.5,8597482.0,,,,0.016
1996-12-31,0.63,5126393.0,,,,0.016
1997-01-31,0.59,10070161.0,,,,0.016
1997-02-28,0.59,5542663.0,,,,0.016
1997-03-31,0.47,12531369.0,,,,0.016
1997-04-30,0.47,14386378.0,,,,0.016
1997-05-31,0.36,10653996.0,,,,0.016
1997-06-30,0.36,25691077.0,,,,0.016
1997-07-31,0.44,4034583.0,,,,0.016
1997-08-31,0.4,17419508.0,,,,0.016
1997-09-30,0.36,33445455.0,,,,0.016
1997-10-31,0.33,7080861.0,,,,0.016
1997-11-30,0.27,28174649.0,,,,0.016
1997-12-31,0.24,6653802.0,,,,0.016
1998-01-31,0.21,46774188.0,,,,0.016
1998-02-28,0.19,22572311.0,,,,0.016
1998-03-31,0.23,31647312.0,,,,0.016
1998-04-30,0.28,22038487.0,,,,0.016
1998-05-31,0.24,7834508.0,,,,0.016
1998-06-30,0.21,14194764.0,,,,0.016
1998-07-31,0.2,3843530.0,,,,0.016
1998-08-31,0.2,5023561.0,,,,0.016
1998-09-30,0.19,4383872.0,771.33,,,0.016
1998-10-31,0.18,4135728.0,734.6,,,0.016
1998-11-30,0.17,3540094.0,683.178,,,0.016
1998-12-31,0.17,4787555.0,708.889,,,0.016
1999-01-31,0.18,6035017.0,725.4175,,,0.016
1999-02-28,0.17,9294150.0,697.87,,,0.016
1999-03-31,0.16,12204894.0,668.486,,,0.016
1999-04-30,0.13,5135945.0,550.95,,,0.016
1999-05-31,0.16,21847434.0,675.832,,,0.016
1999-06-30,0.16,10743903.0,672.159,,,0.016
1999-07-31,0.24,31557405.0,973.345,,,0.0107
1999-08-31,0.32,32186755.0,1333.299,,,0.0107
1999-09-30,0.39,24044540.0,1617.9565,,,0.0107
1999-10-31,0.51,59836347.0,2100.956,,,0.0107
1999-11-30,0.75,44528195.0,3079.8105,,,0.0107
1999-12-31,1.84,65584222.0,7603.1099,,,0.0107
