LAURUS IN Equity,price,volume,mc,pe,bm,div
2016-12-31,96.17,161261485.0,50852.8921,22.5012,0.9595,0.0
2017-01-31,94.95,23486460.0,50207.779,22.2157,0.9473,0.0
2017-02-28,101.99,57432575.0,53930.3989,23.8629,1.0175,0.0
2017-03-31,103.24,16547495.0,54591.3755,24.8412,4.1032,0.0
2017-04-30,103.98,17080680.0,54982.6736,25.0192,4.1326,0.0
2017-05-31,114.5,20578475.0,60545.4523,27.5505,4.5508,0.0
2017-06-30,123.03,24657295.0,65055.9562,29.603,4.8898,0.0
2017-07-31,116.14,11674610.0,61412.6535,27.9451,4.6159,0.3
2017-08-31,105.47,9355175.0,55770.5576,25.3778,4.1919,0.3
2017-09-30,101.43,13786885.0,53634.2814,24.4057,4.0313,0.3
2017-10-31,107.68,6952180.0,56939.1642,25.9095,4.2797,0.3
2017-11-30,105.08,12482070.0,55708.0301,25.2839,4.1764,0.3
2017-12-31,108.58,18364425.0,57563.5507,26.1261,4.3155,0.3
2018-01-31,103.32,12342565.0,54774.9683,24.8604,4.1064,0.3
2018-02-28,108.71,10748650.0,57632.4701,26.1574,4.3206,0.3
2018-03-31,100.57,6939700.0,53317.0593,31.7656,3.5961,0.3
2018-04-30,102.26,22722880.0,54213.0107,32.2994,3.6565,0.3
2018-05-31,94.39,10049230.0,50040.74,29.8136,3.3751,0.3
2018-06-30,92.38,8724605.0,48975.1411,29.1788,3.3032,0.3
2018-07-31,90.94,2189380.0,48211.7269,28.7239,3.2518,0.3
2018-08-31,87.69,20559250.0,46488.7434,27.6974,3.1355,0.3
2018-09-30,86.54,10077670.0,45879.0724,27.3342,3.0944,0.3
2018-10-31,68.17,12803085.0,36140.2399,21.5319,2.4376,0.3
2018-11-30,76.8,3965490.0,40871.7116,24.2577,2.7461,0.3
2018-12-31,75.91,2250755.0,40398.0681,23.9766,2.7143,0.3
2019-01-31,74.06,5456620.0,39413.5282,23.3923,2.6482,0.3
2019-02-28,66.69,5074150.0,35491.334,21.0644,2.3846,0.3
2019-03-31,79.91,85991245.0,42526.8031,45.2492,2.7289,0.3
2019-04-30,76.46,5698885.0,40690.7691,43.2956,2.611,0.3
2019-05-31,72.11,5560570.0,38375.7699,40.8324,2.4625,0.3
2019-06-30,67.34,3074130.0,35837.2534,38.1314,2.2996,0.3
2019-07-31,67.18,4094165.0,35752.104,38.0408,2.2941,0.3
2019-08-31,65.75,3317220.0,34991.0812,37.231,2.2453,0.3
2019-09-30,74.87,3075155.0,39844.597,42.3952,2.5568,0.3
2019-10-31,73.96,5395140.0,39536.9817,41.88,2.5257,0.3
2019-11-30,70.05,24297910.0,37446.8033,39.6659,2.3922,0.3
2019-12-31,71.95,10018820.0,38462.491,40.7418,2.457,0.3
2020-01-31,86.07,25854725.0,46010.6546,48.7373,2.9392,0.3
2020-02-29,82.71,22033240.0,44214.4911,46.8347,2.8245,0.3
2020-03-31,64.96,10277475.0,34725.8293,13.5616,1.9622,0.3
2020-04-30,102.5,64140700.0,54793.6807,21.3987,3.0961,0.3
2020-05-31,93.69,338389680.0,50084.0971,19.5595,2.83,0.3
2020-06-30,103.89,247380340.0,55536.7365,21.6889,3.1381,0.3
2020-07-31,186.65,232421385.0,100043.4658,38.9666,5.6379,0.5
2020-08-31,226.66,282561995.0,121488.6256,47.3194,6.8464,0.5
2020-09-30,287.15,176484346.0,153910.9628,59.9478,8.6736,0.5
2020-10-31,319.4,124640610.0,171196.7937,66.6806,9.6477,0.5
2020-11-30,316.85,122964898.0,169830.0066,66.1482,9.5707,1.3
2020-12-31,353.15,78836368.0,189286.624,73.7265,10.6672,1.3
2021-01-31,345.35,62920068.0,185315.6361,72.0981,10.4316,1.3
2021-02-28,350.15,56433264.0,187891.3276,73.1002,10.5765,1.7
2021-03-31,362.0,78487771.0,194250.0659,19.7168,7.4782,1.4
2021-04-30,452.75,109849513.0,242946.733,24.6596,9.3529,1.4
2021-05-31,523.75,69022783.0,281045.5028,28.5267,10.8196,2.2
2021-06-30,688.65,101010715.0,369531.2373,37.5082,14.2261,2.2
2021-07-31,641.5,71217596.0,344230.43,34.9401,13.2521,2.0
2021-08-31,666.6,72530563.0,357699.1498,36.3072,13.7706,2.0
2021-09-30,616.45,52548979.0,330788.5402,33.5757,12.7346,2.0
2021-10-31,515.8,69036932.0,276779.5102,28.0937,10.6554,2.0
2021-11-30,508.65,82157903.0,272942.8031,27.7042,10.5077,2.4
2021-12-31,538.9,45929312.0,289175.0253,29.3519,11.1326,2.4
2022-01-31,502.7,67297346.0,270130.5377,27.3802,10.3848,2.4
2022-02-28,541.55,58061791.0,291006.9479,29.4962,11.1874,2.4
2022-03-31,590.1,43151074.0,317095.7436,38.2685,9.4622,2.4
2022-04-30,583.35,35655614.0,313468.5681,37.8307,9.3539,2.4
2022-05-31,567.45,26629409.0,304924.5546,36.7996,9.099,3.0
2022-06-30,464.7,26622530.0,249710.883,30.1362,7.4514,3.0
2022-07-31,522.7,38938204.0,280877.7244,33.8975,8.3814,2.0
2022-08-31,579.05,31319770.0,311157.9229,37.5519,9.285,2.0
2022-09-30,513.0,22754748.0,275665.3389,33.2685,8.2259,2.0
2022-10-31,454.55,37508524.0,244256.6857,29.478,7.2887,2.0
2022-11-30,417.45,41609442.0,224320.6544,27.072,6.6938,2.8
2022-12-31,375.25,51932518.0,201644.0905,24.3353,6.0171,2.8
2023-01-31,330.3,32118527.0,177916.4005,21.4202,5.2963,2.0
2023-02-28,314.35,21794506.0,169324.9183,20.3859,5.0406,2.0
2023-03-31,292.95,29808384.0,157797.7885,19.9421,3.9083,2.0
2023-04-30,307.6,78185454.0,165689.0245,20.9394,4.1037,2.0
2023-05-31,330.7,62016998.0,178131.8609,22.5119,4.4119,3.2
2023-06-30,366.65,51520287.0,197496.3617,24.9592,4.8915,3.2
2023-07-31,352.0,64554175.0,189605.1256,23.9619,4.6961,2.0
2023-08-31,399.6,68849180.0,215244.9096,27.2022,5.3311,2.0
2023-09-30,395.4,38787577.0,212982.5757,26.9163,5.2751,2.0
2023-10-31,361.75,54452804.0,194856.9721,24.6256,4.8261,2.0
2023-11-30,380.85,26550196.0,205145.2048,25.9258,5.081,0.8
2023-12-31,430.2,53864600.0,231849.7144,29.2852,5.7393,0.8
2024-01-31,381.35,61102929.0,205534.6299,25.9598,5.0876,0.8
2024-02-29,406.05,32705043.0,218847.0866,27.6413,5.4172,0.8
2024-03-31,392.35,34879414.0,211463.2544,131.6611,5.1439,0.8
2024-04-30,450.0,66152888.0,242534.6361,151.0067,5.8997,0.8
2024-05-31,418.95,28576709.0,225799.7462,140.5872,5.4926,0.8
2024-06-30,424.55,32206960.0,228900.0868,142.4664,5.5661,0.8
2024-07-31,463.9,73201785.0,250116.0058,155.6711,6.082,0.8
2024-08-31,470.15,49121193.0,253485.7515,157.7685,6.1639,0.8
2024-09-30,463.6,58175443.0,249954.258,155.5705,6.078,0.8
2024-10-31,491.25,73604355.0,264862.013,164.849,6.4405,0.8
2024-11-30,567.15,51528529.0,305784.2049,190.3188,7.4356,0.8
2024-12-31,602.7,44822127.0,324951.3185,202.2483,7.9017,0.8
2025-01-31,584.05,96570473.0,314895.9973,195.9899,7.6572,0.8
2025-02-28,527.2,59666757.0,284293.9133,176.9128,6.9119,0.8
2025-03-31,613.4,33728431.0,330777.478,92.2406,7.3957,0.8
2025-04-30,603.85,61252178.0,325627.6167,90.8045,7.2806,0.8
2025-05-31,609.6,34211182.0,328728.3185,91.6692,7.3499,1.2
2025-06-30,724.85,44413964.0,390877.1681,109.0,8.7395,1.2
2025-07-31,874.35,80474681.0,471995.9004,131.4812,10.542,1.2
2025-08-31,856.9,33016174.0,462575.956,128.8571,10.3316,1.2
2025-09-30,841.8,38975975.0,454424.6,126.5865,10.1495,1.2
2025-10-31,953.65,56420689.0,514804.0149,143.406,11.4981,1.6
2025-11-30,1031.35,35920909.0,556748.4096,155.0902,12.4349,1.6
2025-12-31,1108.0,31834868.0,598161.0929,166.6165,13.3591,1.6
2026-01-31,965.0,48656902.0,520961.6016,145.1128,11.6349,1.6
2026-02-28,1075.8,31350612.0,580777.7109,161.7744,12.9708,1.6
2026-03-31,1045.3,4802589.0,564312.1115,157.188,12.6031,1.6
