LT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,38.93,,48376.049,,,0.0
1995-02-28,39.14,,48640.399,,,0.0
1995-03-31,44.24,,54984.7989,,,0.0
1995-04-30,42.54,,52869.9989,,,0.0
1995-05-31,45.6,,61318.1309,,,0.0
1995-06-30,44.67,,60059.7364,,,0.0
1995-07-31,45.94,,61775.7289,,,1.1111
1995-08-31,45.43,,61089.3319,,,1.1111
1995-09-30,47.65,,64063.7189,,,1.1111
1995-10-31,46.11,,62004.5279,,,1.1111
1995-11-30,40.24,,54110.9625,,,1.1111
1995-12-31,43.9,,59030.141,,,1.1111
1996-01-31,42.37,,56970.95,,,1.1111
1996-02-29,42.71,,57428.548,,,1.1111
1996-03-31,41.18,,55369.357,,,1.1111
1996-04-30,49.01,,65894.1108,,,1.1111
1996-05-31,46.92,12330000.0,68516.4317,,,1.1111
1996-06-30,49.26,48777525.0,71932.9356,,,1.3333
1996-07-31,42.54,98928900.0,62118.2518,,,1.3333
1996-08-31,43.52,45688190.0,63546.9716,,,1.3333
1996-09-30,39.48,18625590.0,57645.7377,,,1.3333
1996-10-31,38.07,52667015.0,55595.8354,,,1.3333
1996-11-30,36.42,40216302.0,53173.2235,,,1.3333
1996-12-31,37.22,59363564.0,54353.4703,,,1.3333
1997-01-31,39.78,68430434.0,58080.5654,,,1.3333
1997-02-28,42.63,35702510.0,62242.4883,,,1.3333
1997-03-31,34.03,35840084.0,49694.6014,,,1.3333
1997-04-30,38.5,29626871.0,56217.0179,,,1.3333
1997-05-31,36.25,24715386.0,52927.9454,,,1.3333
1997-06-30,41.52,43707564.0,60631.0736,,,1.3333
1997-07-31,45.86,41429084.0,66967.5178,,,1.3333
1997-08-31,38.29,31908987.0,55909.8015,,,1.3333
1997-09-30,38.2,29658420.0,55785.5575,,,1.3333
1997-10-31,32.08,23707733.0,50443.0653,,,1.3333
1997-11-30,31.74,34723062.0,46343.0132,,,1.3333
1997-12-31,34.5,31694252.0,50380.9433,,,1.3333
1998-01-31,31.31,58489713.0,45721.7932,,,1.3333
1998-02-28,38.59,35793738.0,56357.0799,,,1.3333
1998-03-31,41.33,43092459.0,60357.7368,,,1.3333
1998-04-30,42.54,48143471.0,62122.0016,,,1.3333
1998-05-31,43.51,58170627.0,63538.3833,,,1.3333
1998-06-30,39.02,87601460.0,56978.2999,,,1.4444
1998-07-31,35.21,57785004.0,51415.2719,,,1.4444
1998-08-31,29.51,61525247.0,43090.4212,,,1.4444
1998-09-30,31.31,95206788.0,45724.5531,,,1.4444
1998-10-31,24.61,65587433.0,35933.5347,,,1.4444
1998-11-30,24.84,80092670.0,36281.4389,,,1.4444
1998-12-31,27.31,88855322.0,39884.7325,,,1.4444
1999-01-31,31.82,91730930.0,46470.0621,,,1.4444
1999-02-28,32.52,88543103.0,47488.9244,,,1.4444
1999-03-31,39.82,184190738.0,58149.7034,,,1.4444
1999-04-30,31.84,87217025.0,46494.9124,,,1.4444
