MAPMYIND IN Equity,price,volume,mc,pe,bm,div
2021-12-31,1676.25,30524153.0,89248.5234,147.2979,24.9481,0.0
2022-01-31,1359.95,20412133.0,72407.773,119.5035,20.2405,0.0
2022-02-28,1397.65,10102340.0,74415.0328,122.8163,20.8016,2.0
2022-03-31,1510.7,4519062.0,80434.1502,92.4541,18.0366,2.0
2022-04-30,1488.1,3887261.0,79230.8592,91.071,17.7668,2.0
2022-05-31,1328.6,3898861.0,70738.606,81.3097,15.8625,2.0
2022-06-30,1411.9,2383114.0,75173.7451,86.4076,16.857,2.0
2022-07-31,1316.85,2076766.0,70113.0011,80.5906,15.7222,2.0
2022-08-31,1356.3,3194276.0,72772.56,83.0049,16.1932,2.0
2022-09-30,1399.2,3061822.0,75074.3684,85.6304,16.7054,2.0
2022-10-31,1308.25,1152537.0,70194.4272,80.0643,15.6195,2.0
2022-11-30,1209.95,1819353.0,64920.1201,74.0483,14.4459,2.0
2022-12-31,1040.55,1848429.0,55836.7163,63.6812,12.4234,2.0
2023-01-31,1135.9,1386082.0,60953.2709,69.5165,13.5618,2.0
2023-02-28,1147.1,1129531.0,61554.2716,70.202,13.6955,2.0
2023-03-31,992.3,2502669.0,53247.5841,49.6647,9.8217,2.0
2023-04-30,1098.2,2947667.0,58930.2598,54.965,10.8699,0.0
2023-05-31,1083.65,1479954.0,58149.4956,54.2367,10.7259,0.0
2023-06-30,1205.5,3585018.0,64688.0606,60.3353,11.932,0.0
2023-07-31,1499.95,4512688.0,80488.475,75.0726,14.8464,0.0
2023-08-31,1748.7,4087878.0,94514.208,87.5225,17.3086,3.0
2023-09-30,1994.55,4519265.0,107801.9749,99.8273,19.742,3.0
2023-10-31,2082.9,7233524.0,112577.1395,104.2492,20.6164,3.0
2023-11-30,2224.8,5072430.0,120246.5889,111.3514,22.021,3.0
2023-12-31,1945.2,2666790.0,105134.6929,97.3574,19.2535,3.0
2024-01-31,1963.8,3794275.0,106186.5661,98.2883,19.4376,3.0
2024-02-29,1806.75,2532857.0,97694.5607,90.4279,17.8831,3.0
2024-03-31,1863.9,2797541.0,100784.7747,75.2179,15.2901,3.0
2024-04-30,2009.9,2402986.0,108679.2847,81.1098,16.4878,3.0
2024-05-31,1917.7,2148395.0,103693.8476,77.389,15.7314,3.0
2024-06-30,2301.25,14189485.0,124433.1578,92.8672,18.8778,3.0
2024-07-31,2379.7,6903350.0,128675.1051,96.0331,19.5214,3.0
2024-08-31,2092.4,3688255.0,113833.806,84.4391,17.1646,3.5
2024-09-30,2170.05,3198329.0,118058.2349,87.5726,17.8015,3.5
2024-10-31,1954.15,2233851.0,106312.5272,78.86,16.0305,3.5
2024-11-30,1752.4,2996679.0,95336.6286,70.7183,14.3754,3.5
2024-12-31,1588.95,10963401.0,86444.3825,64.1223,13.0346,3.5
2025-01-31,1701.4,2521591.0,92562.0519,68.6602,13.9571,3.5
2025-02-28,1664.8,1783602.0,90598.5409,67.1832,13.6568,3.5
2025-03-31,1689.35,2259748.0,91934.5537,62.4529,11.6264,3.5
2025-04-30,1794.9,1618037.0,97678.5926,66.3549,12.3528,3.5
2025-05-31,1936.2,2663367.0,105368.1492,71.5786,13.3253,3.5
2025-06-30,1759.7,7893176.0,95763.006,65.0536,12.1106,3.5
2025-07-31,1802.0,2712297.0,98064.9752,66.6174,12.4017,3.5
2025-08-31,1643.3,1039757.0,89924.1121,60.7505,11.3095,3.5
2025-09-30,1649.3,963368.0,90252.4421,60.9723,11.3508,3.5
2025-10-31,1819.3,9077334.0,99555.1251,67.2569,12.5207,3.5
2025-11-30,1675.7,1149163.0,91697.094,61.9482,11.5325,3.5
2025-12-31,1727.2,1620559.0,94515.2598,63.8521,11.8869,3.5
2026-01-31,1320.2,2542138.0,72243.5421,48.8059,9.0858,3.5
2026-02-28,1034.1,5135776.0,56587.6738,38.2292,7.1169,3.5
2026-03-31,1004.2,369435.0,54951.4967,37.1238,6.9111,3.5
