MAXF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,35.83,,3436.65,,,0.0
1995-02-28,32.64,,3131.17,,,0.0
1995-03-31,31.05,,2978.43,,,0.0
1995-04-30,27.87,,2672.95,,,0.0
1995-05-31,27.47,,2634.765,,,0.0
1995-06-30,29.06,,2787.505,,,0.0
1995-07-31,29.86,,2863.875,,,0.0
1995-08-31,30.73,,2947.882,,,0.0
1995-09-30,25.48,,2443.84,,,0.0
1995-10-31,25.24,,2420.929,,,0.0
1995-11-30,17.91,,1718.325,,,0.0
1995-12-31,17.68,,1695.414,,,0.0
1996-01-31,18.15,,1741.236,,,0.35
1996-02-29,20.7,,1985.62,,,0.35
1996-03-31,21.5,,2061.99,,,0.35
1996-04-30,25.48,,2443.84,,,0.35
1996-05-31,25.48,19500.0,2443.84,,,0.35
1996-06-30,25.48,387000.0,2899.52,,,0.35
1996-07-31,25.88,14500.0,2944.825,,,0.35
1996-08-31,21.9,203800.0,2491.775,,,0.35
1996-09-30,21.1,71090.0,2401.165,,,0.35
1996-10-31,19.21,139220.0,2185.9662,,,0.35
1996-11-30,17.36,39810.0,1975.298,,,0.35
1996-12-31,16.08,2120830.0,1830.322,,,0.35
1997-01-31,16.1,44110.0,1832.5872,,,0.35
1997-02-28,16.16,45250.0,1839.383,,,0.35
1997-03-31,15.92,37870.0,1812.2,,,0.35
1997-04-30,18.73,79470.0,2131.6002,,,0.35
1997-05-31,14.73,33890.0,1676.285,,,0.35
1997-06-30,14.49,715030.0,1798.888,,,0.35
1997-07-31,13.3,70360.0,1650.628,,,0.35
1997-08-31,13.22,78210.0,1640.744,,,0.35
1997-09-30,11.82,28850.0,1467.774,,,0.35
1997-10-31,11.15,49230.0,1413.412,,,0.35
1997-11-30,8.76,31600.0,1087.24,,,0.35
1997-12-31,7.17,2953830.0,889.56,,,0.35
1998-01-31,5.73,42950.0,711.648,,,0.35
1998-02-28,4.98,568260.0,617.75,,,0.35
1998-03-31,9.42,5525080.0,1169.2772,,,0.35
1998-04-30,21.88,5106840.0,2716.1232,,,0.35
1998-05-31,24.0,8880970.0,2980.0259,,,0.35
1998-06-30,11.23,2754270.0,1393.644,,,10.55
