MM IN Equity,price,volume,mc,pe,bm,div
1995-01-31,26.25,,17615.8504,,,0.3375
1995-02-28,24.37,,16357.5754,,,0.3375
1995-03-31,21.37,,14344.3354,,,0.3375
1995-04-30,22.5,,15099.3004,,,0.3375
1995-05-31,24.0,,16105.9204,,,0.3375
1995-06-30,24.37,,18292.625,,,0.3375
1995-07-31,26.7,,20037.4599,,,0.4875
1995-08-31,26.77,,20093.7449,,,0.4875
1995-09-30,27.97,,20994.3049,,,0.4875
1995-10-31,27.22,,20431.4549,,,0.4875
1995-11-30,23.7,,17786.06,,,0.4875
1995-12-31,26.0,,19512.1478,,,0.4875
1996-01-31,27.25,,20450.2319,,,0.4875
1996-02-29,34.38,,25797.3108,,,0.4875
1996-03-31,32.19,,24155.6638,,,0.4875
1996-04-30,35.94,,26969.9159,,,0.4875
1996-05-31,38.0,2230400.0,28517.7545,,,0.4875
1996-06-30,45.06,6174400.0,36696.7365,,,0.6375
1996-07-31,42.63,12697600.0,34711.7536,,,0.5625
1996-08-31,44.94,6713112.0,36594.9425,,,0.5625
1996-09-30,39.56,3973160.0,32217.8006,,,0.5625
1996-10-31,39.38,3211160.0,32065.1096,,,0.5625
1996-11-30,36.16,3254384.0,29443.9141,,,0.5625
1996-12-31,41.41,8113248.0,33719.2621,,,0.5625
1997-01-31,44.78,8375640.0,36467.7,,,0.5625
1997-02-28,46.31,10943832.0,37714.6765,,,0.5625
1997-03-31,39.44,9012904.0,32116.0066,,,0.5625
1997-04-30,46.16,8875024.0,37587.434,,,0.5625
1997-05-31,43.56,5824240.0,35475.2086,,,0.5625
1997-06-30,54.13,18481480.0,44076.8014,,,0.625
1997-07-31,55.0,3318128.0,44789.3594,,,0.625
1997-08-31,50.19,8279560.0,40870.2905,,,0.625
1997-09-30,48.75,6766384.0,39699.6595,,,0.625
1997-10-31,45.19,5199808.0,37791.022,,,0.625
1997-11-30,42.06,8790624.0,34253.6806,,,0.625
1997-12-31,40.19,14782016.0,32726.7706,,,0.625
1998-01-31,30.69,12115304.0,24990.4267,,,0.625
1998-02-28,30.88,20443496.0,25143.1177,,,0.625
1998-03-31,34.5,23325120.0,28095.1436,,,0.625
1998-04-30,36.14,14567344.0,29428.645,,,0.625
1998-05-31,30.13,9327648.0,24532.3537,,,0.625
1998-06-30,26.9,14950840.0,22244.5777,,,0.6875
1998-07-31,19.31,15475648.0,15970.201,,,0.6875
1998-08-31,19.79,40238760.0,16362.9956,,,0.6875
1998-09-30,22.8,30979264.0,18854.1402,,,0.6875
1998-10-31,18.39,24390104.0,15205.2852,,,0.6875
1998-11-30,18.69,15856648.0,15453.366,,,0.6875
1998-12-31,20.63,16448256.0,17055.5545,,,0.6875
1999-01-31,22.9,19746088.0,18936.8338,,,0.6875
1999-02-28,30.25,17321616.0,25014.8132,,,0.6875
1999-03-31,28.5,32573112.0,23567.6753,,,0.6875
1999-04-30,29.45,13203664.0,24353.2644,,,0.6875
1999-05-31,27.75,31359280.0,22947.6952,,,0.6875
1999-06-30,31.61,50961928.0,26141.7662,,,0.6875
1999-07-31,47.63,65997744.0,39383.2066,,,0.6875
1999-08-31,51.5,68050632.0,42587.6144,,,0.6875
1999-09-30,42.75,31445136.0,35351.8547,,,0.6875
1999-10-31,44.44,25099512.0,36747.3227,,,0.6875
1999-11-30,51.88,34223600.0,42897.7184,,,0.6875
1999-12-31,52.5,23448112.0,43414.5584,,,0.6875
2000-01-31,63.38,31684168.0,52407.5741,,,0.6875
2000-02-29,60.01,35973848.0,49626.975,,,0.6875
2000-03-31,40.25,23372624.0,33284.4948,,,0.6875
2000-04-30,33.26,17942216.0,27501.0554,,,0.6875
2000-05-31,31.25,34613664.0,27621.7499,,,0.6875
2000-06-30,26.44,76230576.0,23373.5247,,,0.6875
2000-07-31,24.59,76854752.0,21732.7928,,,0.6875
2000-08-31,23.03,50079576.0,20357.2297,,,0.6875
2000-09-30,23.08,57460376.0,20395.9001,,,0.6875
2000-10-31,16.01,42342288.0,14153.3846,,,0.6875
2000-11-30,18.2,95763912.0,16086.9071,,,0.6875
2000-12-31,18.52,181934248.0,16374.1733,,,0.6875
2001-01-31,20.41,205213904.0,18042.527,,,0.6875
2001-02-28,20.19,356852104.0,17843.6504,,,0.6875
2001-03-31,15.02,79396912.0,13275.013,11.0113,0.6521,0.6875
2001-04-30,16.96,32764840.0,14993.0858,12.4364,0.7365,0.6875
2001-05-31,15.35,42236320.0,13567.8035,11.2541,0.6665,0.6875
2001-06-30,10.03,50133856.0,8861.0574,7.35,0.4353,0.6875
2001-07-31,8.55,11216320.0,7557.1057,6.2686,0.3713,0.6875
2001-08-31,8.38,12319576.0,7402.4281,6.1403,0.3637,0.6875
2001-09-30,6.69,19996392.0,5916.4183,4.9076,0.2907,0.6875
2001-10-31,9.19,50440720.0,8120.5741,6.736,0.3989,0.6875
2001-11-30,11.33,87272744.0,10015.3747,8.3077,0.492,0.6875
2001-12-31,11.16,26906264.0,9860.6971,8.1794,0.4844,0.6875
2002-01-31,14.55,113156800.0,12860.3377,10.6676,0.6318,0.6875
2002-02-28,14.24,59604392.0,12584.1277,10.4385,0.6182,0.6875
2002-03-31,14.2,29587048.0,12550.9825,12.9387,0.7492,0.6875
2002-04-30,13.16,31357376.0,11628.4411,11.9876,0.6941,0.6875
2002-05-31,11.11,29585240.0,9816.5035,10.1197,0.586,0.6875
2002-06-30,14.15,84892736.0,12506.7889,12.8931,0.7465,0.625
2002-07-31,11.55,62539984.0,10208.7217,10.524,0.6094,0.625
2002-08-31,10.82,46724504.0,10040.5442,9.8578,0.5708,0.625
2002-09-30,10.24,21421200.0,9501.1042,9.3281,0.5401,0.625
2002-10-31,10.4,24982584.0,9651.9154,9.4762,0.5487,0.625
2002-11-30,13.23,55465512.0,12279.5101,12.056,0.6981,0.625
2002-12-31,14.09,55192376.0,13074.169,12.8361,0.7432,0.625
2003-01-31,12.13,48943048.0,11258.6345,11.0537,0.64,0.625
2003-02-28,13.79,37129096.0,12801.5488,12.5685,0.7277,0.625
2003-03-31,12.44,22024880.0,11542.8555,5.1922,0.6483,0.625
2003-04-30,13.89,18817016.0,12894.689,5.8001,0.7242,0.625
2003-05-31,16.15,31924008.0,14988.6983,6.742,0.8418,0.625
2003-06-30,18.48,49731192.0,17146.514,7.7126,0.963,0.6875
2003-07-31,24.88,101039568.0,23092.1083,10.3869,1.2969,0.6875
2003-08-31,25.02,70339064.0,23219.7211,10.4443,1.3041,0.6875
2003-09-30,29.65,76860072.0,27517.9507,12.3777,1.5455,0.6875
2003-10-31,42.73,105192072.0,39652.7637,17.836,2.227,0.6875
2003-11-30,44.13,78146880.0,40952.0936,18.4205,2.2999,0.6875
2003-12-31,48.63,67531720.0,45134.3117,20.3016,2.5348,0.6875
