MMTC IN Equity,price,volume,mc,pe,bm,div
1999-12-31,0.33,15000.0,,,,0.0667
2002-07-31,0.48,60030.0,720.0,3.3962,0.1145,0.4033
2002-08-31,1.33,6210.0,1987.5,9.375,0.316,0.4033
2002-09-30,2.13,3180.0,3202.5,15.1061,0.5092,0.4033
2002-10-31,2.24,30.0,3362.5,15.8608,0.5347,0.4033
2002-11-30,2.24,,3362.5,15.8608,0.5347,0.4033
2002-12-31,2.37,30.0,3550.0,16.7453,0.5645,0.4033
2003-01-31,2.37,,3550.0,16.7453,0.5645,0.4033
2003-02-28,3.41,3030.0,5110.0,24.1038,0.8126,0.4033
2003-03-31,3.75,4500.0,5620.0,20.1183,0.8699,0.0667
2003-04-30,3.75,,5620.0,20.1183,0.8699,0.0667
2003-05-31,3.75,,5620.0,20.1183,0.8699,0.0667
2003-06-30,3.75,,5620.0,20.1183,0.8699,0.0667
2003-07-31,3.75,,5620.0,20.1183,0.8699,0.0667
2003-08-31,3.75,,5620.0,20.1183,0.8699,0.0667
2003-09-30,3.75,,5620.0,20.1183,0.8699,0.0667
2003-10-31,3.75,,5620.0,20.1183,0.8699,0.0667
2003-11-30,3.75,,5620.0,20.1183,0.8699,0.0667
2003-12-31,4.12,30.0,6180.0,22.123,0.9566,0.0667
2004-01-31,4.12,,6180.0,22.123,0.9566,0.0667
2004-02-29,4.12,,6180.0,22.123,0.9566,0.1667
2004-03-31,5.93,6150.0,8897.5,16.5258,1.2975,0.1667
2004-04-30,5.93,,8897.5,16.5258,1.2975,0.1667
2004-05-31,7.12,1500.0,10675.0,19.8272,1.5567,0.1667
2004-06-30,7.12,,10675.0,19.8272,1.5567,0.1667
2004-07-31,7.12,,10675.0,19.8272,1.5567,0.1667
2004-08-31,8.54,30.0,12810.0,23.7926,1.868,0.1667
2004-09-30,8.54,,12810.0,23.7926,1.868,0.1667
2004-10-31,8.54,,12810.0,23.7926,1.868,0.1667
2004-11-30,8.54,,12810.0,23.7926,1.868,0.1667
2004-12-31,8.54,,12810.0,23.7926,1.868,0.15
2005-01-31,8.54,,12810.0,23.7926,1.868,0.15
2005-02-28,10.25,30.0,15370.0,28.5474,2.2413,0.15
2005-03-31,14.75,60.0,22130.0,14.7803,2.7323,0.15
2005-04-30,14.75,,22130.0,14.7803,2.7323,0.0667
2005-05-31,14.75,,22130.0,14.7803,2.7323,0.0667
2005-06-30,14.75,,22130.0,14.7803,2.7323,0.0667
2005-07-31,14.75,,22130.0,14.7803,2.7323,0.0667
2005-08-31,14.75,,22130.0,14.7803,2.7323,0.0667
2005-09-30,14.75,,22130.0,14.7803,2.7323,0.15
2005-10-31,14.75,,22130.0,14.7803,2.7323,0.15
2005-11-30,14.75,,22130.0,14.7803,2.7323,0.15
2005-12-31,14.75,,22130.0,14.7803,2.7323,0.15
2006-01-31,14.75,,22130.0,14.7803,2.7323,0.15
2006-02-28,14.75,,22130.0,14.7803,2.7323,0.1667
2006-03-31,14.75,,22130.0,9.2118,2.4593,0.1667
2006-04-30,21.24,1050.0,31865.0,13.2641,3.5411,0.1667
2006-05-31,21.24,,31865.0,13.2641,3.5411,0.1667
2006-06-30,21.24,,31865.0,13.2641,3.5411,0.1667
2006-07-31,63.85,96330.0,95777.4969,39.8684,10.6437,0.1667
2006-08-31,84.56,206970.0,126844.9938,52.8006,14.0962,0.1667
2006-09-30,84.67,111750.0,127000.0,52.8651,14.1134,0.1667
2006-10-31,85.68,30960.0,128517.4938,53.4968,14.2821,0.1667
2006-11-30,74.1,32520.0,111150.0,46.2674,12.352,0.1667
2006-12-31,73.53,11790.0,110300.0,45.9135,12.2576,0.1667
2007-01-31,79.85,7410.0,119767.5063,49.8545,13.3097,0.1667
2007-02-28,76.0,16140.0,114000.0,47.4537,12.6687,0.1667
2007-03-31,74.57,15600.0,111850.0,39.3274,11.2079,0.1667
2007-04-30,72.5,6330.0,108750.0,38.2375,10.8973,0.1667
2007-05-31,75.17,5700.0,112750.0,39.6439,11.2981,0.1667
2007-06-30,78.5,21090.0,117750.0,41.4019,11.7992,0.1667
2007-07-31,106.35,83070.0,159530.0063,56.0922,15.9857,0.1667
2007-08-31,151.02,408510.0,226532.4938,79.6508,22.6997,0.1667
2007-09-30,439.1,303540.0,658650.0,231.5871,66.0001,0.1667
2007-10-31,1284.45,22590.0,1926682.422,677.4385,193.0634,0.1667
2007-11-30,1016.97,322440.0,1525457.519,536.3643,152.8587,0.1667
2007-12-31,1078.84,380910.0,1618265.041,568.9962,162.1584,0.1667
2008-01-31,804.01,292380.0,1206012.5,424.0446,120.8486,0.1667
2008-02-29,789.29,286080.0,1183942.481,416.2846,118.6371,0.2
2008-03-31,726.47,224790.0,1089709.963,406.4565,89.9559,0.2
2008-04-30,972.08,572100.0,1458117.481,543.8708,120.368,0.2
2008-05-31,822.82,325830.0,1234232.519,460.3627,101.8862,0.2
