MRCO IN Equity,price,volume,mc,pe,bm,div
1996-05-31,3.48,14584000.0,,,,0.0
1996-06-30,3.72,29536000.0,,,,0.0
1996-07-31,3.62,12984000.0,,,,0.0
1996-08-31,3.37,5336000.0,,,,0.0
1996-09-30,3.12,14128000.0,,,,0.0
1996-10-31,3.11,7952000.0,,,,0.0
1996-11-30,2.78,6760000.0,,,,0.025
1996-12-31,2.89,6480000.0,,,,0.025
1997-01-31,2.99,22328000.0,,,,0.025
1997-02-28,3.04,3608000.0,,,,0.025
1997-03-31,2.93,39416000.0,,,,0.025
1997-04-30,2.97,264000.0,,,,0.025
1997-05-31,2.87,200000.0,,,,0.025
1997-06-30,3.98,66800000.0,4727.0,,,0.025
1997-07-31,4.1,10976000.0,4872.0,,,0.0375
1997-08-31,3.75,17016000.0,4451.5,,,0.0375
1997-09-30,4.15,3096000.0,4930.0,,,0.0375
1997-10-31,4.02,16808000.0,4582.0,,,0.0375
1997-11-30,3.11,9216000.0,3697.5,,,0.075
1997-12-31,3.15,7320000.0,3741.0,,,0.075
1998-01-31,2.71,4288000.0,3219.0,,,0.075
1998-02-28,2.89,8008000.0,3436.5,,,0.075
1998-03-31,3.17,16856000.0,3770.0,,,0.075
1998-04-30,3.82,18904000.0,4542.125,,,0.075
1998-05-31,3.6,12112000.0,4277.5,,,0.0562
1998-06-30,2.93,16976000.0,3480.0,,,0.0562
1998-07-31,3.28,10880000.0,3894.7,,,0.0562
1998-08-31,3.33,24912000.0,3958.5,,,0.0562
1998-09-30,3.73,76432000.0,4426.125,,,0.0562
1998-10-31,3.79,4816000.0,4498.625,,,0.0562
1998-11-30,3.91,1840000.0,4650.875,,,0.0437
1998-12-31,4.31,17592000.0,5118.5,,,0.0437
1999-01-31,5.54,13536000.0,6575.75,,,0.0437
1999-02-28,6.92,12608000.0,8221.5,,,0.0437
1999-03-31,9.0,11312000.0,10697.375,,,0.0437
1999-04-30,7.09,3416000.0,8424.5,,,0.0437
1999-05-31,7.4,8496000.0,8792.8,,,0.0688
1999-06-30,7.87,31640000.0,9352.5,,,0.0688
1999-07-31,6.94,16232000.0,8250.5,,,0.0688
1999-08-31,6.54,61384000.0,7772.0,,,0.0688
1999-09-30,5.25,26072000.0,6235.0,,,0.0688
1999-10-31,4.89,13040000.0,5815.225,,,0.0688
1999-11-30,4.49,14346960.0,5336.0,,,0.0875
1999-12-31,4.08,16726400.0,4843.0,,,0.0875
2000-01-31,3.66,9568960.0,4350.0,,,0.0875
2000-02-29,3.48,7591920.0,4132.5,,,0.0875
2000-03-31,3.05,2306400.0,3625.0,,,0.0875
2000-04-30,3.05,2402640.0,3625.0,,,0.1125
2000-05-31,2.88,3642960.0,3421.275,,,0.1125
2000-06-30,3.06,1108240.0,3633.7,,,0.1125
2000-07-31,3.5,1369760.0,4156.425,,,0.1125
2000-08-31,3.44,14775200.0,4089.0,,,0.1125
2000-09-30,3.36,4099920.0,3987.5,,,0.1188
2000-10-31,3.11,360000.0,3697.5,,,0.1188
2000-11-30,3.11,12075760.0,3697.5,,,0.1188
2000-12-31,3.03,1299040.0,3595.275,,,0.1188
2001-01-31,2.99,18317760.0,3552.5,,,0.1188
2001-02-28,2.98,17338080.0,3538.0,,,0.1188
2001-03-31,2.87,12270480.0,3407.5,,,0.1188
2001-04-30,2.89,587840.0,3435.05,,,0.1188
2001-05-31,2.89,314640.0,3436.5,,,0.1188
2001-06-30,2.51,1010240.0,2987.0,,,0.05
2001-07-31,2.78,1040080.0,3306.0,,,0.075
2001-08-31,2.69,1270480.0,3190.0,,,0.0625
2001-09-30,2.64,605200.0,3130.55,,,0.0625
2001-10-31,2.63,812800.0,3121.85,,,0.0688
2001-11-30,2.81,216480.0,3333.55,,,0.0688
2001-12-31,2.26,1545120.0,2681.775,,,0.0688
2002-01-31,2.75,400880.0,3269.75,,,0.0813
2002-02-28,3.05,90660240.0,3625.0,,,0.0813
2002-03-31,3.25,12441360.0,3857.0,,,0.0437
2002-04-30,3.69,51525440.0,4384.8,,,0.0437
2002-05-31,3.71,7721760.0,4408.725,,,0.0625
2002-06-30,3.72,3198960.0,4422.5,,,0.0625
2002-07-31,3.71,6158800.0,4408.0,,,0.0625
2002-08-31,3.73,2846000.0,4429.75,,,0.1
2002-09-30,3.93,2179840.0,4669.0,,,0.1
2002-10-31,3.99,3789480.0,4545.676,,,0.1
2002-11-30,4.28,1580640.0,5088.05,,,0.0625
2002-12-31,4.01,2623520.0,4767.6,,,0.0625
2003-01-31,4.14,4640800.0,4919.85,,,0.0625
2003-02-28,4.1,1639760.0,4874.9,,,0.1
2003-03-31,3.62,3911720.0,4306.5,,,0.1
2003-04-30,3.77,575520.0,4473.25,,,0.1
2003-05-31,4.05,1131880.0,4814.0,,,0.1
2003-06-30,4.2,1758960.0,4988.0,,,0.1
2003-07-31,4.27,1686400.0,5077.9,,,0.15
2003-08-31,5.22,4588480.0,6197.3,,,0.15
2003-09-30,4.77,1277160.0,5672.4,,,0.15
2003-10-31,4.63,4585800.0,5505.65,,,0.1625
2003-11-30,4.66,3306000.0,5533.2,,,0.1625
2003-12-31,5.81,18446680.0,6904.9,,,0.1625
2004-01-31,5.36,13213600.0,6362.6,,,0.1625
2004-02-29,5.85,3571840.0,6951.3,,,0.1625
2004-03-31,6.39,34665080.0,11666.388,,,0.2
2004-04-30,6.37,9223160.0,11630.7518,,,0.2
