MUTH IN Equity,price,volume,mc,pe,bm,div
2011-05-31,175.45,126161381.0,65217.0106,,,0.0
2011-06-30,157.0,14425395.0,58358.9095,,,0.0
2011-07-31,185.35,19481346.0,68896.9673,,,0.0
2011-08-31,179.15,15076807.0,66592.348,,,0.0
2011-09-30,164.1,5103982.0,60998.0703,,,0.0
2011-10-31,183.9,3653897.0,68357.9837,,,0.0
2011-11-30,167.2,4646579.0,62150.38,,,0.0
2011-12-31,155.4,3507811.0,57764.169,,,0.0
2012-01-31,181.05,8348596.0,67298.6023,,,0.0
2012-02-29,155.85,10654306.0,57931.4397,,,0.0
2012-03-31,126.6,29248299.0,47058.8404,,,0.0
2012-04-30,119.6,15236878.0,44456.8508,,,0.0
2012-05-31,120.4,3563248.0,44754.221,,,0.0
2012-06-30,135.85,9823502.0,50497.1838,,,0.0
2012-07-31,132.9,8262864.0,49400.631,,,0.0
2012-08-31,125.7,5089909.0,46724.2988,,,4.0
2012-09-30,179.2,11571261.0,66610.9336,,,4.0
2012-10-31,185.35,5998952.0,68896.9673,,,4.0
2012-11-30,204.35,7064065.0,75959.5105,,,4.0
2012-12-31,208.85,5244086.0,77632.2181,,,4.0
2013-01-31,227.55,29864706.0,84583.2474,,,4.0
2013-02-28,210.15,2878378.0,78115.4447,,,4.0
2013-03-31,183.6,8565021.0,68246.4699,,1.8269,4.0
2013-04-30,131.5,30938642.0,48880.2331,,1.3085,4.0
2013-05-31,138.65,12142979.0,51537.9796,,1.3797,4.0
2013-06-30,103.0,13287262.0,38286.4152,,1.0249,4.0
2013-07-31,76.3,19607262.0,28361.6842,,0.7592,4.0
2013-08-31,113.6,16897284.0,42226.5705,,1.1304,4.0
2013-09-30,90.55,8925009.0,33658.5912,,0.901,4.5
2013-10-31,106.15,8654235.0,39457.3104,,1.0563,4.5
2013-11-30,108.7,10561050.0,40405.1779,,1.0816,7.5
2013-12-31,107.95,7040312.0,40126.3934,,1.0742,7.5
2014-01-31,127.15,25431724.0,47263.2785,,1.2652,7.5
2014-02-28,165.3,29604458.0,61444.1206,,1.6448,9.5
2014-03-31,172.0,11169165.0,63934.5962,,1.4992,9.5
2014-04-30,179.35,9522443.0,66666.685,,1.5633,9.5
2014-05-31,195.4,8696030.0,77586.2689,,1.7032,9.5
2014-06-30,188.3,6019660.0,74767.1158,,1.6413,9.5
2014-07-31,172.9,12924081.0,68652.3331,,1.507,9.5
2014-08-31,195.6,9174589.0,77665.6817,,1.7049,9.5
2014-09-30,204.4,6809263.0,81159.8432,,1.7816,6.0
2014-10-31,197.3,2003728.0,78340.6902,,1.7197,10.0
