NACL IN Equity,price,volume,mc,pe,bm,div
1996-07-31,7.38,,,,,0.0
1996-08-31,7.0,,,,,0.0
1996-09-30,6.69,,,,,0.0
1996-10-31,6.01,,,,,0.0
1996-11-30,6.5,,,,,0.0
1996-12-31,7.75,,,,,0.0
1997-01-31,8.63,,,,,0.0
1997-02-28,9.75,,,,,0.0
1997-03-31,11.31,,,,,0.0
1997-04-30,12.0,,,,,0.0
1997-05-31,11.56,,,,,0.0
1997-06-30,11.38,,,,,0.0
1997-07-31,11.75,,60565.0939,,,0.0
1997-08-31,10.75,,55410.6178,,,0.0
1997-09-30,10.5,,54121.9988,,,0.0
1997-10-31,11.06,,54766.3083,,,0.0
1997-11-30,8.5,,43813.0466,,,0.0
1997-12-31,7.38,,38014.261,,,0.0
1998-01-31,6.5,,33504.0945,,,0.0
1998-02-28,7.0,,36081.3325,,,0.0
1998-03-31,7.11,,36661.2111,,,0.0
1998-04-30,8.74,,45037.2347,,,0.0
1998-05-31,6.65,,34277.2659,,,0.0
1998-06-30,5.25,,27060.9994,,,0.0
1999-04-30,6.28,5208400.0,32344.3374,,,0.0
1999-05-31,6.66,9723200.0,34341.6968,,,0.0
1999-06-30,10.81,27832688.0,55732.7726,,,0.0
1999-07-31,11.25,17845844.0,57987.8558,,,0.0
1999-08-31,15.85,10095588.0,81698.4458,,,0.3
1999-09-30,17.31,9408676.0,89236.867,,,0.3
1999-10-31,14.75,5922004.0,76028.5221,,,0.3
1999-11-30,15.5,1695224.0,79894.3792,,,0.3
1999-12-31,15.81,5521456.0,81505.1529,,,0.3
2000-01-31,18.38,7340056.0,94713.4979,,,0.3
2000-02-29,13.5,5752996.0,69585.427,,,0.3
2000-03-31,12.75,4619396.0,65719.5699,,,0.3
2000-04-30,10.38,5675276.0,53477.6893,,,0.3
2000-05-31,12.0,2425912.0,30926.8799,,,0.375
2000-06-30,13.24,7018380.0,34116.2144,,,0.375
2000-07-31,12.24,4027204.0,31538.9744,,,0.375
2000-08-31,10.71,2642160.0,27608.6834,,,0.25
2000-09-30,10.61,9038956.0,27350.9594,,,0.25
2000-10-31,10.23,1256412.0,26352.2789,,,0.25
2000-11-30,11.24,1398884.0,28961.7344,,,0.25
2000-12-31,12.76,4417012.0,32892.0254,,,0.25
2001-01-31,11.25,2405540.0,28993.9499,,,0.25
2001-02-28,14.91,11111796.0,38433.0914,,,0.25
2001-03-31,13.73,9250168.0,35372.6189,,,0.25
2001-04-30,14.25,2860144.0,36725.6699,,,0.25
2001-05-31,15.1,6495284.0,38916.3239,,,0.25
2001-06-30,14.76,4223852.0,38046.5054,,,0.25
2001-07-31,13.5,1359580.0,34792.7399,,,0.25
2001-08-31,13.75,6642204.0,35437.0499,,,0.25
2001-09-30,11.45,442692.0,29509.3979,,,1.0
2001-10-31,11.31,4315688.0,29155.0274,,,1.0
2001-11-30,12.5,1126716.0,32215.4999,,,1.0
2001-12-31,12.38,2284772.0,31893.3449,,,1.0
2002-01-31,13.7,3646032.0,35308.1879,,,1.0
2002-02-28,18.45,13102076.0,47550.0778,,,1.0
