NIVABUPA IN Equity,price,volume,mc,pe,bm,div
2024-11-30,75.39,82473166.0,137739.5201,147.8235,,0.0
2024-12-31,84.11,210104849.0,153671.1903,164.9216,,0.0
2025-01-31,81.14,32938957.0,148244.9219,159.098,,0.0
2025-02-28,72.97,25452074.0,133318.1163,143.0784,,0.0
2025-03-31,78.08,18474603.0,142654.2212,64.0,,0.0
2025-04-30,81.59,74595214.0,149067.0838,66.877,,0.0
2025-05-31,92.29,195950746.0,168703.0466,75.6475,,0.0
2025-06-30,81.77,497167532.0,149494.8218,67.0246,,0.0
2025-07-31,87.55,104904598.0,161534.6218,71.7623,,0.0
2025-08-31,81.52,53925518.0,150462.4215,66.8197,,0.0
2025-09-30,81.84,74559531.0,151053.0493,67.082,,0.0
2025-10-31,75.06,59526186.0,138560.6903,61.5246,,0.0
2025-11-30,74.34,36495819.0,137314.1998,60.9344,,0.0
2025-12-31,75.4,27182371.0,139272.1371,61.8033,,0.0
2026-01-31,78.87,37957992.0,145688.5513,64.6475,,0.0
2026-02-28,75.09,12910883.0,138706.1407,61.5492,,0.0
2026-03-31,72.7,3512699.0,134291.3305,59.5902,,0.0
