NTCPH IN Equity,price,volume,mc,pe,bm,div
1995-04-30,32.0,,,,,0.0
1995-05-31,32.4,,,,,0.0
1995-06-30,31.6,,,,,0.0
1995-07-31,30.2,,,,,0.0
1995-08-31,25.6,,,,,0.0
1995-09-30,26.8,,,,,0.0
1995-10-31,24.8,,,,,0.4
1995-11-30,19.0,,,,,0.4
1995-12-31,17.2,,,,,0.4
1996-01-31,12.8,,,,,0.4
1996-02-29,15.0,,,,,0.4
1996-03-31,14.0,,,,,0.4
1996-04-30,13.5,,,,,0.4
1996-05-31,12.5,29500.0,,,,0.4
1996-06-30,12.02,146000.0,,,,0.4
1996-07-31,8.0,134500.0,,,,0.4
1996-08-31,7.0,67300.0,,,,0.4
1996-09-30,6.78,36900.0,,,,0.4
1996-10-31,5.82,64900.0,,,,0.4
1996-11-30,5.4,54800.0,,,,0.4
1996-12-31,6.0,155300.0,,,,0.2
1997-01-31,6.6,103000.0,,,,0.2
1997-02-28,6.4,32600.0,,,,0.2
1997-03-31,5.2,89200.0,,,,0.2
1997-04-30,5.1,35200.0,,,,0.2
1997-05-31,4.5,34800.0,,,,0.2
1997-06-30,3.8,28100.0,,,,0.2
1997-07-31,5.55,39600.0,,,,0.2
1997-08-31,5.2,75500.0,,,,0.2
1997-09-30,6.0,23400.0,,,,0.2
1997-10-31,6.0,58300.0,,,,0.2
1997-11-30,6.38,79300.0,,,,0.2
1997-12-31,5.6,24000.0,,,,0.2
1998-01-31,5.24,19000.0,,,,0.2
1998-02-28,5.2,15500.0,,,,0.0
1998-03-31,5.9,108100.0,,,,0.0
1998-04-30,6.87,185100.0,,,,0.0
1998-05-31,6.0,99400.0,,,,0.0
1998-06-30,4.43,89000.0,,,,0.0
1998-07-31,3.43,53700.0,,,,0.0
1998-08-31,4.36,69700.0,,,,0.0
1998-09-30,5.81,291500.0,,,,0.0
1998-10-31,4.8,119200.0,,,,0.0
1998-11-30,3.34,110100.0,,,,0.0
1998-12-31,3.6,57100.0,,,,0.0
1999-01-31,3.46,111400.0,,,,0.0
1999-02-28,4.16,113900.0,,,,0.0
1999-03-31,6.42,670000.0,,,,0.0
1999-04-30,4.48,216600.0,,,,0.0
1999-05-31,3.4,121000.0,,,,0.0
1999-06-30,3.78,70500.0,,,,0.0
1999-07-31,4.0,229400.0,262.22,,,0.0
1999-08-31,5.26,699100.0,344.8193,,,0.0
1999-09-30,6.87,531000.0,450.3629,,,0.0
1999-10-31,6.1,851300.0,399.8855,,,0.0
1999-11-30,6.27,183300.0,411.0299,,,0.0
1999-12-31,7.59,538700.0,497.5625,,,0.0
2000-01-31,6.29,303900.0,412.341,,,0.0
2000-02-29,6.09,482100.0,399.23,,,0.0
2000-03-31,4.06,196200.0,266.1533,,,0.0
2000-04-30,3.3,72600.0,216.3315,,,0.0
2000-05-31,3.3,51500.0,216.3315,,,0.0
2000-06-30,3.26,60500.0,213.7093,,,0.0
2000-07-31,2.63,103000.0,172.4097,,,0.0
2000-08-31,2.8,69500.0,183.554,,,0.0
2000-09-30,2.45,68600.0,160.6098,,,0.0
2000-10-31,3.39,46500.0,222.2315,,,0.0
2000-11-30,3.6,94600.0,235.9998,,,0.0
2000-12-31,3.48,130500.0,228.1331,,,0.0
2001-01-31,2.81,28000.0,184.211,,,0.0
2001-02-28,2.84,69500.0,186.1776,,,0.0
2001-03-31,2.47,49050.0,161.9221,,,0.0
2001-04-30,2.4,31350.0,157.3332,,,0.0
