NTPC IN Equity,price,volume,mc,pe,bm,div
2004-11-30,65.96,281274571.0,652628.5424,,,0.0
2004-12-31,72.79,121408705.0,720241.3541,,,0.0
2005-01-31,72.08,338720724.0,713232.709,,,0.0
2005-02-28,77.5,431030640.0,766828.2305,,,1.0
2005-03-31,71.08,175726501.0,703338.1512,12.8297,1.6823,1.0
2005-04-30,68.46,139126241.0,677364.9369,12.3559,1.6202,1.0
2005-05-31,69.58,82849198.0,688496.3145,12.559,1.6468,1.0
2005-06-30,69.17,105058844.0,684373.582,12.4838,1.637,1.0
2005-07-31,78.17,179673799.0,773424.6023,14.1082,1.85,1.0
2005-08-31,85.04,165589516.0,841449.6873,15.349,2.0127,1.0
2005-09-30,88.29,110366711.0,873607.0002,15.9356,2.0896,2.0
2005-10-31,80.96,122236735.0,801046.9096,14.612,1.916,2.0
2005-11-30,86.88,87388068.0,859589.71,15.6799,2.0561,2.0
2005-12-31,93.33,104833690.0,923492.0625,16.8456,2.2089,2.0
2006-01-31,95.42,80225556.0,944105.7246,17.2216,2.2582,2.0
2006-02-28,109.29,123129200.0,1081392.714,19.7258,2.5866,2.6667
2006-03-31,111.75,138040243.0,1105716.836,18.9407,2.4571,2.6667
2006-04-30,113.38,162285772.0,1119734.126,19.2161,2.4928,2.6667
2006-05-31,93.67,191193290.0,926790.2484,15.8757,2.0595,2.6667
2006-06-30,92.42,115124009.0,914422.0512,15.6638,2.032,2.6667
2006-07-31,96.04,60223813.0,950289.8232,16.2782,2.1117,2.6667
2006-08-31,103.54,58233529.0,1024499.007,17.5494,2.2766,2.3333
2006-09-30,108.42,57957211.0,1072734.976,18.3757,2.3838,2.3333
2006-10-31,108.0,54114922.0,1068612.244,18.3051,2.3747,2.3333
2006-11-30,122.46,143452376.0,1211671.059,20.7556,2.6926,2.3333
2006-12-31,113.75,133464832.0,1125505.951,19.2797,2.5011,2.3333
2007-01-31,118.38,79483414.0,1171268.281,20.0636,2.6028,2.3333
2007-02-28,116.58,97739543.0,1153540.532,19.7599,2.5634,2.6667
2007-03-31,125.21,91764655.0,1238881.093,17.951,2.5433,2.6667
2007-04-30,133.17,122047076.0,1317625.282,19.092,2.7049,2.6667
2007-05-31,132.08,80346150.0,1306906.178,18.9367,2.6829,2.6667
2007-06-30,127.33,72973925.0,1259907.028,18.2557,2.5864,2.6667
2007-07-31,138.17,116770542.0,1367098.071,19.8088,2.8065,2.6667
2007-08-31,144.46,131128339.0,1429351.331,20.7109,2.9343,2.6667
2007-09-30,161.63,239283034.0,1599207.906,23.172,3.283,2.6667
2007-10-31,199.08,413169691.0,1969841.551,28.5424,4.0438,2.6667
2007-11-30,197.21,375517662.0,1951289.255,28.2736,4.0057,2.6667
2007-12-31,209.08,211680175.0,2068787.129,29.9761,4.2469,2.6667
2008-01-31,163.38,579959286.0,1616523.383,23.4229,3.3185,2.6667
2008-02-29,168.33,286408103.0,1665583.898,24.1338,3.4192,2.9167
2008-03-31,163.83,238412389.0,1621058.388,21.6998,3.0665,2.9167
2008-04-30,163.96,209332235.0,1622295.208,21.7163,3.0689,2.9167
