OFSS IN Equity,price,volume,mc,pe,bm,div
2002-06-30,249.73,826096.0,18637.1761,,,0.0
2002-07-31,231.48,3048674.0,17275.164,,,0.0
2002-08-31,271.0,601824.0,20224.9464,,,0.625
2002-09-30,280.63,1759642.0,20943.2678,,,0.625
2002-10-31,306.27,1103150.0,22857.5478,,,0.625
2002-11-30,362.15,1589766.0,27027.5436,,,0.625
2002-12-31,438.65,1607594.0,32736.7997,,,0.625
2003-01-31,419.78,4443966.0,31328.1434,,,0.625
2003-02-28,454.55,2699274.0,33923.4294,,,0.625
2003-03-31,450.25,6768912.0,33602.517,,,0.625
2003-04-30,423.95,3673632.0,31639.727,,,0.625
2003-05-31,423.38,3054770.0,31596.8142,,,0.625
2003-06-30,510.65,1553406.0,38110.2172,,,0.625
2003-07-31,588.45,3816582.0,43922.7337,,,1.25
2003-08-31,618.25,2462776.0,46147.0475,,,1.25
2003-09-30,777.35,2149564.0,58022.4948,,,1.25
2003-10-31,686.9,1980293.0,51271.1799,,,1.25
2003-11-30,802.2,2088885.0,59877.3336,,,1.25
2003-12-31,845.25,995765.0,63090.6461,,,1.25
2004-01-31,612.0,942450.0,45680.5388,,,1.25
2004-02-29,675.85,1041323.0,50480.5891,,,1.25
2004-03-31,573.3,537457.0,42820.9244,,,1.25
2004-04-30,529.45,497041.0,39562.3022,,,1.25
2004-05-31,526.4,1309491.0,39334.3958,,,1.25
2004-06-30,580.1,502923.0,43356.093,,,1.25
2004-07-31,529.55,382768.0,39586.7229,,,1.25
2004-08-31,584.55,514058.0,43703.5905,,,3.5
2004-09-30,638.2,1744858.0,47714.7061,,,3.5
2004-10-31,596.3,443625.0,44582.0734,,,3.5
2004-11-30,575.9,1397306.0,43074.0967,,,3.5
2004-12-31,636.55,1403219.0,47612.6016,,,3.5
2005-01-31,616.15,3481048.0,46086.7244,,,3.5
2005-02-28,643.4,2418316.0,48133.9747,,,3.5
2005-03-31,587.4,2472821.0,43948.9765,,,3.5
2005-04-30,604.15,2231273.0,45238.5107,,,3.5
2005-05-31,714.65,4603669.0,53512.7065,,,3.5
2005-06-30,786.6,4332048.0,58939.0741,,,3.5
2005-07-31,854.2,6256312.0,64070.0377,,,3.5
2005-08-31,989.45,17039483.0,74315.3103,,,5.0
2005-09-30,976.4,3679679.0,73425.9624,,,5.0
2005-10-31,887.35,7392788.0,67378.1715,,,5.0
2005-11-30,989.85,7975443.0,75187.5249,,,5.0
2005-12-31,1074.35,6701984.0,81670.9031,,,5.0
2006-01-31,1145.8,4191652.0,87165.7,,,5.0
2006-02-28,1063.15,4722333.0,80890.6185,,,5.0
2006-03-31,1327.0,13503324.0,100965.8568,,,5.0
2006-04-30,1220.1,8386257.0,90308.6827,,,5.0
2006-05-31,1130.05,3935294.0,86362.8246,,,5.0
2006-06-30,1124.5,2063465.0,85938.6719,,,5.0
2006-07-31,1326.85,6976053.0,101403.0475,,,5.0
2006-08-31,1418.25,6596538.0,108546.8943,,,5.0
2006-09-30,1437.05,1638134.0,109985.7673,,,5.0
2006-10-31,1516.85,4096540.0,116093.3239,,,5.0
2006-11-30,1594.85,3733826.0,129335.6403,,,5.0
2006-12-31,1950.1,14861443.0,158694.4609,,,5.0
2007-01-31,1944.65,1468129.0,158250.953,,,5.0
2007-02-28,1924.85,890833.0,156867.5798,,,5.0
2007-03-31,2081.65,752768.0,171063.7561,,,5.0
2007-04-30,2522.4,1727372.0,210087.1573,,,5.0
2007-05-31,2194.15,1469085.0,182747.6753,,,5.0
2007-06-30,2599.65,3188210.0,216521.2015,,,5.0
2007-07-31,2208.75,1187246.0,183963.6889,,,5.0
2007-08-31,2031.0,1317458.0,169189.0002,,,5.0
2007-09-30,1894.7,856136.0,157834.1968,,,0.0
2007-10-31,1594.25,1286908.0,132864.7892,,,0.0
2007-11-30,1502.2,1027261.0,125797.2275,,,0.0
2007-12-31,1509.55,934708.0,126414.0902,,,0.0
2008-01-31,940.85,1468404.0,78789.598,,,0.0
2008-02-29,1078.95,955304.0,90356.6707,,,0.0
2008-03-31,941.1,704801.0,78812.4221,,,0.0
2008-04-30,1397.0,2574102.0,116994.5613,,,0.0
2008-05-31,1375.85,4965297.0,115223.3122,,,0.0
2008-06-30,1394.2,3341101.0,116760.0645,,,0.0
2008-07-31,1401.95,5401163.0,117409.1037,,,0.0
2008-08-31,1206.55,2234276.0,101069.5649,,,0.0
2008-09-30,770.2,1445100.0,64519.1931,,,0.0
2008-10-31,607.6,1557727.0,50898.0427,,,0.0
2008-11-30,455.85,790456.0,38186.0974,,,0.0
2008-12-31,457.95,1026578.0,38362.0123,,,0.0
2009-01-31,608.35,1986535.0,50960.8694,,,0.0
2009-02-28,718.55,3669991.0,60192.2129,,,0.0
2009-03-31,742.4,3707441.0,62190.1035,,,0.0
2009-04-30,883.4,3498233.0,74001.5321,,,0.0
2009-05-31,1158.35,2517805.0,97033.8179,,,0.0
2009-06-30,1249.35,1854694.0,104656.7966,,,0.0
2009-07-31,1535.7,1372141.0,128644.0438,,,0.0
2009-08-31,1736.35,2055090.0,145452.2983,,,0.0
2009-09-30,1840.55,1853157.0,154185.2738,,,0.0
2009-10-31,2125.9,4242254.0,178089.3989,,,0.0
2009-11-30,2141.25,2838899.0,179412.987,,,0.0
2009-12-31,2318.05,3047697.0,194281.8008,,,0.0
2010-01-31,2161.2,3835999.0,181207.5427,,,0.0
2010-02-28,2237.5,2180820.0,187612.3572,,,0.0
2010-03-31,2300.05,1761049.0,192870.2319,24.9107,4.4954,0.0
2010-04-30,2167.25,1130593.0,181747.9673,23.4724,4.2358,0.0
2010-05-31,2061.85,1299147.0,172916.2383,22.3309,4.0298,0.0
2010-06-30,2261.4,2267535.0,189665.8739,24.2635,4.339,0.0
2010-07-31,2106.8,667912.0,176699.4327,22.6047,,0.0
2010-08-31,2035.6,1423668.0,170753.2509,21.8408,,0.0
2010-09-30,2235.45,1745853.0,187517.8064,22.3095,,0.0
2010-10-31,2210.2,1584925.0,185410.8048,22.0575,,0.0
2010-11-30,2084.0,1062777.0,174829.6843,20.798,,0.0
2010-12-31,2338.4,940139.0,196175.8571,21.905,,0.0
2011-01-31,2288.85,862946.0,192018.9699,21.4408,,0.0
2011-02-28,2048.05,1065771.0,171820.3406,19.1851,,0.0
2011-03-31,1986.7,570812.0,166673.7905,15.0003,3.0833,0.0
2011-04-30,2021.45,961083.0,169589.1347,15.2627,3.1372,0.0
