OLAELEC IN Equity,price,volume,mc,pe,bm,div
2024-08-31,117.93,2932242056.0,520169.1683,,25.7545,0.0
2024-09-30,99.62,1264256743.0,439406.8731,,21.7558,0.0
2024-10-31,80.88,1037649301.0,356747.9211,,17.6632,0.0
2024-11-30,87.41,1285318440.0,385550.6402,,19.0893,0.0
2024-12-31,85.73,1430755278.0,378140.446,,18.7224,0.0
2025-01-31,74.8,778770149.0,329930.0754,,16.3354,0.0
2025-02-28,56.83,689457488.0,250667.4624,,12.411,0.0
2025-03-31,53.05,1259182189.0,233994.5254,,4.5498,0.0
2025-04-30,48.69,739423572.0,214763.3071,,4.1758,0.0
2025-05-31,50.96,567576695.0,224775.8909,,4.3705,0.0
2025-06-30,43.16,963282011.0,190371.4178,,3.7016,0.0
2025-07-31,41.31,2929780767.0,182211.3825,,3.5429,0.0
2025-08-31,54.05,5659192267.0,238405.3553,,4.6355,0.0
2025-09-30,56.95,5301686857.0,251196.762,,4.8842,0.0
2025-10-31,50.14,373151303.0,221159.0104,,4.3002,0.0
2025-11-30,41.21,276025459.0,181770.2996,,3.5343,0.0
2025-12-31,36.24,1945228506.0,159848.475,,3.1081,0.0
2026-01-31,32.33,2484298224.0,142602.1302,,2.7727,0.0
2026-02-28,25.22,1358092592.0,111241.1297,,2.163,0.0
2026-03-31,24.4,308826614.0,107624.2475,,2.0926,0.0
