PI IN Equity,price,volume,mc,pe,bm,div
1995-08-31,1.5,,,,,0.0
1995-09-30,1.92,,,,,0.1467
1995-10-31,4.13,,,,,0.1467
1995-11-30,3.1,,,,,0.1467
1995-12-31,2.93,,,,,0.1467
1996-01-31,2.27,,,,,0.1467
1996-02-29,2.57,,,,,0.1467
1996-03-31,2.75,,,,,0.1467
1996-04-30,2.79,,,,,0.1467
1996-05-31,2.5,54000.0,,,,0.1467
1996-06-30,2.1,465000.0,,,,0.1467
1996-07-31,1.6,84000.0,,,,0.1467
1996-08-31,1.33,24000.0,,,,0.0667
1996-09-30,1.33,3000.0,,,,0.0667
1996-10-31,1.17,45000.0,,,,0.0667
1996-11-30,0.97,27000.0,,,,0.0667
1997-01-31,1.44,33000.0,,,,0.0667
1997-02-28,1.4,42000.0,,,,0.0667
1997-03-31,1.73,12000.0,,,,0.0667
1997-04-30,1.67,3000.0,,,,0.0667
1997-07-31,1.51,,,,,0.0667
1997-09-30,1.4,6000.0,,,,0.0667
1997-10-31,1.5,6000.0,,,,0.0667
1998-05-31,1.35,3000.0,143.8783,,,0.0667
1998-07-31,0.99,36000.0,105.4281,,,0.0667
1998-10-31,1.07,6000.0,113.756,,,0.0667
1998-11-30,1.13,9000.0,120.4892,,,0.0667
1998-12-31,1.04,3000.0,110.9209,,,0.0667
1999-01-31,0.97,3000.0,102.7702,,,0.0667
1999-02-28,0.95,114000.0,100.9983,,,0.0667
1999-03-31,0.92,87000.0,97.4545,,,0.0667
1999-04-30,0.92,18000.0,97.4545,,,0.0667
1999-05-31,0.84,6000.0,88.9494,,,0.0667
1999-06-30,0.87,36000.0,92.1388,,,0.0667
1999-07-31,0.87,15000.0,92.1388,,,0.0667
1999-08-31,1.08,18000.0,115.1735,,,0.0667
1999-09-30,1.5,129000.0,159.471,,,0.0667
1999-10-31,1.27,21000.0,134.6644,,,0.0667
1999-11-30,1.17,18000.0,124.033,,,0.0667
1999-12-31,1.13,36000.0,120.4892,,,0.0667
2000-03-31,0.98,12000.0,104.3649,,,0.0667
2000-05-31,1.03,150000.0,109.8547,,,0.0667
2000-06-30,1.1,15000.0,116.9421,,,0.0667
2000-07-31,1.27,36000.0,135.5465,,,0.0667
2000-08-31,1.27,6000.0,134.6606,,,0.06
