PIDI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,2.5,,2421.9999,,,0.0
1995-02-28,2.31,,2240.3499,,,0.0
1995-03-31,2.63,,2543.0999,,,0.0
1995-04-30,2.19,,2119.2499,,,0.0
1995-05-31,2.09,,2028.4249,,,0.0
1995-06-30,1.88,,1816.4999,,,0.0
1995-07-31,2.06,,1992.0949,,,0.0
1995-08-31,1.97,,1907.3249,,,0.0
1995-09-30,1.97,,1907.3249,,,0.0
1995-10-31,2.0,,1937.5999,,,0.0
1995-11-30,1.83,,1774.1149,,,0.0
1995-12-31,1.89,,1831.6374,,,0.0
1996-01-31,1.94,,1877.0499,,,0.0
1996-02-29,2.03,,1967.8749,,,0.0
1996-03-31,2.03,,1967.8749,,,0.0
1996-04-30,2.25,,2179.7999,,,0.0
1996-05-31,2.17,736000.0,2104.1124,,,0.0
1996-06-30,2.4,21056000.0,2347.4034,,,0.0
1996-07-31,2.2,3088000.0,2154.5919,,,0.0313
1996-08-31,2.19,11712000.0,2142.3499,,,0.0313
1996-09-30,1.75,2848000.0,1713.8799,,,0.0313
1996-10-31,1.92,6064000.0,1879.1469,,,0.0313
1996-11-30,1.85,2088000.0,1811.8159,,,0.0313
1996-12-31,1.88,1808000.0,1839.3604,,,0.0313
1997-01-31,2.06,2840000.0,2016.8694,,,0.0313
1997-02-28,2.18,4192000.0,2139.2894,,,0.0313
1997-03-31,2.13,3746400.0,2084.2004,,,0.0313
1997-04-30,2.04,712000.0,1995.4459,,,0.0313
1997-05-31,2.28,8024000.0,2231.1044,,,0.0313
1997-06-30,2.0,1657600.0,1958.08,,,0.0313
1997-07-31,2.51,3140800.0,2459.838,,,0.0313
1997-08-31,2.33,7240000.0,2285.4465,,,0.05
1997-09-30,2.25,3160000.0,2205.8995,,,0.05
1997-10-31,2.15,1024000.0,2089.6385,,,0.05
1997-11-30,2.13,936800.0,2086.579,,,0.05
1997-12-31,2.13,1896000.0,2080.46,,,0.05
1998-01-31,2.04,1968800.0,1997.8535,,,0.05
1998-02-28,2.11,872000.0,2068.222,,,0.05
1998-03-31,2.38,9096000.0,2325.22,,,0.05
