PTCIL IN Equity,price,volume,mc,pe,bm,div
2015-03-31,11.4,,148.7894,2.1162,0.1308,0.0
2015-04-30,11.4,,148.7894,2.1162,0.1308,0.0
2015-05-31,11.4,,148.7894,2.1162,0.1308,0.0
2015-06-30,144.9,506.0,1891.0397,26.8964,1.6628,0.0
2015-07-31,112.4,3146.0,1466.9376,20.8644,1.2899,0.0
2015-08-31,114.41,2085.0,1493.1329,21.237,1.3129,0.0
2015-09-30,94.34,1617.0,1231.1798,17.5112,1.0826,0.0
2015-10-31,73.86,14575.0,963.9876,13.7109,0.8476,0.0
2015-11-30,60.42,1340.0,788.4789,11.2146,0.6933,0.0
2015-12-31,78.52,1445.0,1024.7607,14.5753,0.9011,0.0
2016-01-31,102.04,11275.0,1331.7698,18.9419,1.171,0.0
2016-02-29,63.06,31213.0,823.0568,11.7064,0.7237,0.0
2016-03-31,81.09,15475.0,1058.2907,16.8896,0.8819,0.0
2016-04-30,72.46,7613.0,945.6508,15.092,0.7881,0.0
2016-05-31,68.75,3774.0,897.1895,14.3186,0.7477,0.0
2016-06-30,82.37,48768.0,1075.0557,17.1572,0.8959,0.0
2016-07-31,85.1,13287.0,1110.6813,17.7258,0.9256,0.0
2016-08-31,83.9,2997.0,1094.9641,17.4749,0.9125,0.0
2016-09-30,93.13,148676.0,1215.4626,19.398,1.0129,0.0
2016-10-31,95.4,29290.0,1245.0633,19.8704,1.0376,0.0
2016-11-30,95.88,3854.0,1251.3501,19.9707,1.0428,0.0
2016-12-31,99.96,6743.0,1304.5266,20.8194,1.0872,0.0
2017-01-31,115.01,34860.0,1500.9915,23.9548,1.2509,0.0
2017-02-28,106.38,22798.0,1388.3516,22.1572,1.157,0.0
2017-03-31,115.21,221139.0,1503.611,25.1975,1.1843,0.0
2017-04-30,136.51,30070.0,1781.5433,29.8551,1.4032,0.0
2017-05-31,124.44,21695.0,1624.1095,27.2169,1.2792,0.0
2017-06-30,123.24,9192.0,1608.3923,26.9535,1.2668,0.0
2017-07-31,125.27,24413.0,1634.8495,27.3968,1.2876,0.0
2017-08-31,146.12,79740.0,1907.0189,31.9579,1.502,0.0
2017-09-30,165.05,81162.0,2154.0407,36.0975,1.6966,0.0
2017-10-31,152.54,21984.0,1990.8439,33.3626,1.568,0.0
2017-11-30,143.69,39855.0,1875.3226,31.4267,1.4771,0.0
2017-12-31,225.7,118147.0,2945.6632,49.3635,2.3201,0.0
2018-01-31,221.37,107012.0,2889.0813,48.4153,2.2755,0.0
2018-02-28,223.42,25496.0,2915.8005,48.863,2.2966,0.0
2018-03-31,227.61,28304.0,2970.5487,39.9296,2.2935,0.0
2018-04-30,213.32,20551.0,2784.0381,37.4225,2.1495,0.0
2018-05-31,199.91,18858.0,2609.0534,35.0704,2.0144,0.0
2018-06-30,178.64,16187.0,2331.383,31.338,1.8,0.0
2018-07-31,166.55,16999.0,2173.6872,29.2183,1.6783,0.0
2018-08-31,217.98,23578.0,2844.8112,38.2394,2.1964,0.0
2018-09-30,172.13,13671.0,2246.5102,30.1972,1.7345,0.0
2018-10-31,188.67,4519.0,2462.3596,33.0986,1.9012,0.0
2018-11-30,166.59,3879.0,2174.2111,29.2254,1.6787,0.0
2018-12-31,184.82,7080.0,2412.0646,32.4225,1.8623,0.0
2019-01-31,161.34,8084.0,2105.5794,28.3028,1.6257,0.0
2019-02-28,157.56,2322.0,2056.3322,27.6408,1.5877,0.0
2019-03-31,160.61,15953.0,2096.1491,28.1761,1.6184,0.0
2019-04-30,161.52,4783.0,2107.937,28.3345,1.6275,0.0
2019-05-31,186.67,7406.0,2436.1643,32.7465,1.8809,0.0
2019-06-30,153.07,6990.0,1997.6547,26.8521,1.5424,0.0
2019-07-31,156.26,24375.0,2039.3053,27.412,1.5745,0.0
2019-08-31,153.23,8863.0,1999.7503,26.8803,1.544,0.0
2019-09-30,158.85,5266.0,2073.0972,27.8662,1.6006,0.0
2019-10-31,164.04,24116.0,2140.9431,28.7782,1.653,0.0
2019-11-30,145.92,7660.0,1904.3994,25.5986,1.4704,0.0
2019-12-31,147.73,13051.0,1927.9752,25.9155,1.4886,0.0
2020-01-31,138.51,20375.0,1807.7387,24.2993,1.3957,0.0
2020-02-29,140.74,40184.0,1836.8155,24.6901,1.4182,0.0
2020-03-31,115.61,14149.0,1508.8501,14.3641,1.0013,0.0
2020-04-30,124.82,7760.0,1629.0866,15.5087,1.0811,0.0
2020-05-31,132.51,10328.0,1729.4147,16.4638,1.1477,0.0
2020-06-30,146.52,48399.0,1912.258,18.2045,1.269,0.0
2020-07-31,192.63,42525.0,2513.9644,23.9327,1.6684,0.0
2020-08-31,314.24,2378994.0,4101.1385,39.0424,2.7217,0.0
2020-09-30,313.7,158961.0,4094.0658,38.9751,2.717,0.0
2020-10-31,333.55,424471.0,4353.1374,41.4414,2.8889,0.0
2020-11-30,359.78,174772.0,4695.5102,44.7007,3.1161,0.0
2020-12-31,334.59,99499.0,4366.759,41.5711,2.8979,0.0
2021-01-31,330.4,91826.0,4312.0108,41.0499,2.8616,0.0
2021-02-28,450.39,187295.0,5877.9667,55.9576,3.9008,0.0
2021-03-31,594.04,125887.0,7752.7654,178.0746,4.9927,0.0
2021-04-30,638.6,132919.0,8334.3014,191.432,5.3672,0.0
2021-05-31,815.07,78554.0,10637.3935,244.3321,6.8503,0.0
2021-06-30,851.42,112488.0,11111.7907,255.2286,7.1558,0.0
2021-07-31,1048.66,76474.0,13686.0043,314.3562,8.8136,0.0
2021-08-31,1117.28,55524.0,14581.6221,334.9278,9.3903,0.0
2021-09-30,1257.44,60780.0,16410.8409,376.9434,10.5683,0.0
2021-10-31,1043.72,77851.0,13621.5638,312.8761,8.7721,0.0
2021-11-30,1209.99,75348.0,15791.5837,362.7196,10.1695,0.0
2021-12-31,1995.85,156552.0,26047.8354,598.2972,16.7744,0.0
2022-01-31,1787.57,60262.0,23329.5475,535.8604,15.0239,0.0
2022-02-28,1581.82,46832.0,20644.2658,474.1817,13.2946,0.0
2022-03-31,2012.33,83980.0,26262.8989,205.0266,15.5843,0.0
2022-04-30,1799.21,84617.0,23481.4804,183.3129,13.9338,0.0
2022-05-31,1605.32,47968.0,20951.0129,163.5583,12.4322,0.0
2022-06-30,1419.42,42197.0,18524.8029,144.6176,10.9925,0.0
2022-07-31,1787.6,80266.0,9365.349,182.1296,13.8438,0.0
2022-08-31,2238.4,94830.0,11727.1186,228.0594,17.335,0.0
