RCF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,21.25,,11723.3698,,,0.0
1995-02-28,20.0,,11033.7598,,,0.0
1995-03-31,21.0,,11585.4478,,,0.0
1995-04-30,17.25,,9516.6178,,,0.0
1995-05-31,14.25,,7861.5538,,,0.0
1995-06-30,13.5,,7447.7878,,,0.0
1995-07-31,13.5,,7447.7878,,,0.0
1995-08-31,12.25,,6758.1779,,,0.0
1995-09-30,12.5,,6896.0999,,,0.5
1995-10-31,14.75,,8137.3978,,,0.5
1995-11-30,14.0,,7723.6318,,,0.5
1995-12-31,12.4,,6840.9311,,,0.5
1996-01-31,10.8,,5958.2303,,,0.5
1996-02-29,10.75,,5930.6459,,,0.5
1996-03-31,10.25,,5654.8019,,,0.5
1996-04-30,12.0,,6620.2559,,,0.5
1996-05-31,9.25,3100.0,5103.1139,,,0.5
1996-06-30,10.1,85000.0,5572.0487,,,0.5
1996-07-31,10.0,32800.0,5516.8799,,,0.5
1996-08-31,10.0,778500.0,5516.8799,,,0.3
1996-09-30,9.0,82300.0,4965.1919,,,0.3
1996-10-31,8.0,4900.0,4413.5039,,,0.3
1996-11-30,5.5,62700.0,3034.2839,,,0.3
1996-12-31,5.0,57600.0,2758.4399,,,0.3
1997-01-31,6.75,263400.0,3723.8939,,,0.3
1997-02-28,7.75,135400.0,4275.5819,,,0.3
1997-03-31,7.0,58800.0,3861.8159,,,0.3
1997-04-30,10.3,542300.0,5682.3863,,,0.3
1997-05-31,7.5,477200.0,4137.6599,,,0.3
1997-06-30,8.7,65400.0,4799.6855,,,0.3
1997-07-31,9.45,21000.0,5213.4515,,,0.35
1997-08-31,9.6,77600.0,5296.2047,,,0.35
1997-09-30,10.0,34000.0,5516.8799,,,0.35
1997-10-31,7.8,228600.0,4303.1663,,,0.35
1997-11-30,7.2,62800.0,3972.1535,,,0.35
1997-12-31,7.6,31800.0,4192.8287,,,0.4
1998-01-31,7.3,140900.0,4027.3223,,,0.4
1998-02-28,6.75,22400.0,3723.8939,,,0.4
1998-03-31,7.8,82200.0,4303.1663,,,0.4
1998-04-30,10.9,864100.0,6013.3991,,,0.4
1998-05-31,11.25,211200.0,6206.4899,,,0.4
1998-06-30,9.2,119600.0,5075.5295,,,0.4
1998-07-31,7.9,29000.0,4358.3351,,,0.4
1998-08-31,9.0,13200.0,4965.1919,,,0.5
1998-09-30,8.6,173900.0,4744.5167,,,0.5
1998-10-31,7.65,20500.0,4220.4131,,,0.5
1998-11-30,7.0,279200.0,3861.8159,,,0.5
1998-12-31,8.0,169900.0,4413.5039,,,0.5
1999-01-31,7.9,155500.0,4358.3351,,,0.5
1999-02-28,7.5,274000.0,4137.6599,,,0.5
1999-03-31,6.9,244900.0,3806.6471,,,0.5
1999-04-30,6.2,273400.0,3420.4655,,,0.5
1999-05-31,6.5,88300.0,3585.9719,,,0.5
1999-06-30,6.9,54600.0,3806.6471,,,0.5
1999-07-31,7.1,143600.0,3916.9847,,,0.5
1999-08-31,13.35,1064500.0,7365.0346,,,0.6
1999-09-30,16.7,3231900.0,9213.1894,,,0.6
1999-10-31,22.35,5878700.0,12330.2265,,,0.6
1999-11-30,17.0,1169600.0,9378.6958,,,0.6
1999-12-31,15.15,1124200.0,8358.073,,,0.6
2000-01-31,10.5,1078100.0,5792.7239,,,0.6
2000-02-29,12.45,3369200.0,6868.5155,,,0.6
2000-03-31,8.15,1384200.0,4496.2571,,,0.6
2000-04-30,6.35,712900.0,3503.2187,,,0.6
2000-05-31,8.15,546949.0,4496.2571,,,0.6
2000-06-30,6.75,753281.0,3723.8939,,,0.6
2000-07-31,5.85,243001.0,3227.3747,,,0.6
2000-08-31,6.25,378716.0,3448.0499,,,0.2
2000-09-30,5.45,578867.0,3006.6995,,,0.2
2000-10-31,5.15,356606.0,2841.1931,,,0.2
2000-11-30,6.35,295218.0,3503.2187,,,0.2
2000-12-31,7.0,479471.0,3861.8159,,,0.2
2001-01-31,7.35,192909.0,4054.9067,,,0.2
2001-02-28,7.45,1551244.0,4110.0755,,,0.2
2001-03-31,6.0,1408695.0,3310.1279,,,0.2
2001-04-30,5.95,305046.0,3282.5435,,,0.2
2001-05-31,6.1,414533.0,3365.2967,,,0.2
2001-06-30,5.75,374643.0,3172.2059,,,0.2
2001-07-31,5.7,88462.0,3144.6215,,,0.2
2001-08-31,5.55,99849.0,3061.8683,,,0.4
2001-09-30,5.0,73003.0,2758.4406,,,0.4
2001-10-31,5.55,129175.0,3061.869,,,0.4
2001-11-30,5.55,159630.0,3061.869,,,0.4
2001-12-31,5.35,140979.0,2951.5314,,,0.4
2002-01-31,5.5,108463.0,3034.2846,,,0.4
2002-02-28,9.85,7432879.0,5434.1279,,,0.4
2002-03-31,11.2,3959809.0,6178.9068,,,0.4
2002-04-30,14.55,12722470.0,8027.062,,,0.4
2002-05-31,34.3,47575285.0,18922.9022,,,0.4
2002-06-30,28.6,38001409.0,15778.28,,,0.4
2002-07-31,22.4,24485756.0,12357.8137,,,0.4
2002-08-31,18.8,6504834.0,10371.7365,,,0.2
2002-09-30,12.55,9070308.0,6923.6858,,,0.2
2002-10-31,14.3,6937651.0,7889.14,,,0.2
2002-11-30,15.75,2213692.0,8689.0877,,,0.2
2002-12-31,17.4,7033619.0,9599.3731,,,0.2
2003-01-31,17.6,6447152.0,9709.7107,,,0.2
2003-02-28,16.3,2722362.0,8992.5162,,,0.2
2003-03-31,12.9,1601504.0,7116.7766,,,0.2
2003-04-30,23.65,16368535.0,13047.4238,,,0.2
2003-05-31,33.8,22225529.0,18647.0581,,,0.2
2003-06-30,38.45,29673423.0,21212.4078,,,0.2
2003-07-31,34.1,17997285.0,18812.5646,,,0.2
2003-08-31,36.4,10841906.0,20081.4472,,,0.2
2003-09-30,29.25,12869619.0,16136.8772,,,0.2
2003-10-31,32.2,8233765.0,17764.3572,,,0.0
2003-11-30,31.3,9951432.0,17267.8379,,,0.0
2003-12-31,38.05,19990073.0,20991.7326,,,0.0
2004-01-31,51.55,39346074.0,28439.5221,,,0.0
2004-02-29,43.95,13204206.0,24246.6924,,,0.0
2004-03-31,43.85,8087377.0,24191.5236,,,0.0
2004-04-30,46.25,11191847.0,25515.5751,,,0.0
2004-05-31,29.65,16347238.0,16357.5525,,,0.0
2004-06-30,29.05,4598049.0,16026.5396,,,0.0
2004-07-31,32.35,7564758.0,17847.1104,,,1.7
2004-08-31,32.45,6472515.0,17902.2792,,,1.7
2004-09-30,35.95,11177808.0,19833.1876,,,1.7
2004-10-31,32.3,5823907.0,17819.526,,,1.7
2004-11-30,34.45,6377071.0,19005.6554,,,1.7
2004-12-31,39.95,14692854.0,22039.94,,,1.7
2005-01-31,38.15,31078748.0,21046.9014,,,1.7
2005-02-28,38.2,27670625.0,21074.4858,,,0.6
2005-03-31,34.55,22011053.0,19060.8242,,,0.6
2005-04-30,33.0,6508979.0,18205.7076,,,0.6
2005-05-31,37.05,10494469.0,20440.0445,,,0.6
2005-06-30,35.35,6301859.0,19502.1747,,,0.6
2005-07-31,39.25,89878181.0,21653.7583,,,1.7
2005-08-31,43.7,46443230.0,24108.7704,,,1.7
2005-09-30,40.6,21681561.0,22398.5373,,,1.7
2005-10-31,35.85,18701547.0,19778.0188,,,1.7
2005-11-30,41.95,14900013.0,23143.3162,,,1.7
2005-12-31,42.75,34420008.0,23584.6667,,,1.7
2006-01-31,41.9,10211931.0,23115.7318,,,1.7
2006-02-28,39.75,11636068.0,21929.6024,,,1.7
2006-03-31,37.0,5598084.0,20412.4601,,,1.7
2006-04-30,59.7,48633313.0,29929.08,,,1.4
2006-05-31,43.5,54765687.0,23998.4328,,,1.4
2006-06-30,35.85,10190819.0,19778.0188,,,1.4
2006-07-31,33.0,3472648.0,18205.7076,,,1.4
2006-08-31,42.0,14096023.0,23170.9006,,,1.0
2006-09-30,41.85,16963188.0,23088.1474,,,1.0
2006-10-31,41.0,13044661.0,22619.2125,,,1.0
2006-11-30,37.75,7633765.0,20826.2262,,,1.0
2006-12-31,36.95,5454977.0,20384.8757,,,1.0
2007-01-31,41.3,16392858.0,22784.719,,,1.0
2007-02-28,40.25,25273526.0,22205.4464,,,1.0
2007-03-31,35.1,5755587.0,19364.2527,,,1.0
2007-04-30,37.25,4335193.0,20550.3821,,,1.0
2007-05-31,38.8,9963507.0,21405.4987,,,1.0
2007-06-30,42.9,12418713.0,23667.4199,,,1.0
2007-07-31,47.0,44741121.0,25929.3412,,,1.0
2007-08-31,50.25,63047369.0,27722.3275,,,1.0
2007-09-30,61.7,84186323.0,34039.1489,,,1.0
2007-10-31,55.9,32282198.0,30839.3585,,,1.0
2007-11-30,74.8,83704788.0,41266.2615,,,1.0
2007-12-31,117.8,45626030.0,64988.845,,,1.0
2008-01-31,89.85,39460746.0,49569.1657,,,1.0
2008-02-29,84.55,24201491.0,46645.2194,,,1.0
2008-03-31,52.2,13764567.0,28798.113,,,1.0
2008-04-30,71.3,13573850.0,39335.3536,,,1.0
2008-05-31,73.0,17038710.0,40273.2231,,,1.0
2008-06-30,50.1,13090094.0,27639.5682,,,1.0
2008-07-31,67.45,28250955.0,37211.3548,,,1.0
2008-08-31,60.3,33075051.0,33266.7857,,,0.0
2008-09-30,49.7,12947305.0,27418.893,,,1.0
2008-10-31,31.6,12158242.0,17433.3404,,,1.0
2008-11-30,26.05,7094623.0,14371.4721,,,1.0
2008-12-31,34.1,13710169.0,18812.5604,,,1.0
2009-01-31,32.75,11554863.0,18067.7816,,,1.0
2009-02-28,34.3,26411494.0,18922.898,,,1.0
2009-03-31,37.45,12589986.0,20660.7152,9.8037,1.2357,1.0
2009-04-30,44.85,33205304.0,24743.2063,11.7408,1.4799,1.0
2009-05-31,71.2,35998787.0,39280.1848,18.6387,2.3493,1.0
2009-06-30,75.05,65056601.0,41404.1835,19.6466,2.4763,1.0
2009-07-31,68.4,40436695.0,37735.4584,17.9058,2.2569,1.0
2009-08-31,67.25,20318087.0,37101.0172,17.6047,2.219,1.0
2009-09-30,70.45,31358230.0,38866.4188,18.4424,2.3245,1.2
2009-10-31,60.45,27297592.0,33349.5389,15.8246,1.9946,1.2
2009-11-30,70.3,67362280.0,38783.6656,18.4031,2.3196,1.2
2009-12-31,74.0,28034522.0,40824.9111,19.3717,2.4417,1.2
2010-01-31,103.35,351603274.0,57016.9536,27.055,3.4101,1.2
2010-02-28,92.8,227592572.0,51196.6453,24.2932,3.062,1.2
2010-03-31,79.65,64834816.0,43941.9483,18.7412,2.3939,1.2
2010-04-30,83.7,33912206.0,46176.2846,19.6941,2.5157,1.2
2010-05-31,81.05,38585496.0,44714.3115,19.0706,2.436,1.2
2010-06-30,82.7,37041587.0,45624.5966,19.4588,2.4856,1.1
2010-07-31,83.3,52467609.0,45955.6094,19.6,2.5036,1.1
2010-08-31,79.4,33325616.0,43804.0263,18.6824,2.3864,1.1
2010-09-30,80.75,22370418.0,44548.8051,19.0,2.427,1.1
2010-10-31,94.8,87384391.0,52300.0213,22.3059,2.8493,1.1
2010-11-30,105.0,146668715.0,57927.2388,24.7059,3.1559,1.1
2010-12-31,101.95,128443258.0,56244.5904,23.9882,3.0642,1.1
2011-01-31,78.9,54387685.0,43528.1823,18.5647,2.3714,1.1
2011-02-28,79.15,59799927.0,43666.1043,18.6235,2.3789,1.1
2011-03-31,79.4,27529436.0,43804.0263,17.8829,2.1788,1.1
2011-04-30,86.6,37137536.0,47776.1798,19.5045,2.3763,1.1
2011-05-31,81.25,14846718.0,44824.649,18.2995,2.2295,1.1
2011-06-30,79.4,19753214.0,43804.0263,17.8829,2.1788,1.1
2011-07-31,74.35,15981490.0,41018.0019,16.7455,2.0402,1.1
2011-08-31,79.15,45884982.0,43666.1043,17.8266,2.1719,0.0
2011-09-30,73.15,18250072.0,40355.9763,16.4752,2.0073,1.1
2011-10-31,73.75,9444287.0,40686.9891,16.6104,2.0237,1.1
2011-11-30,56.45,10558086.0,31142.7869,12.714,1.549,1.1
2011-12-31,46.15,9847036.0,25460.4007,10.3941,1.2664,1.1
2012-01-31,66.3,53786902.0,36576.9136,14.9324,1.8193,1.1
2012-02-29,66.15,35203832.0,36494.1604,14.8986,1.8152,1.1
2012-03-31,56.45,19226567.0,31142.7938,12.5166,1.4354,1.1
2012-04-30,60.55,15195265.0,33404.7151,13.4257,1.5397,1.1
2012-05-31,56.65,21579626.0,31253.1315,12.561,1.4405,1.1
2012-06-30,58.45,18491043.0,32246.1701,12.9601,1.4863,1.1
2012-07-31,53.0,18731538.0,29239.4698,11.7517,1.3477,1.1
2012-08-31,50.35,15395044.0,27777.4964,11.1641,1.2803,1.4
2012-09-30,60.15,31526370.0,33184.0398,13.337,1.5295,1.4
2012-10-31,53.7,20763664.0,29625.6515,11.9069,1.3655,1.4
2012-11-30,53.25,7129937.0,29377.3919,11.8071,1.3541,1.4
2012-12-31,54.6,19950395.0,30122.1708,12.1064,1.3884,1.4
2013-01-31,53.15,8229942.0,29322.2231,11.7849,1.3515,1.4
2013-02-28,47.4,7544050.0,26150.0164,10.51,1.2053,1.4
2013-03-31,36.4,16424519.0,20081.4472,7.3535,0.8561,1.4
2013-04-30,38.8,7952716.0,21405.4987,7.8384,0.9125,1.4
2013-05-31,38.7,9504013.0,21350.3299,7.8182,0.9102,1.4
2013-06-30,33.05,6390133.0,18233.292,6.6768,0.7773,1.4
2013-07-31,27.85,5970684.0,15364.5139,5.6263,0.655,1.4
2013-08-31,31.35,11834032.0,17295.4223,6.3333,0.7373,1.5
2013-09-30,30.75,10911786.0,16964.4094,6.2121,0.7232,1.5
2013-10-31,32.15,8513678.0,17736.7727,6.4949,0.7561,1.5
2013-11-30,33.3,10138670.0,18371.2141,6.7273,0.7832,1.5
2013-12-31,35.6,13830011.0,19640.0967,7.1919,0.8373,1.5
2014-01-31,31.05,15796029.0,17129.9158,6.2727,0.7303,1.5
2014-02-28,32.35,9615470.0,17847.1104,6.5354,0.7608,1.5
2014-03-31,33.15,8804558.0,18288.4609,7.5858,0.7345,1.5
2014-04-30,34.9,13412634.0,19253.9151,7.9863,0.7732,1.5
2014-05-31,52.55,74035170.0,28991.2102,12.0252,1.1643,1.5
2014-06-30,65.35,121857457.0,36052.818,14.9542,1.4479,1.5
2014-07-31,51.25,63904185.0,28274.0157,11.7277,1.1355,1.5
2014-08-31,53.9,49878571.0,29735.9891,12.3341,1.1942,1.5
2014-09-30,52.55,52091578.0,28991.2102,12.0252,1.1643,1.5
2014-10-31,57.95,21749816.0,31970.326,13.2609,1.2839,1.5
2014-11-30,66.7,62507494.0,36797.597,15.2632,1.4778,1.5
2014-12-31,68.3,35226988.0,37680.2979,15.6293,1.5132,1.5
2015-01-31,64.95,44892148.0,35832.1428,14.8627,1.439,1.5
2015-02-28,66.3,57991620.0,36576.9136,15.1716,1.4689,1.5
2015-03-31,56.45,22419066.0,31142.7938,9.0032,1.1465,1.5
2015-04-30,58.95,31262586.0,32522.0141,9.4019,1.1973,1.5
2015-05-31,55.85,11202039.0,30811.781,8.9075,1.1343,1.5
2015-06-30,54.65,12913708.0,30149.7552,8.7161,1.1099,1.5
2015-07-31,54.3,25877062.0,29956.6644,8.6603,1.1028,1.5
2015-08-31,44.4,25489535.0,24494.9521,7.0813,0.9018,1.8
2015-09-30,47.8,17138783.0,26370.6917,7.6236,0.9708,1.8
2015-10-31,47.75,15205250.0,26343.1073,7.6156,0.9698,1.8
2015-11-30,49.65,12377325.0,27391.3147,7.9187,1.0084,1.8
2015-12-31,49.4,26622764.0,27253.3927,7.8788,1.0033,1.8
2016-01-31,42.45,27406385.0,23419.1603,6.7703,0.8622,1.8
2016-02-29,38.35,21708113.0,21157.239,6.1164,0.7789,1.8
2016-03-31,38.65,32222413.0,21322.7455,12.6307,0.757,1.8
2016-04-30,45.45,45580344.0,25074.2246,14.8529,0.8901,1.8
2016-05-31,43.1,29949941.0,23777.7576,14.085,0.8441,1.8
2016-06-30,49.05,33996807.0,27060.3018,16.0294,0.9607,1.8
2016-07-31,49.5,42033764.0,27308.5615,16.1765,0.9695,1.8
2016-08-31,47.95,27439854.0,26453.4449,15.6699,0.9391,1.8
2016-09-30,44.95,21454767.0,24798.3806,14.6895,0.8804,1.1
2016-10-31,49.15,36138751.0,27115.4706,16.0621,0.9626,1.1
2016-11-30,46.75,22950726.0,25791.4192,15.2778,0.9156,1.1
2016-12-31,46.75,25302900.0,25791.4192,15.2778,0.9156,1.1
2017-01-31,57.95,99053535.0,31970.326,18.9379,1.135,1.1
2017-02-28,59.35,55797363.0,32742.6893,19.3954,1.1624,1.1
2017-03-31,81.75,113912467.0,45100.503,25.1538,1.5419,1.1
2017-04-30,84.35,69838570.0,46534.8921,25.9538,1.5909,1.1
2017-05-31,88.25,105665103.0,48686.4757,27.1538,1.6645,1.1
2017-06-30,75.9,48050172.0,41873.1276,23.3538,1.4315,1.1
2017-07-31,87.2,76991595.0,48107.2032,26.8308,1.6447,1.1
2017-08-31,95.65,183093340.0,52768.9678,29.4308,1.804,1.1
2017-09-30,88.3,94335530.0,48714.0601,27.1692,1.6654,1.1
2017-10-31,90.3,92606069.0,49817.4364,27.7846,1.7031,1.1
2017-11-30,92.0,128701354.0,50755.3039,28.3077,1.7352,1.1
2017-12-31,96.4,104301118.0,53182.7315,29.6615,1.8182,1.1
2018-01-31,97.75,186653150.0,53927.5104,30.0769,1.8437,1.1
2018-02-28,82.7,73193548.0,45624.6059,25.4462,1.5598,1.1
2018-03-31,73.2,54135358.0,40383.5689,51.1888,1.3784,1.1
2018-04-30,80.5,60036129.0,44410.892,56.2937,1.5159,1.1
2018-05-31,71.55,38771015.0,39473.2836,50.035,1.3473,1.1
2018-06-30,70.9,56673053.0,39114.6863,49.5804,1.3351,1.1
2018-07-31,71.1,43238154.0,39225.0239,49.7203,1.3389,1.1
2018-08-31,70.65,47285041.0,38976.7643,49.4056,1.3304,1.1
