RRKABEL IN Equity,price,volume,mc,pe,bm,div
2023-09-30,1399.95,24407327.0,157940.6245,81.9163,9.4365,0.0
2023-10-31,1356.35,11227639.0,153021.7265,79.3651,9.1426,0.0
2023-11-30,1629.7,13348634.0,183860.7348,95.3599,10.9852,3.0
2023-12-31,1571.4,5720014.0,177283.401,91.9485,10.5922,3.0
2024-01-31,1433.35,5218226.0,161708.7711,83.8707,9.6617,3.0
2024-02-29,1444.4,2126787.0,162955.4184,84.5173,9.7362,3.0
2024-03-31,1538.95,3049903.0,173622.4322,57.8118,9.4954,3.0
2024-04-30,1654.05,1920231.0,186607.8716,62.1356,10.2055,3.0
2024-05-31,1727.05,10901440.0,194843.6412,64.8779,10.656,3.0
2024-06-30,1740.4,4054290.0,196349.7716,65.3794,10.7383,3.0
2024-07-31,1795.05,2856182.0,202515.3169,67.4324,11.0755,6.0
2024-08-31,1614.0,3766126.0,182473.3476,60.6311,9.9584,6.0
2024-09-30,1733.35,6304554.0,195966.6524,65.1146,10.6948,6.0
2024-10-31,1506.65,3296581.0,170336.7219,56.5984,9.2961,5.0
2024-11-30,1439.1,2827748.0,162716.8107,54.0609,8.8793,5.0
2024-12-31,1439.65,2670537.0,162778.9984,54.0815,8.8827,5.0
2025-01-31,1226.0,2113161.0,138621.9234,46.0556,7.5645,5.0
2025-02-28,890.25,7294172.0,100659.1903,33.4429,5.4929,5.0
2025-03-31,948.0,6779990.0,107193.1101,34.3727,4.9797,5.0
2025-04-30,1044.7,4606227.0,118127.2597,37.8789,5.4876,5.0
2025-05-31,1425.7,26060277.0,161208.035,51.6933,7.4889,5.0
2025-06-30,1348.6,3713523.0,152490.1143,48.8978,7.0839,5.0
2025-07-31,1439.8,7097150.0,162821.5583,52.2045,7.563,6.0
2025-08-31,1167.5,2404874.0,132028.177,42.3314,6.1326,6.0
2025-09-30,1261.4,2630066.0,142646.9743,45.736,6.6259,6.0
2025-10-31,1412.0,7894242.0,159679.8564,51.1965,7.417,6.0
2025-11-30,1403.3,7835433.0,158698.0758,50.8811,7.3713,7.5
2025-12-31,1452.7,4739942.0,164284.6823,52.6722,7.6307,7.5
2026-01-31,1373.7,3531749.0,155366.922,49.8078,7.2158,7.5
2026-02-28,1562.6,6182304.0,176731.7117,56.657,8.208,7.5
2026-03-31,1496.3,988625.0,169233.1171,54.2531,7.8598,7.5
