SAGILITY IN Equity,price,volume,mc,pe,bm,div
2024-11-30,37.02,722326329.0,173302.7778,69.5317,2.4634,0.0
2024-12-31,50.45,882661448.0,236173.0184,94.7562,3.357,0.0
2025-01-31,49.61,358343010.0,232240.7026,93.1785,3.3011,0.0
2025-02-28,42.86,146679710.0,200641.7358,80.5005,2.852,0.0
2025-03-31,42.91,129386411.0,200875.8022,36.6752,2.4097,0.0
2025-04-30,41.06,133547748.0,192215.3446,35.094,2.3058,0.0
2025-05-31,39.53,548887119.0,185052.9122,33.7863,2.2199,0.0
2025-06-30,41.21,698693421.0,192917.5439,35.2222,2.3143,0.0
2025-07-31,46.62,1085956289.0,218243.5306,39.8462,2.6181,0.0
2025-08-31,43.87,685201103.0,205369.8775,37.4957,2.4636,0.0
2025-09-30,42.66,691044632.0,199705.4701,36.4615,2.3957,0.0
2025-10-31,52.54,1332471554.0,245956.9948,44.906,2.9505,0.0
2025-11-30,50.08,2047027044.0,234440.9269,42.8034,2.8124,0.05
2025-12-31,52.02,594710857.0,243522.704,44.4615,2.9213,0.05
2026-01-31,49.93,646837666.0,233738.7277,42.6752,2.8039,0.05
2026-02-28,39.55,581785641.0,185146.5387,33.8034,2.221,0.05
2026-03-31,39.6,314192846.0,185380.598,33.8462,2.2238,0.05
