SF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,24.5,,5005.8398,,,0.0
1995-02-28,24.38,,4980.2998,,,0.0
1995-03-31,25.63,,5235.6998,,,0.0
1995-04-30,25.5,,5210.1598,,,0.0
1995-05-31,24.5,,5005.8398,,,0.0
1995-06-30,24.9,,5087.5678,,,0.0
1995-07-31,24.75,,5056.9198,,,0.125
1995-08-31,25.6,,5230.5918,,,0.125
1995-09-30,26.5,,5414.4798,,,0.125
1995-10-31,25.8,,5271.4558,,,0.125
1995-11-30,24.4,,4985.4078,,,0.125
1995-12-31,25.75,,5261.2398,,,0.125
1996-01-31,26.25,,5363.3998,,,0.125
1996-02-29,31.75,,6487.1597,,,0.125
1996-03-31,32.0,,6538.2397,,,0.125
1996-04-30,34.5,,7049.0397,,,0.125
1996-05-31,34.25,47000.0,6997.2751,,,0.125
1996-06-30,35.5,140000.0,7252.6501,,,0.125
1996-07-31,35.11,137000.0,7173.4839,,,0.125
1996-08-31,35.5,1195420.0,7252.6501,,,0.25
1996-09-30,30.0,233800.0,6129.0001,,,0.25
1996-10-31,30.99,334700.0,6330.7463,,,0.25
1996-11-30,30.5,614500.0,6231.1501,,,0.25
1996-12-31,29.99,104000.0,6126.4463,,,0.25
1997-01-31,30.85,562400.0,6302.6551,,,0.25
1997-02-28,31.75,186100.0,6486.5251,,,0.25
1997-03-31,30.75,259500.0,6282.2251,,,0.25
1997-04-30,30.54,943100.0,6238.8113,,,0.25
1997-05-31,29.96,1590000.0,6121.3388,,,0.25
1997-06-30,30.36,494500.0,6203.0588,,,0.25
1997-07-31,32.5,312000.0,6639.7501,,,0.25
1997-08-31,32.5,259500.0,6639.7501,,,0.25
1997-09-30,30.91,615800.0,6315.4238,,,0.25
1997-10-31,30.0,215900.0,6129.0001,,,0.25
1997-11-30,24.65,215500.0,5035.9951,,,0.25
1997-12-31,22.85,88800.0,4668.2551,,,0.25
1998-01-31,19.4,134000.0,3963.4201,,,0.25
1998-02-28,17.65,688800.0,3605.8951,,,0.25
1998-03-31,18.5,79700.0,3779.5501,,,0.25
1998-04-30,18.5,310700.0,3779.5501,,,0.25
1998-05-31,17.84,308200.0,3644.2013,,,0.25
1998-06-30,16.5,589200.0,3371.2799,,,0.25
1998-07-31,14.8,1505500.0,3023.9359,,,0.25
1998-08-31,14.0,1055400.0,2860.4799,,,0.25
1998-09-30,16.3,123900.0,3330.4159,,,0.25
1998-10-31,15.55,737500.0,3177.1759,,,0.25
1998-11-30,16.0,266700.0,3269.1199,,,0.25
1998-12-31,18.5,124600.0,3779.9199,,,0.25
1999-01-31,17.25,83220.0,3524.5199,,,0.25
1999-02-28,16.65,760500.0,3401.9279,,,0.25
1999-03-31,17.89,412400.0,3654.7739,,,0.25
1999-04-30,18.25,143900.0,3728.8399,,,0.25
1999-05-31,20.8,226200.0,4249.8558,,,0.25
1999-06-30,23.0,230620.0,4699.3598,,,0.25
1999-07-31,26.75,550380.0,5465.5598,,,0.25
1999-08-31,33.0,1014700.0,6742.5597,,,0.35
1999-09-30,34.0,468220.0,6946.8797,,,0.35
1999-10-31,36.25,469760.0,7406.5997,,,0.35
1999-11-30,35.1,256900.0,7171.6317,,,0.35
1999-12-31,35.46,644100.0,7245.1869,,,0.35
2000-01-31,38.5,288400.0,7866.3197,,,0.35
2000-02-29,30.25,757000.0,6180.6798,,,0.35
2000-03-31,27.5,1633400.0,5618.7998,,,0.55
2000-04-30,27.5,68000.0,5618.7998,,,0.55
2000-05-31,28.0,2040020.0,5720.9598,,,0.55
2000-06-30,26.75,555160.0,5465.5598,,,0.55
2000-07-31,23.5,824220.0,4801.5198,,,0.55
2000-08-31,19.5,145480.0,3984.2398,,,0.55
2000-09-30,19.1,437500.0,3902.3975,,,0.55
2000-10-31,16.5,82440.0,3371.181,,,0.55
2000-11-30,17.0,90180.0,3473.3381,,,0.55
2000-12-31,17.0,157600.0,3473.8488,,,0.55
2001-01-31,15.4,135140.0,3146.4356,,,0.55
2001-02-28,15.0,173400.0,3064.71,,,0.55
2001-03-31,10.5,523480.0,2145.297,,,0.55
2001-04-30,9.45,119180.0,1930.7673,,,0.55
2001-05-31,9.98,170800.0,2038.0322,,,0.0
2001-06-30,9.0,84400.0,1838.3152,,,0.0
2001-07-31,8.69,31080.0,1775.9995,,,0.0
2001-08-31,8.34,112620.0,1703.9788,,,0.35
2001-09-30,8.0,66180.0,1634.512,,,0.35
2001-10-31,8.46,46180.0,1727.9857,,,0.35
2001-11-30,10.7,601100.0,2185.1383,,,0.35
2001-12-31,9.6,95380.0,1961.4144,,,0.35
2002-01-31,10.66,443700.0,2177.9873,,,0.35
2002-02-28,11.9,12980020.0,2431.3366,,,0.35
2002-03-31,11.78,2108520.0,2405.7974,8.4317,1.2965,0.35
2002-04-30,15.9,1614400.0,3249.1034,11.3873,1.7509,0.0
2002-05-31,13.0,442300.0,2656.082,9.3089,1.4313,0.0
2002-06-30,14.95,542320.0,3054.4943,10.7052,1.646,0.5
2002-07-31,14.7,1120320.0,3003.4158,10.5262,1.6185,0.5
2002-08-31,14.0,1461360.0,2860.396,10.025,1.5414,0.5
2002-09-30,14.2,4639800.0,2901.2588,10.1682,1.5635,0.5
2002-10-31,14.5,348940.0,2962.553,10.383,1.5965,0.5
2002-11-30,15.25,806100.0,3115.7885,10.9201,1.6791,0.5
2002-12-31,16.51,548820.0,3372.7134,11.8205,1.8175,0.5
2003-01-31,16.98,200720.0,3469.7626,12.1607,1.8698,0.5
2003-02-28,17.0,577880.0,3473.3381,12.1732,1.8717,0.5
2003-03-31,16.0,446420.0,3269.024,6.8085,1.4825,0.5
2003-04-30,18.02,1126180.0,3681.2275,7.667,1.6694,0.5
