SUNP IN Equity,price,volume,mc,pe,bm,div
1995-01-31,1.93,,,,,0.0
1995-02-28,1.89,,,,,0.0
1995-03-31,1.81,,,,,0.0
1995-04-30,1.83,,,,,0.0
1995-05-31,2.08,,3996.2699,,,0.0
1995-06-30,2.1,,4025.8719,,,0.0
1995-07-31,2.16,,4144.2799,,,0.0
1995-08-31,2.04,,3907.4639,,,0.0
1995-09-30,2.1,,4025.8719,,,0.0
1995-10-31,2.12,,4070.2749,,,0.0
1995-11-30,1.8,,3448.6329,,,0.0
1995-12-31,1.84,,3522.6379,,,0.0
1996-01-31,1.64,,3137.8119,,,0.0
1996-02-29,2.16,,4144.2799,,,0.0
1996-03-31,2.05,,3922.2649,,,0.0
1996-04-30,2.2,,4218.2849,,,0.0
1996-05-31,2.12,7572000.0,4070.2749,,,0.0
1996-06-30,2.18,12420000.0,4188.6829,,,0.0
1996-07-31,2.02,3576000.0,3877.8619,,,0.0
1996-08-31,2.01,19476000.0,3863.0609,,,0.0
1996-09-30,1.62,2352000.0,3108.2099,,,0.0
1996-10-31,1.62,2220000.0,3108.2099,,,0.0
1996-11-30,1.63,17376000.0,3134.1117,,,0.0
1996-12-31,1.83,1788000.0,3504.1367,,,0.0
1997-01-31,1.92,3540000.0,3681.7487,,,0.0
1997-02-28,1.86,1476000.0,3559.6404,,,0.0
1997-03-31,1.98,2544000.0,3796.4564,,,0.0
1997-04-30,2.05,1212000.0,3922.2649,,,0.0
1997-05-31,1.95,2784000.0,3744.6529,,,0.0
1997-06-30,1.91,1416000.0,3655.8469,,,0.0292
1997-07-31,1.93,1344000.0,3692.8494,,,0.0292
1997-08-31,2.28,45600000.0,4369.9951,,,0.0292
1997-09-30,2.32,1236000.0,4455.1009,,,0.0292
1997-10-31,2.24,8040000.0,4233.0859,,,0.0292
1997-11-30,2.05,7104000.0,3922.2649,,,0.0292
1997-12-31,1.71,6132000.0,3282.1217,,,0.0292
1998-01-31,1.75,1872000.0,3352.4264,,,0.0292
1998-02-28,1.87,2064000.0,3589.2424,,,0.0292
1998-03-31,1.86,38460840.0,3570.0011,,,0.0292
1998-04-30,2.27,105560520.0,4473.21,,,0.0292
1998-05-31,2.6,90341040.0,5127.4551,,,0.0292
1998-06-30,2.18,34148880.0,4290.63,,,0.05
1998-07-31,2.27,30864360.0,4474.7315,,,0.05
1998-08-31,2.53,49913520.0,4986.7163,,,0.05
1998-09-30,2.7,38084040.0,5325.2501,,,0.05
1998-10-31,2.49,10488000.0,4903.0338,,,0.05
1998-11-30,2.48,9258240.0,4880.2113,,,0.05
1998-12-31,2.11,62266920.0,4164.3455,,,0.05
1999-01-31,2.3,43979880.0,4543.199,,,0.05
1999-02-28,2.38,69454200.0,4689.263,,,0.05
1999-03-31,3.78,162125280.0,7459.1538,,,0.05
1999-04-30,3.17,94985880.0,6334.9974,,,0.05
1999-05-31,3.86,151815720.0,7707.6444,,,0.05
1999-06-30,3.53,30689640.0,7052.9381,,,0.05
1999-07-31,3.83,89388360.0,7661.3754,,,0.05
1999-08-31,5.81,284823000.0,11605.0366,,,0.05
1999-09-30,9.01,197602080.0,18014.0644,,,0.05
1999-10-31,9.31,87348720.0,18603.222,,,0.05
1999-11-30,11.92,122000640.0,23828.5355,,,0.1
1999-12-31,13.22,107405640.0,26411.8881,,,0.1
2000-01-31,15.2,58248240.0,30367.8877,,,0.1
2000-02-29,20.5,110999520.0,40962.7177,,,0.1
2000-03-31,14.82,54805440.0,29612.1606,,,0.2
2000-04-30,8.52,17121120.0,17026.6246,,,0.2
2000-05-31,10.19,35549880.0,20357.4792,,,0.15
2000-06-30,12.43,42536480.0,24831.498,,,0.15
2000-07-31,14.16,39799440.0,28301.5229,,,0.15
2000-08-31,12.9,34733160.0,25784.5981,,,0.15
2000-09-30,10.06,54512880.0,20317.6707,,,0.15
2000-10-31,12.62,59744480.0,25475.9704,,,0.15
2000-11-30,11.72,51315000.0,23655.2565,,,0.1
2000-12-31,12.46,42375000.0,25160.4423,,,0.1
2001-01-31,14.07,42761360.0,28402.2011,,,0.1
2001-02-28,13.76,23125200.0,27782.8312,,,0.1
2001-03-31,12.53,19634920.0,25298.3397,,,0.1
2001-04-30,12.75,13090280.0,25747.0908,,,0.1
2001-05-31,13.89,19770520.0,28035.2536,,,0.0
2001-06-30,12.04,11310480.0,24313.277,,,0.0
2001-07-31,13.88,8922360.0,28018.7139,,,0.125
2001-08-31,12.42,5374000.0,25080.0803,,,0.125
2001-09-30,12.34,26551200.0,24911.7576,,,0.125
2001-10-31,12.91,16843080.0,26071.4245,,,0.125
2001-11-30,13.18,14260040.0,26618.4756,,,0.125
2001-12-31,13.27,6763160.0,26796.1503,,,0.125
2002-01-31,14.36,24768480.0,28996.0436,,,0.125
2002-02-28,14.59,11797000.0,29470.6221,,,0.125
2002-03-31,15.51,8247560.0,31319.8417,,,0.125
2002-04-30,14.6,7527440.0,29477.6356,,,0.125
2002-05-31,12.93,3858080.0,26104.1541,,,0.125
2002-06-30,12.92,4067960.0,26080.7758,,,0.125
2002-07-31,12.73,10923880.0,25716.0751,,,0.125
2002-08-31,13.71,1945880.0,27693.1397,,,0.125
2002-09-30,12.97,3456720.0,26194.0009,,,0.125
2002-10-31,12.85,4083920.0,25960.1258,,,0.125
2002-11-30,13.08,8554400.0,26430.2146,,,0.125
2002-12-31,13.93,6884480.0,28151.7516,,,0.125
2003-01-31,13.43,5213000.0,27140.9839,,,0.125
2003-02-28,12.97,4892860.0,26209.7674,,,0.125
2003-03-31,12.53,11767520.0,25315.9867,,,0.125
2003-04-30,12.84,1705240.0,25952.396,,,0.125
2003-05-31,13.73,21612780.0,27739.9573,,,0.125
2003-06-30,16.13,6475820.0,32597.2575,,,0.125
2003-07-31,18.58,12650640.0,37548.1474,,,0.125
2003-08-31,23.38,9647780.0,47248.7094,,,0.125
2003-09-30,22.76,8065500.0,45737.7427,,,0.25
2003-10-31,24.83,13088440.0,49744.8815,,,0.25
2003-11-30,27.91,12210740.0,55908.4977,,,0.25
2003-12-31,27.57,13140160.0,55222.1055,,,0.25
2004-01-31,28.45,20070180.0,56993.7393,,,0.25
2004-02-29,30.0,12075220.0,60091.7797,,,0.25
2004-03-31,30.1,7506500.0,60281.9289,,,0.25
2004-04-30,34.77,12339740.0,69654.8923,,,0.25
2004-05-31,35.74,14159860.0,71579.573,,,0.25
2004-06-30,33.92,8387370.0,67934.2741,,,0.25
2004-07-31,32.83,8237230.0,65754.5151,,,0.25
2004-08-31,35.79,17002450.0,71681.6043,,,0.25
2004-09-30,39.55,11985100.0,79213.3671,,,0.25
2004-10-31,40.89,11689530.0,81903.2824,,,0.25
2004-11-30,45.89,11795380.0,91920.8979,,,0.0
2004-12-31,51.35,8339130.0,102856.7948,,,0.325
2005-01-31,46.02,39004320.0,92171.3383,,,0.325
2005-02-28,44.12,60112830.0,88377.6302,,,0.325
