SUNTV IN Equity,price,volume,mc,pe,bm,div
2006-04-30,319.61,97661304.0,87733.8385,,,0.0
2006-05-31,302.65,26242872.0,83397.2635,,,0.0
2006-06-30,249.54,4690620.0,68761.7533,,,0.0
2006-07-31,289.69,3731148.0,79825.3585,,,0.0
2006-08-31,299.45,5326716.0,82515.4817,,,0.0
2006-09-30,320.86,6795844.0,88415.8416,,,0.5
2006-10-31,302.56,1808596.0,83373.1522,,,0.5
2006-11-30,381.38,14732832.0,105090.472,,,0.5
2006-12-31,358.54,14103672.0,98797.4437,,,0.5
2007-01-31,422.58,18621008.0,116443.4119,,,0.5
2007-02-28,376.55,11308640.0,103760.9105,,,1.5
2007-03-31,378.6,9268012.0,104325.8019,120.3764,8.7418,1.5
2007-04-30,401.94,7823640.0,110756.6086,127.7966,9.2807,1.5
2007-05-31,346.18,15998224.0,136422.3085,110.0669,7.9931,1.5
2007-06-30,398.5,10830608.0,157042.7961,126.7037,9.2013,1.5
2007-07-31,426.1,12969575.0,167919.4458,135.4791,9.8386,1.75
2007-08-31,334.15,8370513.0,131683.3673,106.2435,7.7155,1.75
2007-09-30,337.85,5212707.0,133141.6144,107.4199,7.8009,1.75
2007-10-31,326.5,6595451.0,128668.7497,103.8112,7.5388,1.75
2007-11-30,380.05,5101114.0,149772.001,120.8375,8.7753,1.75
2007-12-31,405.8,18707442.0,159919.6895,129.0247,9.3699,1.75
2008-01-31,356.4,9344256.0,140451.891,113.3179,8.2292,1.75
2008-02-29,315.55,1639226.0,124353.5191,100.3296,7.286,1.75
2008-03-31,302.4,2160894.0,119171.3014,36.4777,8.2268,1.75
2008-04-30,319.45,3054933.0,125890.4505,38.5344,8.6907,1.0
2008-05-31,361.3,5504546.0,142382.9074,43.5826,9.8292,1.0
2008-06-30,283.9,5566923.0,111880.7291,34.2461,7.7235,1.0
2008-07-31,235.5,7974261.0,92807.0155,28.4077,6.4068,1.0
2008-08-31,238.15,3304881.0,93851.3407,28.7274,6.4789,2.5
2008-09-30,199.95,3439351.0,78797.294,24.1194,5.4397,2.5
2008-10-31,149.05,2127541.0,58738.368,17.9795,4.0549,2.5
2008-11-30,127.05,1893886.0,50068.4982,15.3257,3.4564,2.5
2008-12-31,180.45,38705550.0,71112.6367,21.7672,4.9092,2.5
2009-01-31,164.3,6516204.0,64748.1641,19.8191,4.4698,2.5
2009-02-28,161.25,4831824.0,63546.2049,19.4511,4.3868,3.0
2009-03-31,167.1,2625606.0,65851.6021,17.8717,3.8699,3.0
2009-04-30,184.3,4943351.0,72629.8639,19.7112,4.2682,3.0
2009-05-31,252.25,6473472.0,99407.9391,26.9786,5.8419,3.0
2009-06-30,234.15,13254748.0,92275.0007,25.0428,5.4227,3.0
2009-07-31,268.85,13012379.0,105949.75,28.754,6.2264,3.0
2009-08-31,271.8,6734242.0,107112.3007,29.0695,6.2947,2.5
2009-09-30,327.8,6783440.0,129181.0602,35.0588,7.5916,2.5
2009-10-31,314.65,3895226.0,123998.8426,33.6524,7.2871,2.5
2009-11-30,332.75,6250824.0,131131.7809,35.5882,7.7062,2.5
2009-12-31,343.8,2748056.0,135486.4201,36.7701,7.9621,2.5
2010-01-31,386.5,9840342.0,152313.8492,41.3369,8.951,2.5
2010-02-28,369.2,15543812.0,145496.1788,39.4866,8.5504,2.5
2010-03-31,428.0,8885098.0,168668.3763,32.4488,8.9452,2.5
2010-04-30,421.85,2924410.0,166244.7536,31.9826,8.8166,2.5
2010-05-31,405.6,3682410.0,159840.8725,30.7506,8.477,2.5
2010-06-30,437.0,5748497.0,172215.1413,33.1312,9.1333,2.5
2010-07-31,454.5,4714701.0,179111.6286,34.4579,9.499,7.5
2010-08-31,477.7,7894890.0,188254.4004,36.2168,9.9839,7.5
2010-09-30,519.0,6866840.0,204530.1106,39.348,10.8471,7.5
2010-10-31,499.3,5092654.0,196766.6362,37.8544,10.4353,7.5
2010-11-30,504.9,4729008.0,198973.5122,38.279,10.5524,7.5
2010-12-31,525.9,3385240.0,207249.297,39.8711,10.9913,7.5
2011-01-31,488.2,3633452.0,192392.2928,37.0129,10.2033,7.5
2011-02-28,405.75,38637661.0,159899.9853,30.7619,8.4801,11.0
2011-03-31,449.25,4941591.0,177042.6824,23.0031,7.8557,11.0
2011-04-30,426.6,3167272.0,168116.6574,21.8433,7.4596,11.0
2011-05-31,390.05,9669663.0,153712.8509,19.9718,6.8205,11.0
2011-06-30,347.1,190343651.0,136786.9005,17.7727,6.0695,11.0
2011-07-31,321.7,48900958.0,126777.1418,16.4721,5.6253,5.0
2011-08-31,301.35,15656088.0,118757.5122,15.4301,5.2695,7.5
2011-09-30,232.15,17343603.0,91486.8308,11.8868,4.0594,11.25
2011-10-31,260.15,34614648.0,102521.2105,13.3205,4.5491,11.25
2011-11-30,264.8,20404990.0,104353.7057,13.5586,4.6304,15.0
2011-12-31,274.25,17102073.0,108077.8089,14.0425,4.7956,15.0
2012-01-31,305.05,22088047.0,120215.6266,15.6196,5.3342,15.0
2012-02-29,310.95,30024047.0,122540.7281,15.9217,5.4374,10.0
2012-03-31,304.15,9723110.0,119860.8295,17.2982,4.7716,10.0
2012-04-30,286.4,9694669.0,112865.8279,16.2887,4.4931,10.0
2012-05-31,239.0,16242446.0,94186.2181,13.5929,3.7495,10.0
2012-06-30,301.8,36907811.0,118934.7307,17.1645,4.7347,10.0
2012-07-31,263.95,40966568.0,104018.6288,15.0119,4.1409,10.0
2012-08-31,290.6,19463955.0,114520.9832,16.5275,4.559,10.0
2012-09-30,349.05,17081209.0,137555.2278,19.8518,5.476,7.6667
2012-10-31,329.3,26678400.0,129772.057,18.7286,5.1662,7.6667
2012-11-30,408.8,32692360.0,161101.7823,23.25,6.4134,8.25
2012-12-31,427.1,25437760.0,168313.5304,24.2908,6.7005,8.25
2013-01-31,472.1,22870370.0,186047.3372,26.8501,7.4065,8.25
2013-02-28,411.05,30668371.0,161988.4727,23.378,6.4487,8.25
2013-03-31,390.5,29076341.0,153890.0342,21.6824,5.5248,8.25
2013-04-30,416.9,31767307.0,164293.8675,23.1483,5.8983,8.25
2013-05-31,416.25,21531160.0,164037.7126,23.1122,5.8891,8.25
2013-06-30,379.6,33049613.0,149594.5237,21.0772,5.3706,8.25
2013-07-31,404.85,19021472.0,159545.1605,22.4792,5.7278,8.25
2013-08-31,389.9,19399735.0,153653.5954,21.6491,5.5163,8.0
2013-09-30,393.2,17760687.0,154954.0746,21.8323,5.563,9.25
2013-10-31,420.15,12668774.0,165574.6553,23.3287,5.9443,9.25
2013-11-30,370.0,20070629.0,145811.3113,20.5441,5.2348,9.25
2013-12-31,380.3,18049808.0,149870.383,21.116,5.3805,9.25
2014-01-31,360.5,13485584.0,142067.5074,20.0167,5.1004,9.25
2014-02-28,370.6,15017597.0,146047.7621,20.5775,5.2433,9.25
2014-03-31,401.75,12426555.0,158323.4982,21.167,4.9649,9.25
2014-04-30,376.0,8498851.0,148175.8191,19.8103,4.6467,9.25
2014-05-31,413.25,13703868.0,162855.4714,21.7729,5.1071,9.25
2014-06-30,458.95,15887315.0,180865.1388,24.1807,5.6718,9.25
2014-07-31,424.75,17611017.0,167387.4446,22.3788,5.2492,9.25
2014-08-31,352.2,20157529.0,138796.605,18.5564,4.3526,9.25
2014-09-30,338.15,25094165.0,133259.716,17.8161,4.179,9.5
2014-10-31,326.55,13884503.0,128688.3344,17.205,4.0356,9.5
2014-11-30,321.0,12619299.0,126501.1647,16.9125,3.967,9.25
2014-12-31,381.0,33599732.0,150146.2422,20.0738,4.7085,9.25
2015-01-31,407.45,28865988.0,160569.7806,21.4673,5.0354,9.25
2015-02-28,409.55,16578922.0,161397.5083,21.578,5.0613,13.5
2015-03-31,441.85,10956178.0,174126.2917,22.2707,5.0595,13.5
2015-04-30,347.1,21746662.0,136786.7734,17.495,3.9746,13.5
2015-05-31,379.2,11399434.0,149436.8899,19.1129,4.3422,17.25
2015-06-30,282.5,88365936.0,111328.9066,14.2389,3.2349,17.25
2015-07-31,336.8,73499012.0,132727.7018,16.9758,3.8566,17.25
2015-08-31,342.8,75193302.0,135092.2095,17.2782,3.9253,17.25
2015-09-30,359.25,47591894.0,141574.9016,18.1074,4.1137,15.0
2015-10-31,396.85,27396415.0,156392.4835,20.0025,4.5443,15.0
2015-11-30,403.25,22743451.0,158914.6251,20.3251,4.6175,12.75
2015-12-31,426.4,22894058.0,168037.6842,21.4919,4.8826,12.75
2016-01-31,379.2,21978761.0,149436.8899,19.1129,4.3422,12.75
2016-02-29,320.7,19211854.0,126382.9393,16.1643,3.6723,8.0
2016-03-31,377.45,16196402.0,148747.2418,16.4569,4.2817,9.5
2016-04-30,372.45,8274721.0,146776.8187,16.2389,4.225,9.5
2016-05-31,374.95,42469489.0,147762.0302,16.3479,4.2533,9.5
2016-06-30,363.95,22032025.0,143427.0994,15.8683,4.1285,9.5
2016-07-31,449.0,38102644.0,176943.9967,19.5765,5.0933,9.5
2016-08-31,472.4,43838524.0,186165.577,20.5967,5.3588,9.5
2016-09-30,505.15,32854397.0,199071.8484,22.0246,5.7303,9.5
2016-10-31,549.25,32679573.0,216450.9804,23.9474,6.2305,9.5
2016-11-30,470.8,28916889.0,185535.0416,20.527,5.3406,9.5
2016-12-31,492.4,76707397.0,194047.2695,21.4687,5.5856,9.5
2017-01-31,529.6,33065470.0,208707.2175,23.0907,6.0076,9.5
2017-02-28,713.2,93486487.0,281061.1547,31.0957,8.0903,12.5
2017-03-31,790.65,29465907.0,311583.0089,30.2352,7.7345,10.0
2017-04-30,921.75,32306827.0,363247.5033,35.2486,9.017,10.0
2017-05-31,798.0,39150613.0,314479.5309,30.5163,7.8064,10.0
2017-06-30,816.4,25402529.0,321730.688,31.2199,7.9864,10.0
2017-07-31,780.35,17564023.0,307523.9373,29.8413,7.6338,10.0
2017-08-31,696.45,25094618.0,274460.2373,26.6329,6.813,12.5
2017-09-30,762.05,48790406.0,300312.1887,29.1415,7.4548,12.5
2017-10-31,856.5,20638223.0,337533.4815,32.7533,8.3787,12.5
2017-11-30,869.6,25135515.0,342695.9847,33.2543,8.5069,15.0
2017-12-31,990.15,40986623.0,390202.8855,37.8642,9.6862,15.0
2018-01-31,1024.4,20023134.0,403700.2837,39.174,10.0212,15.0
2018-02-28,927.8,26573413.0,365631.7104,35.4799,9.0762,12.5
2018-03-31,848.6,30833959.0,334420.2085,29.4551,7.1329,10.0
2018-04-30,879.8,30705768.0,346715.6487,30.538,7.3952,10.0
2018-05-31,917.6,41380217.0,361612.0473,31.8501,7.7129,10.0
2018-06-30,782.3,39017892.0,308292.3982,27.1538,6.5757,10.0
2018-07-31,772.3,32411784.0,304351.552,26.8067,6.4916,10.0
2018-08-31,766.2,40067904.0,301947.6358,26.5949,6.4403,12.5
2018-09-30,614.25,37069298.0,242066.4778,21.3207,5.1631,12.5
2018-10-31,650.75,32465682.0,256450.5665,22.5876,5.4699,12.5
2018-11-30,591.55,38935490.0,233120.757,20.5328,4.9723,10.0
2018-12-31,607.75,39197063.0,239504.9278,21.0951,5.1085,10.0
2019-01-31,530.1,48984178.0,208904.2571,18.3999,4.4558,10.0
2019-02-28,608.25,68128081.0,239701.9701,21.1125,5.1127,10.0
2019-03-31,628.1,46584877.0,247524.5498,17.265,4.4789,10.0
2019-04-30,574.25,39424909.0,226303.093,15.7848,4.0949,10.0
2019-05-31,549.15,53571302.0,216411.5691,15.0948,3.9159,10.0
2019-06-30,504.9,45144397.0,198973.3246,13.8785,3.6004,10.0
2019-07-31,472.55,41563297.0,186224.6872,12.9893,3.3697,10.0
2019-08-31,438.45,33322212.0,172786.4016,12.052,3.1265,10.0
2019-09-30,472.7,41771370.0,186283.7999,12.9934,3.3707,10.0
2019-10-31,527.35,31396822.0,207820.5244,14.4956,3.7604,10.0
2019-11-30,483.0,46578004.0,190342.8715,13.2765,3.4442,10.0
2019-12-31,441.8,30922105.0,174106.5851,12.144,3.1504,10.0
2020-01-31,474.55,73206976.0,187012.8564,13.0443,3.3839,10.0
2020-02-29,415.5,53869613.0,163742.1596,11.4211,2.9629,15.0
2020-03-31,285.95,48268741.0,112688.4971,8.1328,1.9687,25.0
2020-04-30,384.1,51602090.0,151367.9025,10.9243,2.6444,25.0
2020-05-31,384.95,53882640.0,151702.8745,10.9485,2.6502,25.0
2020-06-30,403.35,82499591.0,158954.0315,11.4718,2.7769,25.0
2020-07-31,386.9,43047847.0,152471.3395,11.004,2.6637,25.0
2020-08-31,452.6,75024221.0,178362.699,12.8726,3.116,22.5
2020-09-30,465.65,62708663.0,183505.5033,13.2437,3.2058,22.5
