SWIGGY IN Equity,price,volume,mc,pe,bm,div
2024-11-30,470.75,343300671.0,1053749.072,,,0.0
2024-12-31,540.9,410065444.0,1210776.151,,,0.0
2025-01-31,416.1,248726680.0,931417.9261,,,0.0
2025-02-28,334.65,426986875.0,757862.0176,,,0.0
2025-03-31,330.2,172619571.0,753730.9636,,7.3754,0.0
2025-04-30,316.4,118011875.0,724591.7991,,7.0672,0.0
2025-05-31,333.05,506104321.0,830509.0974,,7.4391,0.0
2025-06-30,400.4,480413121.0,998456.2156,,8.9434,0.0
2025-07-31,403.75,328552615.0,1006809.933,,9.0183,0.0
2025-08-31,409.75,407882074.0,1021771.814,,9.1523,0.0
2025-09-30,422.95,316869571.0,1054687.953,,9.4471,0.0
2025-10-31,409.95,201017818.0,1022270.543,,9.1567,0.0
2025-11-30,378.3,128203238.0,943346.6192,,8.4498,0.0
2025-12-31,386.25,287572961.0,1066171.111,,8.6274,0.0
2026-01-31,309.75,311174134.0,855007.1237,,6.9187,0.0
2026-02-28,301.75,226594903.0,832924.6152,,6.74,0.0
2026-03-31,298.4,38576446.0,823677.548,,6.6651,0.0
