TATACONS IN Equity,price,volume,mc,pe,bm,div
1995-01-31,39.02,,18698.1157,,,0.5268
1995-02-28,37.53,,17988.0607,,,0.5268
1995-03-31,34.57,,16567.9506,,,0.5268
1995-04-30,33.58,,16094.5806,,,0.5268
1995-05-31,31.71,,15195.1776,,,0.5268
1995-06-30,26.77,,12828.5983,,,0.5268
1995-07-31,29.53,,14154.0624,,,0.5926
1995-08-31,26.77,,12828.5983,,,0.5926
1995-09-30,30.92,,14816.7944,,,0.5926
1995-10-31,34.87,,16710.3144,,,0.5926
1995-11-30,27.66,,13254.6404,,,0.5926
1995-12-31,28.64,,13728.0204,,,0.5926
1996-01-31,25.98,,12449.8943,,,0.5926
1996-02-29,29.63,,14201.4004,,,0.5926
1996-03-31,27.16,,13017.9503,,,0.5926
1996-04-30,29.88,,14319.7454,,,0.5926
1996-05-31,27.14,369031.0,13358.895,,,0.5926
1996-06-30,30.59,6079640.0,15060.665,,,0.5926
1996-07-31,27.66,3220032.0,13614.1605,,,0.5926
1996-08-31,26.0,769953.0,12799.7419,,,0.5926
1996-09-30,23.58,1200397.0,11608.5029,,,0.5926
1996-10-31,22.17,1456177.0,10915.6394,,,0.5926
1996-11-30,18.77,1929559.0,9238.1803,,,0.5926
1996-12-31,19.24,1274295.0,9469.1348,,,0.5926
1997-01-31,22.17,3563833.0,10915.6394,,,0.5926
1997-02-28,23.09,2795662.0,11365.3929,,,0.5926
1997-03-31,22.72,1476831.0,11183.0604,,,0.5926
1997-04-30,22.69,530533.0,11170.9049,,,0.5926
1997-05-31,28.92,11974946.0,14234.091,,,0.5926
1997-06-30,38.32,76730915.0,18865.3366,,,0.642
1997-07-31,40.3,68713303.0,19837.7767,,,0.642
1997-08-31,41.76,265035288.0,20554.9512,,,0.642
1997-09-30,40.27,463429251.0,19825.6212,,,0.642
1997-10-31,36.94,259887610.0,19837.7767,,,0.642
1997-11-30,36.79,288455225.0,18111.6956,,,0.642
1997-12-31,41.63,450580669.0,20494.1737,,,0.642
1998-01-31,38.2,524645634.0,18804.5591,,,0.642
1998-02-28,42.84,515188114.0,21089.7932,,,0.642
1998-03-31,41.39,509488460.0,20372.6187,,,0.642
1998-04-30,40.47,323806148.0,19922.8652,,,0.642
1998-05-31,33.63,211914525.0,16555.7916,,,0.642
1998-06-30,29.95,192415617.0,14742.1909,,,0.9976
1998-07-31,29.87,236722624.0,14703.2933,,,0.9976
1998-08-31,26.09,223570991.0,12841.0706,,,0.9976
1998-09-30,29.26,180850775.0,14401.8369,,,0.9976
1998-10-31,29.85,113128529.0,14693.5689,,,0.9976
1998-11-30,29.08,142379169.0,14314.3173,,,0.9976
1998-12-31,35.24,189792573.0,17345.8991,,,0.9976
1999-01-31,37.14,326969505.0,18281.8726,,,0.9976
1999-02-28,45.41,412271943.0,22353.9653,,,0.9976
1999-03-31,47.81,384224261.0,23533.0488,,,0.9976
1999-04-30,36.35,146336169.0,17892.8966,,,0.9976
1999-05-31,40.4,208735516.0,19886.3987,,,0.9976
1999-06-30,37.53,121558261.0,18476.3606,,,0.9976
1999-07-31,39.51,185055577.0,19448.8007,,,1.0865
1999-08-31,56.3,293657787.0,27714.5409,,,1.0865
1999-09-30,59.74,121678203.0,29409.0177,,,1.0865
1999-10-31,53.83,88036889.0,26498.9909,,,1.0865
1999-11-30,48.79,41443633.0,24019.2688,,,1.0865
1999-12-31,51.86,50036194.0,25526.5509,,,1.0865
2000-01-31,47.81,23074475.0,23533.0488,,,1.0865
2000-02-29,50.23,39356895.0,24724.2878,,,1.0865
2000-03-31,37.93,20204815.0,18670.8486,,,1.0865
2000-04-30,33.58,36631839.0,16531.4806,,,0.9976
2000-05-31,35.95,24682325.0,20464.0804,,,0.9976
2000-06-30,32.76,26635474.0,18648.1744,,,0.9976
2000-07-31,23.08,48415649.0,13138.6143,,,0.9976
2000-08-31,22.52,44789653.0,12815.3493,,,0.9976
2000-09-30,19.92,54653349.0,11336.7632,,,0.9976
2000-10-31,16.64,17838200.0,9473.0702,,,0.9976
2000-11-30,20.59,61450700.0,11719.0593,,,0.9976
2000-12-31,21.86,149232346.0,12444.2973,,,0.9976
2001-01-31,26.79,217497993.0,15246.8643,,,0.9976
2001-02-28,26.5,160413385.0,15083.8263,,,0.9976
2001-03-31,23.11,89947202.0,13152.6693,,,0.9976
2001-04-30,21.16,42873559.0,12042.3243,,,0.9976
2001-05-31,23.44,54440091.0,13343.8173,,,0.9976
2001-06-30,18.24,27876459.0,10383.8342,,,0.0
2001-07-31,16.46,9287705.0,9366.2522,,,0.0
