TBOTEK IN Equity,price,volume,mc,pe,bm,div
2024-05-31,1408.0,17582383.0,152891.6083,75.6339,26.9398,0.0
2024-06-30,1902.9,5854632.0,206631.6999,102.2185,36.4089,0.0
2024-07-31,1836.25,2153346.0,199394.3239,98.6383,35.1337,0.0
2024-08-31,1771.7,2464003.0,192384.9822,95.1708,33.8986,0.0
2024-09-30,1794.3,1324958.0,194839.0662,96.3848,34.331,0.0
2024-10-31,1623.1,836338.0,176248.8371,87.1884,31.0554,0.0
2024-11-30,1586.6,2483244.0,172285.3829,85.2278,30.357,0.0
2024-12-31,1734.15,11202930.0,188307.5108,93.1537,33.1801,0.0
2025-01-31,1558.1,2812621.0,169190.6309,83.6968,29.8117,0.0
2025-02-28,1200.85,3493615.0,130397.644,64.5063,22.9763,0.0
2025-03-31,1205.6,12400515.0,130913.436,55.4809,10.9546,0.0
2025-04-30,1123.3,6660841.0,121976.6611,51.6935,10.2068,0.0
2025-05-31,1304.7,9106435.0,141674.4857,60.0414,11.855,0.0
2025-06-30,1399.7,4397998.0,151990.3255,64.4133,12.7182,0.0
2025-07-31,1354.6,3008126.0,147093.0163,62.3378,12.3085,0.0
2025-08-31,1307.3,2631148.0,141956.8139,60.1611,11.8787,0.0
2025-09-30,1525.1,14012557.0,165607.234,70.1841,13.8577,0.0
2025-10-31,1483.2,1778046.0,161057.4057,68.2559,13.477,0.0
2025-11-30,1652.3,11426152.0,179419.6005,76.0377,15.0135,0.0
2025-12-31,1662.7,2528638.0,180548.9134,76.5163,15.108,0.0
2026-01-31,1392.2,1826788.0,151175.9171,64.0681,12.6501,0.0
2026-02-28,1225.8,2872530.0,133106.9093,56.4105,11.1381,0.0
2026-03-31,1155.7,702974.0,125494.9001,53.1845,10.5012,0.0
