TCOM IN Equity,price,volume,mc,pe,bm,div
1995-01-31,152.3,,60000.0,,,0.0
1995-02-28,151.28,,59600.0,,,0.0
1995-03-31,144.17,,56800.0,,,0.0
1995-04-30,152.3,,60000.0,,,0.0
1995-05-31,157.58,,62080.0,,,0.0
1995-06-30,157.58,,62080.0,,,0.0
1995-07-31,182.35,,71840.0,,,0.0
1995-08-31,172.6,,68000.0,,,0.0
1995-09-30,172.6,,68000.0,,,0.0
1995-10-31,166.51,,65600.0,,,0.0
1995-11-30,160.42,,63200.0,,,0.0
1995-12-31,166.51,,65600.0,,,0.0
1996-01-31,180.72,,71200.0,,,1.1667
1996-02-29,207.12,,81600.0,,,1.1667
1996-03-31,243.67,,96000.0,,,1.1667
1996-04-30,294.44,,116000.0,,,1.1667
1996-05-31,299.52,,118000.0,,,1.1667
1996-06-30,274.13,12900.0,108000.0,,,1.1667
1996-07-31,269.56,150000.0,106200.0,,,1.1667
1996-08-31,233.52,21600.0,92000.0,,,1.1667
1996-09-30,207.12,300.0,81600.0,,,1.5
1996-10-31,192.91,477600.0,76000.0,,,1.5
1996-11-30,194.94,123300.0,76800.0,,,1.5
1996-12-31,203.06,57900.0,80000.0,,,1.5
1997-01-31,185.8,918600.0,73200.0,,,1.5
1997-02-28,182.76,136200.0,72000.0,,,1.5
1997-03-31,197.99,730200.0,78000.0,,,1.5
1997-04-30,248.75,425400.0,98000.0,,,1.5
1997-05-31,253.83,327900.0,100000.0,,,1.5
1997-06-30,235.55,244800.0,92800.0,,,1.5
1997-07-31,209.15,1181700.0,94929.9509,,,1.5
1997-08-31,182.76,275199.0,82948.5008,,,1.1667
1997-09-30,170.57,382800.0,77418.6008,,,1.1667
1997-10-31,182.76,692100.0,82948.5008,,,1.1667
1997-11-30,175.65,1041600.0,79722.7258,,,1.1667
1997-12-31,174.73,605400.0,79307.9833,,,1.1667
1998-01-31,145.19,718200.0,65897.9757,,,1.1667
1998-02-28,149.25,270600.0,67741.2757,,,1.1667
1998-03-31,156.36,189300.0,70967.0507,,,1.1667
1998-04-30,157.37,573300.0,71427.8757,,,1.1667
