TEJASNET IN Equity,price,volume,mc,pe,bm,div
2017-06-30,302.5,22082116.0,27088.2274,,,0.0
2017-07-31,336.75,23750837.0,30155.2416,,,0.0
2017-08-31,348.4,5595299.0,31198.4741,,,0.0
2017-09-30,296.6,4315740.0,26559.895,,2.7026,0.0
2017-10-31,326.15,3534703.0,29206.0343,,2.9718,0.0
2017-11-30,420.65,8266850.0,37838.5431,,3.8329,0.0
2017-12-31,395.4,4694976.0,35623.8532,,3.5023,0.0
2018-01-31,378.65,6344038.0,34159.7837,,3.3539,0.0
2018-02-28,348.8,2080130.0,31565.002,,3.0895,0.0
2018-03-31,365.65,6133352.0,33159.6379,29.6313,2.8824,0.0
2018-04-30,336.1,2791111.0,30524.1852,27.2366,2.6495,0.0
2018-05-31,317.35,1664286.0,28841.0178,25.7172,2.5017,0.0
2018-06-30,293.3,3596498.0,26687.4532,20.2136,2.215,0.0
2018-07-31,284.25,4354537.0,25874.5714,19.5899,2.1467,0.0
2018-08-31,290.25,19945590.0,26523.8147,20.0034,2.192,0.0
2018-09-30,259.5,6366426.0,23713.7982,17.0949,1.9746,0.0
2018-10-31,253.6,4433071.0,23179.0976,16.7062,1.9297,0.0
2018-11-30,224.75,2816627.0,20553.6559,14.8057,1.7102,0.0
2018-12-31,207.45,1973152.0,18977.1957,13.4533,1.5349,0.0
2019-01-31,160.35,3448784.0,14672.418,10.3988,1.1864,0.0
2019-02-28,155.9,7780245.0,14288.3126,10.1102,1.1535,0.0
2019-03-31,169.85,4369678.0,15572.7941,10.5301,1.18,0.0
2019-04-30,190.0,5417528.0,17426.72,11.7793,1.32,0.0
2019-05-31,187.3,3876399.0,17204.0437,11.6119,1.3012,0.0
2019-06-30,142.65,1252992.0,13111.2307,12.0685,1.0084,0.0
2019-07-31,90.95,12510446.0,8361.5661,7.6946,,1.0
2019-08-31,78.65,1346686.0,7232.0247,6.654,,1.0
2019-09-30,83.35,2208680.0,7664.1991,10.8529,0.6043,1.0
2019-10-31,74.55,4193256.0,6867.5884,9.707,0.5405,1.0
2019-11-30,99.3,9960199.0,9147.8862,12.9297,0.72,1.0
2019-12-31,95.05,2982998.0,8757.2928,11.4844,0.7513,1.0
2020-01-31,81.25,7626694.0,7486.9687,,0.6422,1.0
