TMKN IN Equity,price,volume,mc,pe,bm,div
1995-01-31,53.75,,3411.0826,,12.4061,0.0
1995-02-28,55.0,,3490.4101,,12.6946,0.0
1995-03-31,66.25,,4204.3576,,26.1614,0.0
1995-04-30,50.0,,3173.1001,,19.7445,0.0
1995-05-31,56.0,,3553.8721,,22.1138,0.0
1995-06-30,50.25,,3188.9656,,19.8432,0.0
1995-07-31,51.5,,3282.3011,,20.3368,0.0
1995-08-31,43.0,,2740.562,,16.9803,0.0
1995-09-30,41.25,,2629.0275,,16.2892,0.0
1995-10-31,38.0,,2421.892,,15.0058,0.0
1995-11-30,36.75,,2342.2245,,14.5122,0.0
1995-12-31,35.5,,2262.557,,14.0186,0.0
1996-01-31,30.25,,1927.9535,,11.9454,0.0
1996-02-29,33.0,,2103.222,,13.0314,0.0
1996-03-31,34.0,,2166.956,29.1846,9.1935,0.0
1996-04-30,35.0,,2230.69,30.0429,9.4639,0.0
1996-05-31,53.75,48700.0,3425.7026,46.1373,14.5338,0.0
1996-06-30,65.2,381700.0,4155.522,55.9657,17.6298,0.0
1996-07-31,50.0,110200.0,3186.75,42.9185,13.5198,0.0
1996-08-31,44.3,50865.0,2823.4605,38.0258,11.9785,0.0
1996-09-30,34.1,25926.0,2173.3635,29.2704,9.2205,0.0
1996-10-31,36.0,58650.0,2294.46,30.9013,9.7342,0.0
1996-11-30,37.6,23128.0,2396.436,32.2747,10.1669,0.0
1996-12-31,41.5,20809.0,2645.0025,35.6223,11.2214,0.0
1997-01-31,43.75,53108.0,2788.4063,37.5536,11.8298,0.0
1997-02-28,45.0,23194.0,2868.075,38.6266,12.1678,0.0
1997-03-31,38.5,31365.0,2453.7975,18.5185,6.6641,0.0
1997-04-30,44.75,30882.0,2852.1413,21.5248,7.746,0.0
1997-05-31,44.5,44293.0,2836.2075,21.4045,7.7027,0.0
1997-06-30,47.5,54229.0,3027.4125,22.8475,8.222,0.0
1997-07-31,61.5,43612.0,3919.7025,29.5815,10.6453,0.0
1997-08-31,55.25,139475.0,3521.3588,26.5753,9.5635,0.0
1997-09-30,48.75,25664.0,3107.0813,23.4488,8.4384,0.0
1997-10-31,44.0,28445.0,2756.5388,21.164,7.6162,0.0
1997-11-30,40.25,36244.0,2565.3338,19.3603,6.9671,0.0
1997-12-31,43.0,30474.0,2740.605,20.683,7.4431,0.0
1998-01-31,39.75,25715.0,2533.4663,19.1198,6.8805,0.0
1998-02-28,42.2,28124.0,2689.617,20.2982,7.3046,0.0
1998-03-31,50.2,46686.0,3199.497,23.8253,6.3672,0.0
1998-04-30,44.95,59724.0,2864.8883,21.3336,5.7013,0.0
1998-05-31,40.55,20966.0,2584.4543,19.2454,5.1432,0.0
1998-06-30,36.0,28608.0,2294.46,17.0859,4.5661,0.0
1998-07-31,32.6,18716.0,2077.761,15.4722,4.1349,0.0
1998-08-31,36.0,37370.0,2294.46,17.0859,4.5661,0.0
1998-09-30,41.35,43125.0,2635.4423,19.6251,5.2447,0.0
1998-10-31,41.55,50445.0,2648.1893,19.72,5.27,0.0
1998-11-30,45.0,127294.0,2868.075,21.3574,5.7076,0.0
1998-12-31,59.05,169098.0,3763.5518,28.0256,7.4897,0.0
1999-01-31,49.2,109680.0,3135.762,23.3507,6.2403,0.0
1999-02-28,50.8,77395.0,3237.738,24.1101,6.4433,0.0
1999-03-31,69.05,355093.0,4400.9018,60.4112,7.6493,0.0
1999-04-30,52.4,68313.0,3339.714,45.8443,5.8048,0.0
1999-05-31,54.0,55240.0,3441.69,47.2441,5.982,0.0
1999-06-30,57.3,103689.0,3652.0155,50.1312,6.3476,0.0
1999-07-31,55.35,122275.0,3527.7323,48.4252,6.1316,0.0
1999-08-31,61.15,139396.0,3897.3953,53.4996,6.7741,0.0
1999-09-30,58.0,62813.0,3696.63,50.7437,6.4252,0.0
1999-10-31,57.65,96745.0,3674.3228,50.4374,6.3864,0.0
1999-11-30,51.15,37928.0,3260.0453,44.7507,5.6663,0.0
1999-12-31,59.55,72072.0,3795.4193,52.0997,6.5969,0.0
2000-01-31,60.45,79116.0,3852.7808,52.8871,6.6966,0.0
2000-02-29,48.0,86977.0,3059.28,41.9948,5.3174,0.0
2000-03-31,41.0,43105.0,2613.135,32.3599,4.0311,0.0
2000-04-30,39.15,22150.0,2495.2253,30.8998,3.8492,0.0
2000-05-31,37.5,16150.0,2390.0625,29.5975,3.687,0.0
2000-06-30,45.0,38085.0,2868.075,35.517,4.4244,0.0
2000-07-31,41.5,21060.0,2645.0025,32.7545,4.0803,0.0
2000-08-31,38.0,11546.0,2421.93,29.9921,3.7362,0.0
2000-09-30,32.25,14870.0,2055.4538,25.4538,3.1708,0.0
2000-10-31,33.05,17536.0,2106.4418,26.0852,3.2495,0.0
2000-11-30,34.0,17221.0,2166.99,26.835,3.3429,0.0
2000-12-31,33.6,27901.0,2141.496,26.5193,3.3035,0.0
2001-01-31,35.85,36020.0,2284.8998,28.2952,3.5248,0.0
2001-02-28,34.1,56545.0,2173.3635,26.914,3.3527,0.0
2001-03-31,27.1,29290.0,1727.2185,9.9086,2.8414,0.0
2001-04-30,25.9,19036.0,1650.7365,9.4698,,0.0
2001-05-31,32.0,24266.0,2039.52,11.7002,,0.0
2001-06-30,26.05,30270.0,1660.2968,9.5247,,0.0
2001-07-31,27.05,14395.0,1724.0291,9.8903,,0.0
2001-08-31,26.35,18459.0,1679.4147,9.6344,,0.0
2001-09-30,24.75,17350.0,1577.4388,9.0494,,0.0
2001-10-31,24.1,16278.0,1536.0111,8.8117,,0.0
2001-11-30,26.0,19752.0,1657.1074,9.5064,,0.0
2001-12-31,24.75,27224.0,1577.4388,9.0494,,0.0
2002-01-31,22.5,43244.0,1434.0353,8.2267,,0.0
2002-02-28,26.75,91636.0,1704.9086,9.7806,,0.0
2002-03-31,28.25,42972.0,1800.511,10.3291,,0.0
2002-04-30,28.15,26291.0,1794.1375,10.2925,,0.0
2002-05-31,30.0,96648.0,1912.047,10.9689,,0.0
2002-06-30,33.75,56029.0,2151.0529,12.34,,0.0
2002-07-31,33.25,201742.0,2119.1855,12.1572,,0.0
2002-08-31,31.85,29128.0,2029.9566,11.6453,,0.0
2002-09-30,27.75,20033.0,1762.27,10.1463,,0.0
2002-10-31,27.25,53949.0,,9.9634,,0.0
2002-11-30,29.25,63226.0,,10.6947,,0.0
2002-12-31,30.0,83149.0,,15.3848,1.7955,0.0
2003-01-31,26.25,99616.0,,13.4617,1.5711,0.0
2003-02-28,28.4,153477.0,,14.5643,1.6997,0.0
2003-03-31,24.1,187088.0,,12.3591,1.4424,0.0
2003-04-30,26.35,86922.0,,13.513,1.5771,0.0
2003-05-31,31.7,333600.0,,16.2566,1.8973,0.0
2003-06-30,39.0,675680.0,,20.0003,2.3342,0.0
2003-07-31,37.9,647136.0,,19.4362,2.2683,0.0
2003-08-31,39.05,782058.0,,20.0259,2.3371,0.0
2003-09-30,38.85,337950.0,,19.9234,2.3252,0.0
2003-10-31,44.3,864704.0,,22.7183,2.6514,0.0
2003-11-30,51.85,1288985.0,,26.5901,3.1032,0.0
2003-12-31,62.85,1708030.0,,20.0429,3.9867,0.0
2004-01-31,47.35,757580.0,,15.0999,3.0035,0.0
2004-02-29,44.4,269546.0,,14.1592,2.8164,0.0
2004-03-31,43.1,374149.0,,13.7446,2.7339,0.0
2004-04-30,44.55,305990.0,,14.207,2.8259,0.0
2004-05-31,36.75,270314.0,,11.7196,2.3311,0.0
2004-06-30,36.85,132428.0,,11.7515,2.3375,0.0
2004-07-31,42.2,309598.0,,13.4576,2.6769,0.0
2004-08-31,45.55,607134.0,,14.5259,2.8894,0.0
2004-09-30,50.45,836185.0,,16.0885,3.2002,0.0
2004-10-31,55.65,1202929.0,,17.7468,3.53,0.0
2004-11-30,69.15,2783935.0,,22.0519,4.3864,0.0
2004-12-31,70.55,1260505.0,,13.6285,3.3689,0.0
2005-01-31,68.9,882892.0,,13.3097,3.2901,0.0
2005-02-28,89.95,2623267.0,,17.376,4.2953,0.0
2005-03-31,85.1,1813812.0,,16.4391,4.0637,0.0
2005-04-30,140.4,10188698.0,,27.1217,6.7044,0.0
2005-05-31,147.0,4116656.0,,28.3966,7.0196,0.0
2005-06-30,128.4,1654357.0,,24.8036,6.1314,0.0
2005-07-31,138.75,1319635.0,,26.8029,6.6256,0.0
2005-08-31,142.95,1608912.0,,27.6143,6.8262,0.0
2005-09-30,141.95,2589438.0,,27.4211,6.7784,0.0
2005-10-31,126.45,1607376.0,,24.4269,6.0383,0.0
2005-11-30,152.7,1747460.0,,29.4977,7.2918,0.0
2005-12-31,149.4,1264657.0,,27.2984,5.656,0.0
2006-01-31,175.1,7387736.0,,31.9944,6.629,0.0
2006-02-28,160.2,1737449.0,,29.2718,6.0649,0.0
2006-03-31,163.8,1688066.0,,29.9296,6.2012,0.0
2006-04-30,159.4,852736.0,,29.1257,6.0346,0.0
2006-05-31,156.35,2095068.0,,28.5684,5.9191,0.0
2006-06-30,129.55,826157.0,,23.6714,4.9045,0.0
2006-07-31,120.0,243812.0,,21.9265,4.543,0.0
2006-08-31,131.5,272186.0,,24.0277,4.9784,0.0
2006-09-30,152.2,898633.0,,27.8101,5.762,0.0
2006-10-31,142.8,715616.0,,26.0925,5.4062,0.0
2006-11-30,146.3,387658.0,,26.732,5.5387,0.0
2006-12-31,148.85,273651.0,,24.8834,4.5947,0.0
2007-01-31,141.95,227826.0,,23.7299,4.3817,0.0
2007-02-28,128.75,654260.0,,21.5233,3.9742,0.0
2007-03-31,118.8,205814.0,,19.8599,3.6671,0.0
2007-04-30,121.55,184783.0,,20.3196,3.752,0.0
2007-05-31,142.4,2838823.0,,23.8052,4.3956,0.0
2007-06-30,142.45,672474.0,,23.8135,4.3971,0.0
2007-07-31,131.5,386582.0,,21.983,4.0591,0.0
2007-08-31,126.55,239329.0,,21.1555,3.9063,0.0
2007-09-30,126.1,374188.0,,21.0803,3.8924,0.0
2007-10-31,121.2,500901.0,,20.2611,3.7412,0.0
2007-11-30,132.0,679336.0,,22.0666,4.0745,0.0
2007-12-31,145.2,695994.0,,24.7415,3.7927,0.0
2008-01-31,106.6,1302822.0,,18.1642,2.7845,0.0
2008-02-29,112.9,272358.0,,19.2377,2.949,0.0
2008-03-31,96.8,536884.0,,16.4944,2.5285,0.0
2008-04-30,105.0,334505.0,6692.1751,17.8916,2.7427,0.0
2008-05-31,93.15,109417.0,5936.9153,15.8724,2.4332,0.0
2008-06-30,76.6,110691.0,4882.101,13.0524,2.0009,0.0
2008-07-31,97.35,415515.0,6204.6023,16.5881,2.5429,0.0
2008-08-31,97.65,319197.0,6223.7228,16.6392,2.5507,0.0
2008-09-30,83.05,79413.0,5293.1918,14.1514,2.1693,0.0
2008-10-31,65.05,78179.0,4145.9618,11.0843,1.6992,0.0
2008-11-30,52.95,37306.0,3374.7683,9.0225,1.3831,0.0
2008-12-31,58.65,55883.0,3738.0578,7.0533,1.2586,0.0
2009-01-31,55.6,61604.0,3543.666,6.6865,1.1932,0.0
2009-02-28,53.95,417083.0,3438.5033,6.4881,1.1578,0.0
2009-03-31,59.55,101268.0,3795.4193,7.1615,1.2779,0.0
2009-04-30,78.8,800161.0,5022.318,9.4765,1.691,0.0
2009-05-31,101.65,1057901.0,6478.6628,12.2245,2.1814,0.0
2009-06-30,82.35,1368210.0,5248.5773,9.9035,1.7672,0.0
2009-07-31,90.3,327501.0,5755.2706,10.8595,1.9378,0.0
2009-08-31,105.65,1658872.0,6733.6028,12.7056,2.2672,0.0
2009-09-30,113.45,6119591.0,7230.7358,13.6436,2.4346,0.0
2009-10-31,112.15,4648815.0,7147.8803,13.4872,2.4067,0.0
2009-11-30,115.55,677513.0,7364.5793,13.8961,2.4797,0.0
2009-12-31,138.7,8184087.0,8840.0446,27.1961,2.6826,0.0
2010-01-31,104.7,3127360.0,6673.0546,20.5294,2.025,0.0
2010-02-28,99.4,1640302.0,6335.2591,19.4902,1.9225,0.0
2010-03-31,101.35,1150703.0,6459.5423,19.8725,1.9602,0.0
2010-04-30,121.7,3120327.0,7756.5496,23.8627,2.3538,0.0
2010-05-31,113.05,2387775.0,7205.2418,22.1667,2.1865,0.0
2010-06-30,148.1,11966587.0,9439.1536,29.0392,2.8644,0.0
2010-07-31,134.55,3138307.0,8575.5443,26.3824,2.6023,0.0
2010-08-31,158.95,11833555.0,10130.6783,31.1667,3.0743,0.0
2010-09-30,154.2,4480066.0,9827.9371,30.2353,2.9824,0.0
2010-10-31,193.3,77097676.0,12319.9756,37.902,3.7386,0.0
2010-11-30,157.05,3877730.0,10009.5818,30.7941,3.0375,0.0
2010-12-31,176.4,2935606.0,11242.8541,22.0225,2.9541,0.0
2011-01-31,182.3,11093653.0,11618.8906,22.7591,3.0529,0.0
2011-02-28,154.95,2234145.0,9875.7383,19.3446,2.5948,0.0
2011-03-31,161.65,1994539.0,10302.7628,20.181,2.707,0.0
2011-04-30,220.9,24785500.0,14079.0616,27.578,3.6993,0.0
2011-05-31,195.2,7104290.0,12441.0721,24.3695,3.2689,0.0
2011-06-30,225.0,26813355.0,14340.3751,28.0899,3.7679,0.0
2011-07-31,231.25,16663313.0,14738.7189,28.8702,3.8726,0.0
2011-08-31,206.25,5042795.0,13145.3439,25.7491,3.4539,0.0
2011-09-30,210.7,4873547.0,13428.9646,26.3046,3.5285,0.0
2011-10-31,221.05,2251675.0,14088.6219,27.5968,3.7018,0.0
2011-11-30,187.25,5802712.0,11934.3789,23.377,3.1358,20.0
2011-12-31,169.75,1341262.0,10819.0164,17.2686,2.8712,20.0
2012-01-31,193.85,4890864.0,12355.0299,19.7202,,20.0
2012-02-29,220.6,5523940.0,14059.9411,22.4415,,20.0
2012-03-31,219.0,5787526.0,13956.8699,21.8464,4.4576,20.0
2012-04-30,245.3,12331257.0,15632.9689,,4.9929,20.0
2012-05-31,199.65,4607241.0,12724.6731,,4.0638,20.0
2012-06-30,206.95,5479669.0,13189.9379,,4.2123,20.0
2012-07-31,188.55,9600958.0,12017.2157,,3.8378,20.0
2012-08-31,185.75,2944521.0,11838.7579,,3.7808,20.0
2012-09-30,197.8,2435640.0,12606.7635,,4.0261,20.0
2012-10-31,193.1,4851823.0,12307.2095,,3.9304,20.0
2012-11-30,198.35,1788763.0,12641.8177,,4.0373,20.0
2012-12-31,192.8,2594653.0,12288.089,,3.9243,20.0
2013-01-31,180.95,2124059.0,11532.8304,,3.6831,0.0
2013-02-28,152.95,728322.0,9748.2532,,3.1132,0.0
2013-03-31,133.7,6225106.0,8521.3563,19.2651,2.4945,0.0
2013-04-30,160.0,3926635.0,10880.0,23.0548,2.9852,0.0
2013-05-31,158.75,1348722.0,10795.0,22.8746,2.9619,0.0
2013-06-30,160.05,1885094.0,10883.3976,23.062,2.9862,0.0
2013-07-31,159.85,810527.0,10869.7976,23.0331,2.9824,2.0
2013-08-31,154.95,500352.0,10536.5976,22.3271,2.891,2.0
2013-09-30,153.05,535668.0,10407.3977,22.0533,2.8555,2.0
2013-10-31,156.4,482825.0,10635.1976,22.536,2.9181,2.0
2013-11-30,155.95,1288909.0,10604.5976,22.4712,2.9097,8.5
2013-12-31,171.9,1762739.0,11689.1974,24.7695,3.2072,8.5
2014-01-31,161.75,1749807.0,10998.9975,23.3069,3.0179,8.5
2014-02-28,170.95,839905.0,11624.5974,24.6326,3.1895,8.5
2014-03-31,182.8,7126062.0,12430.3972,27.697,3.25,8.5
2014-04-30,203.1,2782466.0,13810.7969,30.7727,3.6109,8.5
2014-05-31,223.7,3610133.0,15211.5966,33.8939,3.9772,8.5
2014-06-30,323.6,4489305.0,22004.7951,49.0303,5.7533,8.5
2014-07-31,337.35,6883350.0,22939.7949,51.1136,5.9978,6.5
2014-08-31,439.7,14724269.0,29899.5933,66.6212,7.8175,6.5
2014-09-30,417.05,7488970.0,28359.3936,63.1894,7.4148,6.5
2014-10-31,416.1,3268049.0,28294.7937,63.0455,7.3979,6.5
2014-11-30,476.35,12595631.0,32391.7927,72.1742,8.4691,3.0
2014-12-31,513.85,5568278.0,34941.7922,77.8561,9.1358,3.0
2015-01-31,536.85,4371499.0,36505.7918,81.3409,9.5447,3.0
2015-02-28,541.5,3356206.0,36822.0,82.0455,9.6274,3.0
2015-03-31,611.1,3596817.0,41554.7907,51.4827,9.4742,3.0
2015-04-30,592.9,3438756.0,40317.191,49.9495,9.1921,3.0
2015-05-31,623.6,1661962.0,42404.7905,52.5358,9.668,3.0
2015-06-30,577.1,1067188.0,39242.7912,48.6184,8.9471,3.0
2015-07-31,602.4,1037141.0,40963.1908,50.7498,9.3393,3.0
2015-08-31,577.1,1286043.0,39242.7912,48.6184,8.9471,3.0
2015-09-30,600.15,532119.0,40810.1908,50.5602,9.3045,3.0
2015-10-31,589.55,380942.0,40089.391,49.6672,9.1401,3.0
2015-11-30,571.45,301005.0,38858.5913,48.1424,8.8595,3.0
2015-12-31,542.65,386391.0,36900.1917,45.7161,8.413,3.0
2016-01-31,484.65,329161.0,32956.1926,40.8298,7.5138,0.0
2016-02-29,414.05,278229.0,28155.3937,34.8821,6.4192,0.0
2016-03-31,436.95,746461.0,29712.5933,32.3667,5.6038,0.0
2016-04-30,514.1,823220.0,34958.7922,38.0815,6.5932,0.0
2016-05-31,547.8,622743.0,37250.3916,40.5778,7.0254,0.0
2016-06-30,566.75,604829.0,38538.9914,41.9815,7.2684,0.0
