TMPV IN Equity,price,volume,mc,pe,bm,div
1995-01-31,37.34,,,,,0.0
1995-02-28,33.53,,,,,0.0
1995-03-31,30.45,,,,,0.0
1995-04-30,32.81,,,,,0.0
1995-05-31,41.11,,,,,0.7186
1995-06-30,40.89,,,,,0.7186
1995-07-31,41.62,,,,,0.7186
1995-08-31,44.23,,,,,0.7186
1995-09-30,48.43,,,,,0.7186
1995-10-31,48.26,,,,,0.7186
1995-11-30,42.11,,,,,0.7186
1995-12-31,44.08,,,,,0.7186
1996-01-31,42.69,,,,,0.7186
1996-02-29,48.96,,,,,0.7186
1996-03-31,52.9,,,,,0.7186
1996-04-30,56.84,,,,,0.7186
1996-05-31,56.35,3206429.0,,,,1.1498
1996-06-30,60.32,8935942.0,,,,1.1498
1996-07-31,58.99,12396506.0,,,,1.1498
1996-08-31,59.14,9290489.0,,,,1.1498
1996-09-30,51.71,9407370.0,,,,1.1498
1996-10-31,47.68,12248299.0,,,,1.1498
1996-11-30,36.72,24716616.0,,,,1.1498
1996-12-31,39.09,68117716.0,,,,1.1498
1997-01-31,37.01,93465598.0,,,,1.1498
1997-02-28,41.41,43627243.0,,,,1.1498
1997-03-31,39.44,49450739.0,,,,1.1498
1997-04-30,46.75,31943760.0,,,,1.1498
1997-05-31,45.82,92619501.0,,,,1.533
1997-06-30,52.44,162327490.0,,,,1.533
1997-07-31,45.24,68373056.0,,,,1.533
1997-08-31,38.86,76446886.0,,,,1.533
1997-09-30,39.07,57481012.0,,,,1.533
1997-10-31,36.95,38134363.0,,,,1.533
1997-11-30,36.43,61712178.0,,,,1.533
1997-12-31,34.37,85715995.0,,,,1.533
1998-01-31,27.0,99572060.0,,,,1.533
1998-02-28,28.83,102030665.0,,,,1.533
1998-03-31,33.98,129125982.0,,,,1.533
1998-04-30,32.23,117744559.0,,,,1.533
1998-05-31,28.26,55887686.0,,,,1.533
1998-06-30,19.32,83889231.0,,,,1.054
1998-07-31,15.26,134623429.0,,,,1.054
1998-08-31,15.01,128184238.0,,,,1.054
1998-09-30,16.01,99642117.0,,,,1.054
1998-10-31,13.1,155338659.0,,,,1.054
1998-11-30,13.9,399805226.0,,,,1.054
1998-12-31,18.91,523955004.0,,,,1.054
1999-01-31,24.45,455109007.0,,,,1.054
1999-02-28,21.38,220575738.0,,,,1.054
1999-03-31,19.63,193996210.0,,,,1.054
1999-04-30,15.97,94318468.0,,,,1.054
1999-05-31,21.42,181642312.0,,,,1.054
1999-06-30,23.82,261988179.0,,,,0.5749
1999-07-31,27.83,303470749.0,,,,0.5749
1999-08-31,36.47,341895478.0,,,,0.5749
1999-09-30,31.32,216360430.0,,,,0.5749
1999-10-31,27.8,152473292.0,,,,0.5749
1999-11-30,25.67,120829760.0,,,,0.5749
1999-12-31,23.32,95329397.0,,,,0.5749
2000-01-31,21.0,133644833.0,,,,0.5749
2000-02-29,19.63,83691475.0,,,,0.5749
2000-03-31,15.71,92733653.0,,,,0.5749
2000-04-30,14.79,78011375.0,,,,0.5749
2000-05-31,14.27,67275715.0,31470.4103,,,0.5749
2000-06-30,14.3,92635005.0,31547.1674,,,0.4791
2000-07-31,10.83,79081408.0,23884.1579,,,0.4791
2000-08-31,11.57,95838726.0,25521.6363,,,0.4791
2000-09-30,9.4,56222084.0,20724.3362,,,0.4791
2000-10-31,8.14,35170619.0,17948.2986,,,0.4791
2000-11-30,10.17,146830858.0,22425.7786,,,0.4791
2000-12-31,10.2,211096720.0,22489.7426,,,0.4791
2001-01-31,10.88,299656583.0,23986.5003,,,0.4791
2001-02-28,11.87,426995815.0,26186.8619,,,0.4791
2001-03-31,7.55,153479545.0,16643.433,,,0.4791
2001-04-30,8.81,138684722.0,19432.2634,,,0.4791
2001-05-31,9.54,91726951.0,21044.1562,,,0.4791
2001-06-30,7.26,34430816.0,16003.793,,,0.4791
2001-07-31,8.24,25169581.0,18178.569,,,0.0
2001-08-31,8.82,24866837.0,19445.0562,,,0.0
2001-09-30,8.01,13828866.0,17666.857,,,0.0
2001-10-31,9.83,41557788.0,21683.7962,,,0.0
2001-11-30,12.06,115999843.0,26609.0243,,,0.0
2001-12-31,11.58,29579237.0,25534.4291,,,0.0
2002-01-31,14.5,90415621.0,31969.2076,,,0.0
2002-02-28,16.5,101444292.0,36395.5164,,,0.0
2002-03-31,14.65,71873645.0,32301.8204,,,0.0
2002-04-30,14.95,50421675.0,41220.0155,,,0.0
2002-05-31,14.07,58457552.0,38773.6764,,,0.0
2002-06-30,18.01,159157975.0,49646.2949,,,0.0
2002-07-31,14.81,91062542.0,40820.2869,,,0.0
2002-08-31,16.25,81819598.0,44785.5949,,,0.0
2002-09-30,15.36,45477908.0,42339.2557,,,0.0
2002-10-31,16.79,61198857.0,46272.5853,,,0.0
2002-11-30,19.65,84895438.0,54155.2338,,,0.0
2002-12-31,18.72,86716519.0,51596.9706,,,0.0
2003-01-31,17.85,80316722.0,49198.8899,,,0.0
2003-02-28,18.9,38868035.0,52108.9514,,,0.0
2003-03-31,18.06,47078300.0,49774.5216,,,0.0
2003-04-30,17.51,28659759.0,48255.5432,,,0.0
2003-05-31,19.9,71204415.0,54859.1017,,,0.0
2003-06-30,22.93,80832130.0,63205.4879,,,0.7665
2003-07-31,26.18,126612668.0,72159.4654,,,0.7665
2003-08-31,32.49,132958705.0,89571.7539,,,0.7665
2003-09-30,35.66,132338272.0,98285.8927,,,0.7665
2003-10-31,43.44,370680029.0,119759.4496,,,0.7665
2003-11-30,47.44,332129157.0,132456.2094,,,0.7665
2003-12-31,52.47,181459659.0,147078.6484,,,0.7665
2004-01-31,60.31,307597663.0,170516.8761,,,0.7665
2004-02-29,59.16,295130239.0,175289.0451,,,0.7665
2004-03-31,56.35,279972404.0,166937.0377,,,0.7665
2004-04-30,54.87,156812291.0,162554.8115,,,0.7665
2004-05-31,42.52,249505507.0,128004.0298,,,0.7665
2004-06-30,44.11,283598464.0,134274.4733,,,1.533
2004-07-31,49.09,295695211.0,149460.6973,,,1.533
2004-08-31,45.3,286605358.0,139755.6098,,,1.533
2004-09-30,46.79,221415020.0,144594.9188,,,1.533
2004-10-31,48.35,161015325.0,149416.5419,,,1.533
2004-11-30,56.01,82881109.0,174493.971,,,1.533
2004-12-31,58.6,101309575.0,182552.8206,,,1.533
2005-01-31,58.51,328300677.0,182281.8908,,,1.533
2005-02-28,55.21,324531513.0,172175.7259,,,1.533
2005-03-31,47.99,353433348.0,149656.682,,,1.533
2005-04-30,47.97,310335002.0,149584.3317,,,1.533
2005-05-31,50.24,252352782.0,156656.5776,,,1.533
2005-06-30,49.36,199672715.0,153907.2646,,,2.3954
2005-07-31,55.79,201902526.0,173966.3969,,,2.3954
2005-08-31,53.53,307990106.0,166930.3261,,,2.3954
2005-09-30,61.98,260137321.0,201008.1387,,,2.3954
2005-10-31,54.76,332957047.0,177586.9751,,,2.3954
2005-11-30,64.48,277781857.0,209116.188,,,2.3954
2005-12-31,75.8,391889825.0,245837.5626,,,2.3954
2006-01-31,82.19,194700169.0,266549.7723,,,2.3954
2006-02-28,94.69,328415914.0,307527.1127,,,2.3954
2006-03-31,108.1,426426793.0,353052.4222,,,2.3954
2006-04-30,110.39,199826975.0,353784.0501,,,2.3954
2006-05-31,91.42,321134113.0,301835.8481,,,2.3954
2006-06-30,92.21,334482711.0,304440.3576,,,2.4912
2006-07-31,86.08,284235372.0,284217.1069,,,2.4912
2006-08-31,98.13,220377064.0,325774.4759,,,2.4912
2006-09-30,99.96,188027059.0,331879.0163,,,2.4912
2006-10-31,96.03,150326145.0,318814.8542,,,2.4912
2006-11-30,93.87,219357133.0,311736.6187,,,2.4912
2006-12-31,104.48,183981912.0,346969.0401,,,2.4912
2007-01-31,101.89,174371892.0,338377.6459,,,2.4912
2007-02-28,90.79,139235041.0,301507.8512,,,2.4912
2007-03-31,84.48,224950342.0,280619.1413,,,2.4912
2007-04-30,87.21,228710217.0,289694.8966,,,2.4912
2007-05-31,87.67,191737568.0,291217.0714,,,2.4912
2007-06-30,77.75,218601247.0,258273.9072,,,2.8745
2007-07-31,81.14,216008008.0,269526.6647,,,2.8745
2007-08-31,81.41,249110507.0,270432.2805,,,2.8745
2007-09-30,90.13,140883201.0,299458.438,,,2.8745
2007-10-31,87.92,214522410.0,292115.5583,,,2.8745
2007-11-30,84.97,118866509.0,282352.7469,,,2.8745
2007-12-31,86.07,106957138.0,285995.7709,,,2.8745
2008-01-31,81.14,191931613.0,269631.6781,,,2.8745
2008-02-29,81.25,98712860.0,269978.62,,,2.8745
2008-03-31,72.24,140917491.0,240045.244,,1.7659,2.8745
2008-04-30,77.09,89119528.0,256158.7677,,1.8845,2.8745
2008-05-31,66.79,102666905.0,221927.1672,,1.6326,2.8745
2008-06-30,49.43,109654698.0,164287.262,,1.2601,2.8745
2008-07-31,46.81,97084587.0,155591.8559,,,2.8745
2008-08-31,51.09,104951347.0,169837.5693,,,2.8745
2008-09-30,41.2,138578462.0,154692.9221,,,2.8745
2008-10-31,20.31,229448563.0,76266.8943,,,2.8745
2008-11-30,16.4,325650397.0,61580.288,,,2.8745
2008-12-31,19.15,337472776.0,71903.6452,,,2.8745
2009-01-31,17.93,260334666.0,67315.4865,,,2.8745
2009-02-28,17.88,288473465.0,67158.0496,,,2.8745
2009-03-31,21.6,681144602.0,81102.4538,,0.9444,2.8745
2009-04-30,29.2,845332731.0,109665.9913,,1.277,2.8745
2009-05-31,40.35,591846313.0,151521.6947,,1.7644,2.8745
2009-06-30,34.83,666572932.0,130785.0163,,1.6442,2.8745
2009-07-31,50.5,787927325.0,212137.5559,,,2.8745
2009-08-31,58.66,1003022980.0,243707.262,,,1.1873
2009-09-30,70.81,727049196.0,293824.1429,,,1.1873
2009-10-31,67.95,647012375.0,300236.0568,,,1.1873
2009-11-30,79.44,527475854.0,349861.1672,,,1.1873
2009-12-31,94.82,474590343.0,411538.0115,39.5629,,1.1873
2010-01-31,83.18,373200837.0,359733.1123,34.7047,,1.1873
2010-02-28,85.19,359819075.0,367566.1819,35.5469,,1.1873
2010-03-31,90.76,882453689.0,392742.0556,8.2869,3.1891,1.1873
2010-04-30,104.53,599454905.0,480407.2235,9.5435,3.6727,1.1873
2010-05-31,90.44,673693217.0,415371.5396,8.2573,3.1777,1.1873
2010-06-30,93.26,568119716.0,426321.3713,4.8811,3.2448,1.1873
2010-07-31,101.38,368842188.0,467375.2606,5.3066,,1.1873
2010-08-31,121.03,675467072.0,557995.8368,6.3348,,2.9682
2010-09-30,131.54,390277560.0,607329.5206,4.9204,3.0413,2.9682
2010-10-31,138.84,319843181.0,677489.2949,5.1933,3.2099,2.9682
2010-11-30,147.93,400946231.0,722390.0787,5.5337,3.4203,2.9682
2010-12-31,156.73,513597719.0,777910.2626,4.8743,3.6009,2.9682
2011-01-31,137.4,355170787.0,683015.0677,4.2734,,2.9682
2011-02-28,129.7,456118818.0,639598.352,4.0339,,2.9682
2011-03-31,149.54,291391961.0,737662.0895,4.8769,2.5016,2.9682
2011-04-30,148.16,160289224.0,731209.7178,4.832,2.4785,2.9682
2011-05-31,131.21,290932157.0,649677.0555,4.279,2.1949,2.9682
2011-06-30,119.09,320088595.0,587447.5876,3.9704,1.9982,2.9682
2011-07-31,113.57,229320727.0,563026.7264,3.7863,,3.9576
2011-08-31,88.92,401024199.0,440999.2449,2.9644,,3.9576
2011-09-30,93.47,367748897.0,462401.5781,3.3222,1.2981,3.9576
2011-10-31,118.86,347960126.0,585872.5817,4.2248,1.6508,3.9576
2011-11-30,103.5,405561868.0,511051.4441,3.6788,1.4374,3.9576
2011-12-31,107.03,327548513.0,522835.1859,3.4587,1.4902,3.9576
2012-01-31,145.99,403140742.0,712956.5754,4.7177,,3.9576
2012-02-29,162.29,387981352.0,803034.2891,5.2442,,3.9576
2012-03-31,164.86,284152464.0,816993.4392,3.9174,1.6172,3.9576
2012-04-30,189.6,190769984.0,939190.5529,4.5051,1.8599,3.9576
2012-05-31,139.56,324474814.0,686488.6074,3.3161,1.369,3.9576
2012-06-30,145.22,339603109.0,709963.0008,3.3905,1.4122,3.9576
2012-07-31,135.51,244639339.0,665318.3804,3.1639,,3.9576
2012-08-31,140.33,245813763.0,690266.5023,3.2765,,3.9576
2012-09-30,160.25,235733692.0,790688.6527,3.6911,1.2803,3.9576
2012-10-31,152.58,176293377.0,754454.7846,3.5146,1.2191,3.9576
2012-11-30,163.78,275929589.0,807328.4537,3.7725,1.3086,3.9576
2012-12-31,187.26,225067547.0,916993.4149,4.9482,1.4837,3.9576
2013-01-31,178.49,253627640.0,874454.2405,4.7164,,3.9576
2013-02-28,172.23,193615908.0,843052.7299,4.551,,3.9576
2013-03-31,161.21,213080096.0,791043.0644,5.2611,1.381,3.9576
2013-04-30,179.68,187813084.0,882961.565,5.8641,1.5393,3.9576
2013-05-31,187.65,186532262.0,922106.7969,6.1241,1.6076,3.9576
2013-06-30,168.48,197369746.0,825749.3496,5.81,1.3869,3.9576
2013-07-31,173.99,174137862.0,845522.7856,6.0,,1.9788
2013-08-31,179.24,226404376.0,876734.6372,6.1808,,1.9788
2013-09-30,199.15,171240575.0,974674.3688,5.9535,1.1726,1.9788
2013-10-31,228.29,185773011.0,1120151.209,6.8245,1.3441,1.9788
2013-11-30,238.8,160355628.0,1173215.528,7.1388,1.406,1.9788
2013-12-31,225.44,150122313.0,1106851.052,5.2226,1.3217,1.9788
2014-01-31,209.36,127755572.0,1026008.661,4.8501,,1.9788
2014-02-28,249.73,158923450.0,1221686.754,5.7852,,1.9788
2014-03-31,238.77,115341257.0,1171543.137,5.5555,1.184,1.9788
2014-04-30,248.41,91630341.0,1226460.441,5.7799,1.2319,1.9788
2014-05-31,248.59,131796729.0,1242016.054,5.7841,1.2327,1.9788
2014-06-30,258.33,122983344.0,1304012.349,4.7628,1.2841,1.9788
2014-07-31,267.58,134352148.0,1345274.559,4.9334,,1.9788
2014-08-31,314.48,135819659.0,1596343.246,5.7981,,1.9788
2014-09-30,300.76,149845098.0,1519154.227,5.6252,1.4426,1.9788
2014-10-31,320.95,92211216.0,1605221.986,6.0028,1.5394,1.9788
2014-11-30,319.54,90869790.0,1601011.418,5.9764,1.5326,1.9788
2014-12-31,296.81,96522086.0,1496843.001,5.9712,1.4184,1.9788
2015-01-31,350.47,128193274.0,1751848.145,7.0508,,1.9788
2015-02-28,355.39,107253375.0,1778638.405,7.1496,,1.9788
2015-03-31,329.54,102389557.0,1642074.699,7.6852,1.9055,1.9788
2015-04-30,307.68,89510974.0,1602624.546,7.1754,1.7791,1.9788
2015-05-31,291.58,132123301.0,1523160.312,6.7998,1.686,1.9788
2015-06-30,262.82,180341185.0,1386039.328,6.2491,1.4991,1.9788
2015-07-31,232.37,204767723.0,1240482.477,5.5251,,1.9788
2015-08-31,205.92,228424296.0,1102972.648,4.896,,0.0
2015-09-30,180.76,241534162.0,972178.7839,6.7534,0.7584,0.0
2015-10-31,233.04,242210919.0,1243683.825,8.7064,0.9777,0.0
2015-11-30,256.22,187884517.0,1373941.772,9.5726,1.0749,0.0
2015-12-31,236.88,164944255.0,1276890.511,9.7066,0.9993,0.0
2016-01-31,203.95,201775736.0,1107674.041,8.3572,,0.0
2016-02-29,181.43,273692024.0,984303.8981,7.4344,,0.0
2016-03-31,234.04,194925110.0,1262812.178,6.7975,1.0068,0.0
2016-04-30,247.2,133392490.0,1330413.961,7.1799,1.0635,0.0
2016-05-31,278.26,329193001.0,1487019.068,8.0819,1.1971,0.0
2016-06-30,278.02,265257295.0,1474296.341,11.015,1.1648,0.0
2016-07-31,304.62,145634983.0,1617307.652,12.0691,,0.2
2016-08-31,325.51,177681315.0,1727136.558,12.8966,,0.2
2016-09-30,323.78,183548606.0,1717357.174,9.8564,2.0102,0.2
2016-10-31,322.03,117558327.0,1711704.634,9.803,1.9993,0.2
2016-11-30,278.05,183436891.0,1477567.833,8.4642,1.7262,0.2
2016-12-31,285.74,191828486.0,1514845.491,11.6722,1.7698,0.2
2017-01-31,316.94,120658574.0,1680892.774,12.947,,0.2
2017-02-28,276.5,178292493.0,1459143.008,11.2951,,0.2
2017-03-31,282.01,146263999.0,1488545.168,12.8832,1.6498,0.2
2017-04-30,277.81,114659872.0,1467384.816,12.691,1.6251,0.2
2017-05-31,288.25,166550822.0,1521208.744,13.168,1.6862,0.2
2017-06-30,261.85,207089557.0,1382811.198,10.61,1.5426,0.2
