TRE IN Equity,price,volume,mc,pe,bm,div
2000-09-30,1.01,72500.0,,,,0.0
2000-10-31,0.88,30000.0,,,,0.0
2000-11-30,0.8,82500.0,,,,0.0
2000-12-31,0.92,217500.0,282.0555,,,0.0
2001-01-31,0.93,135575.0,284.5135,,,0.0
2001-02-28,0.92,29025.0,282.67,,,0.0
2001-03-31,0.85,10000.0,261.1625,,,0.0
2001-04-30,0.63,147850.0,193.5675,,,0.0
2001-05-31,0.69,191525.0,212.617,,,0.0
2001-06-30,0.62,129950.0,190.495,,,0.0
2001-07-31,0.6,222700.0,184.35,,,0.06
2001-08-31,0.56,235225.0,172.06,,,0.06
2001-09-30,0.53,191400.0,162.8425,,,0.06
2001-10-31,0.55,346950.0,168.9875,,,0.06
2001-11-30,0.63,264525.0,192.953,,,0.06
2001-12-31,0.59,247650.0,180.663,,,0.06
2002-01-31,0.65,483125.0,199.7125,,,0.06
2002-02-28,0.9,1588075.0,276.525,,,0.06
2002-03-31,0.8,1025425.0,245.1695,,,0.06
2002-04-30,0.98,2016400.0,302.3143,,,0.06
2002-05-31,1.1,1678800.0,338.5675,,,0.06
2002-06-30,1.56,2819125.0,479.8933,,,0.06
2002-07-31,1.11,4081500.0,339.7964,,,0.088
2002-08-31,1.13,2794925.0,347.7844,,,0.088
2002-09-30,1.12,482800.0,344.7121,,,0.088
2002-10-31,1.05,319050.0,323.206,,,0.088
2002-11-30,1.13,729825.0,347.7844,,,0.088
2002-12-31,1.01,726575.0,310.3023,,,0.088
2003-01-31,1.17,1925400.0,358.2302,,,0.088
2003-02-28,1.27,1183375.0,388.9532,,,0.088
2003-03-31,1.18,1796125.0,362.5314,7.5837,0.2675,0.088
2003-04-30,1.39,1418475.0,427.0497,8.9333,0.3151,0.088
2003-05-31,1.39,,427.0497,8.9333,0.3151,0.088
2003-06-30,1.39,,,8.9333,0.3151,0.088
2003-07-31,1.39,,,8.9333,0.3151,0.06
2003-08-31,1.39,,,8.9333,0.3151,0.06
2003-09-30,1.39,,,8.9333,0.3151,0.06
2003-10-31,1.39,,,8.9333,0.3151,0.06
2003-11-30,1.39,,,8.9333,0.3151,0.06
2003-12-31,1.39,,,8.9333,0.3151,0.06
2004-01-31,1.39,,,8.9333,0.3151,0.06
2004-02-29,1.39,,,8.9333,0.3151,0.06
2004-03-31,1.39,,,1.7717,0.1944,0.06
2004-04-30,1.39,,,1.7717,0.1944,0.06
2004-05-31,1.39,,,1.7717,0.1944,0.06
2004-06-30,1.39,,,1.7717,0.1944,0.06
2004-07-31,1.39,,,1.7717,0.1944,0.06
2004-08-31,1.39,,,1.7717,0.1944,0.12
2004-09-30,1.39,,,1.7717,0.1944,0.12
2004-10-31,1.39,,,1.7717,0.1944,0.12
2004-11-30,1.39,,,1.7717,0.1944,0.12
2004-12-31,1.39,,,1.7717,0.1944,0.12
2005-01-31,1.39,,,1.7717,0.1944,0.12
2005-02-28,1.38,,,1.759,0.193,0.12
2005-03-31,1.38,,423.9705,0.2892,0.1503,0.12
2005-04-30,1.38,,423.9705,0.2892,0.1503,0.12
2005-05-31,1.38,,423.9705,0.2892,0.1503,0.12
2005-06-30,3.45,,635.9558,0.7231,0.3757,1.3
2005-07-31,3.45,,635.9558,0.7231,0.3757,1.3
2005-08-31,3.45,,635.9558,0.7231,0.3757,1.3
2005-09-30,3.45,,635.9558,0.7231,0.3757,1.3
2005-10-31,3.45,,635.9558,0.7231,0.3757,1.3
2005-11-30,3.45,,635.9558,0.7231,0.3757,1.3
2005-12-31,80.6,139648389.0,14857.4015,16.8925,8.7763,1.3
2006-01-31,81.85,95782440.0,15087.8203,17.1545,8.9124,1.3
2006-02-28,76.75,34815470.0,19792.3044,16.0856,8.3571,1.3
2006-03-31,125.95,82728537.0,32480.0097,18.188,5.8801,1.3
2006-04-30,113.1,48754761.0,26858.2216,16.3324,5.2802,1.3
2006-05-31,94.6,53032295.0,24395.4658,13.6608,4.4165,1.3
2006-06-30,80.0,47512569.0,20630.415,11.5525,3.7349,0.5
2006-07-31,80.05,22396500.0,20643.309,11.5597,3.7372,0.5
2006-08-31,71.9,35270215.0,18541.5855,10.3828,3.3567,0.5
2006-09-30,70.95,25770187.0,18296.5993,10.2456,3.3124,0.5
2006-10-31,67.4,24695792.0,17381.1247,9.733,3.1466,0.5
2006-11-30,56.05,12400602.0,14454.1845,8.094,2.6167,0.7
2006-12-31,55.5,19678885.0,14312.3504,8.0146,2.5911,0.7
2007-01-31,47.8,22737034.0,12326.673,6.9026,2.2316,0.7
2007-02-28,44.55,17805438.0,11488.5624,6.4333,2.0798,0.7
