TRIV IN Equity,price,volume,mc,pe,bm,div
2011-10-31,39.6,1712751.0,13063.2518,17.4488,,0.0
2011-11-30,34.85,3273449.0,11496.3214,15.3558,,0.25
2011-12-31,35.0,12259852.0,11545.8066,15.4219,,0.25
2012-01-31,39.05,1278828.0,12881.8213,17.2064,,0.45
2012-02-29,45.0,2315575.0,14844.6085,19.8282,,0.45
2012-03-31,47.9,2204066.0,15801.261,18.0842,25.4645,0.45
2012-04-30,43.25,3394463.0,14267.3181,16.3286,22.9925,0.45
2012-05-31,44.5,1334011.0,14679.6684,16.8006,23.657,0.45
2012-06-30,44.0,485221.0,14514.7283,16.6118,23.3912,0.45
2012-07-31,45.65,681196.0,15059.0306,17.2347,24.2684,0.65
2012-08-31,43.05,609818.0,14201.3421,16.2531,22.8862,0.65
2012-09-30,46.0,1755164.0,15174.4886,17.3669,24.4545,0.65
2012-10-31,55.05,1030001.0,18159.9043,20.7836,29.2656,0.65
2012-11-30,51.35,5398418.0,16939.3477,19.3867,27.2986,0.65
2012-12-31,59.55,2537397.0,19644.3652,22.4825,31.6579,0.65
2013-01-31,57.9,2934347.0,19100.0629,21.8596,30.7807,0.65
2013-02-28,51.2,12448813.0,16889.8656,19.3301,27.2189,0.65
2013-03-31,52.3,584082.0,17252.7338,16.5104,12.7361,0.45
2013-04-30,52.05,200729.0,17170.2638,16.4315,12.6752,0.45
2013-05-31,56.1,564338.0,18506.2785,17.71,13.6615,0.45
2013-06-30,52.6,6512088.0,17351.6963,16.6051,12.8092,0.45
2013-07-31,47.55,3012741.0,15685.8015,15.0109,11.5794,1.0
2013-08-31,47.7,20349748.0,15735.2835,15.0583,11.6159,1.0
2013-09-30,50.0,347054.0,16494.0079,15.7843,12.176,0.8
2013-10-31,52.45,384780.0,17302.2143,16.5578,12.7726,0.8
2013-11-30,51.7,696802.0,17054.8041,16.321,12.59,0.75
2013-12-31,52.0,1085247.0,17153.7682,16.4157,12.6631,0.75
2014-01-31,55.65,1480334.0,18357.8308,17.568,13.5519,0.75
2014-02-28,58.05,4162723.0,19149.5431,18.3256,14.1364,0.75
2014-03-31,72.05,12750065.0,23772.5048,34.9757,13.603,0.75
2014-04-30,70.3,1600738.0,23195.1018,34.1262,13.2726,0.75
2014-05-31,90.95,3291738.0,30008.4568,44.1505,17.1713,0.75
2014-06-30,91.5,13615504.0,30192.4506,44.4175,17.2752,0.75
2014-07-31,96.9,3697927.0,31974.3001,47.0388,18.2947,0.2
2014-08-31,84.8,2023714.0,27981.6373,41.165,16.0102,0.75
2014-09-30,91.45,3786227.0,30175.952,44.3932,17.2657,0.5
2014-10-31,91.2,2513549.0,30093.4589,44.2718,17.2185,0.5
2014-11-30,101.15,9329093.0,33376.6817,49.1019,19.0971,0.5
2014-12-31,113.25,4390544.0,37369.3446,54.9757,21.3816,0.5
2015-01-31,105.9,2544565.0,34944.0494,51.4078,19.9939,0.5
2015-02-28,120.9,4827265.0,39893.613,58.6893,22.8259,0.5
2015-03-31,129.85,3951864.0,42846.882,47.3905,18.741,0.5
2015-04-30,115.1,1842939.0,37979.793,42.0073,16.6121,0.5
2015-05-31,113.05,2331250.0,37303.3501,41.2591,16.3162,0.5
2015-06-30,116.9,1569474.0,38573.7429,42.6642,16.8719,0.5
2015-07-31,125.1,3604473.0,41279.5144,45.6569,18.0554,0.85
2015-08-31,115.05,3736234.0,37963.2944,41.9891,16.6049,0.85
2015-09-30,106.4,1126356.0,35109.0354,38.8321,15.3565,0.85
2015-10-31,108.4,2798409.0,35768.9797,39.562,15.6451,0.85
2015-11-30,109.6,977011.0,36164.9463,40.0,15.8183,1.0
2015-12-31,112.9,8379263.0,37253.8543,41.2044,16.2946,1.0
2016-01-31,99.85,4092752.0,32947.7179,36.4416,14.4111,1.0
2016-02-29,90.1,1873836.0,29730.4896,32.8832,13.0039,1.0
2016-03-31,95.65,1208309.0,31561.8349,27.9678,10.5416,1.7
2016-04-30,109.9,4570798.0,36263.9379,32.1345,12.1121,1.7
2016-05-31,106.7,6091598.0,35208.0271,31.1988,11.7594,1.7
2016-06-30,119.9,2543418.0,39563.6593,35.0585,13.2142,1.7
2016-07-31,122.5,4974465.0,40421.5868,35.8187,13.5008,1.1
2016-08-31,125.2,2924429.0,41312.5116,36.6082,13.7983,1.55
2016-09-30,122.95,11702598.0,40570.0743,35.9503,13.5504,1.55
2016-10-31,127.05,1302157.0,41922.9601,37.1491,14.0022,1.55
2016-11-30,116.0,2974354.0,38276.7679,33.9181,12.7844,1.15
2016-12-31,118.85,2108610.0,39217.1885,34.7515,13.0985,1.15
2017-01-31,120.25,2186198.0,39679.1495,35.1608,13.2528,1.15
2017-02-28,120.45,1071431.0,39745.144,35.2193,13.2748,1.15
2017-03-31,144.9,3181186.0,47812.9627,38.7433,11.8507,0.45
2017-04-30,137.75,1969460.0,45453.6619,36.8316,11.266,0.45
2017-05-31,137.45,2595272.0,45354.6703,36.7513,11.2414,0.45
2017-06-30,140.95,2590758.0,46509.5728,37.6872,11.5277,0.45
2017-07-31,142.65,4822389.0,47070.5254,38.1417,11.6667,0.45
2017-08-31,132.6,1318765.0,43754.3054,35.4545,10.8448,1.5
2017-09-30,129.7,3314582.0,42797.3862,34.6791,10.6076,1.5
2017-10-31,130.55,3090996.0,43077.8625,34.9064,10.6771,0.75
2017-11-30,136.3,2481255.0,44975.2032,36.4439,11.1474,1.2
2017-12-31,133.55,2082035.0,44067.7798,35.7086,10.9225,1.2
2018-01-31,128.3,5919769.0,42335.4261,34.3048,10.4931,1.2
2018-02-28,122.0,20179547.0,40256.6023,32.6203,9.9778,1.2
2018-03-31,100.5,2489497.0,33162.2011,34.5361,7.3347,1.2
2018-04-30,99.65,1235203.0,32881.7247,34.244,7.2726,1.2
2018-05-31,110.0,1595222.0,36296.9365,37.8007,8.028,1.2
2018-06-30,115.3,1669349.0,38045.7889,39.622,8.4148,1.2
2018-07-31,114.9,823165.0,37913.8,39.4845,8.3856,1.2
2018-08-31,122.05,2770611.0,40273.1009,41.9416,8.9074,1.2
2018-09-30,103.3,909053.0,34086.1231,35.4983,7.539,1.0
2018-10-31,101.25,1642066.0,33409.6802,34.7938,7.3894,1.0
2018-11-30,115.0,2027805.0,37946.7973,39.5189,8.3929,0.55
2018-12-31,110.5,3388636.0,36461.9226,37.9725,8.0645,0.55
2019-01-31,106.4,9009514.0,35109.0368,36.5636,7.7653,0.55
2019-02-28,102.15,767126.0,33706.6551,35.1031,7.4551,0.55
2019-03-31,107.8,838815.0,34852.3312,35.3443,8.0419,0.55
2019-04-30,105.1,1834626.0,33979.4064,34.459,7.8404,0.55
2019-05-31,108.7,745123.0,35143.3061,35.6393,8.109,0.55
2019-06-30,103.8,361159.0,33559.1092,34.0328,7.7435,0.55
2019-07-31,102.0,585945.0,32977.1594,33.4426,7.6092,0.55
2019-08-31,99.2,1863120.0,32071.904,32.5246,7.4003,0.55
2019-09-30,103.5,1105627.0,33462.1176,33.9344,7.7211,0.55
2019-10-31,100.8,7036566.0,32589.1928,33.0492,7.5197,0.0
