UNBK IN Equity,price,volume,mc,pe,bm,div
2002-09-30,15.35,10254362.0,7062.8096,,,0.0
2002-10-31,15.2,3370602.0,6993.7919,,,0.0
2002-11-30,16.7,6003478.0,7683.9688,,,0.0
2002-12-31,19.25,21958727.0,8857.2694,,,0.0
2003-01-31,24.0,55950200.0,11042.8293,,,0.0
2003-02-28,23.8,45697456.0,10950.8058,,,0.0
2003-03-31,25.15,29187165.0,11571.9649,,,0.0
2003-04-30,27.9,24309620.0,12837.2891,,,0.0
2003-05-31,37.7,59947828.0,17346.4444,,,0.0
2003-06-30,34.7,34401126.0,15966.0908,,,2.1
2003-07-31,41.85,37204721.0,19255.9337,,,2.1
2003-08-31,46.7,25177183.0,21487.5054,,,2.1
2003-09-30,46.65,15489952.0,21464.4995,,,2.1
2003-10-31,46.7,26961525.0,21487.5054,,,2.1
2003-11-30,44.35,6427248.0,20406.2284,,,2.1
2003-12-31,51.25,13162273.0,23581.0418,,,2.1
2004-01-31,49.65,17956527.0,22844.8532,,,4.1
2004-02-29,47.7,6207094.0,21947.6233,,,4.1
2004-03-31,52.7,5456847.0,24248.2128,,,4.1
2004-04-30,76.05,37178721.0,34991.9655,,,4.1
2004-05-31,51.85,64088469.0,23857.1126,,,4.1
2004-06-30,57.8,34110147.0,26594.814,,,3.5
2004-07-31,61.15,18818563.0,28136.2089,,,3.5
2004-08-31,66.2,19773463.0,30459.8043,,,3.5
2004-09-30,73.45,19864492.0,33795.659,,,3.5
2004-10-31,71.65,14533174.0,32967.4468,,,3.5
2004-11-30,94.8,16716953.0,43619.1759,,,3.5
2004-12-31,108.85,25408456.0,50083.8323,,,3.5
2005-01-31,110.4,92181246.0,50797.015,,,3.5
2005-02-28,120.4,55604592.0,55398.1939,,,3.5
2005-03-31,113.05,99392773.0,52016.3274,,,3.5
2005-04-30,96.85,33906626.0,44562.4176,,,3.5
2005-05-31,104.7,53594473.0,48174.343,,,3.5
2005-06-30,107.8,25918235.0,49600.7085,,,3.5
2005-07-31,134.7,26984334.0,61977.8797,,,3.5
2005-08-31,135.0,22748231.0,62115.9151,,,3.5
2005-09-30,134.75,21434650.0,62000.8856,,,3.5
2005-10-31,114.25,16488033.0,52568.4689,,,3.5
2005-11-30,112.1,13124144.0,51579.2154,,,3.5
2005-12-31,122.15,25319165.0,56203.4002,,,3.5
2006-01-31,123.8,26896933.0,56962.5947,,,3.5
2006-02-28,122.2,22029323.0,56226.4061,,,3.5
2006-03-31,121.6,36819647.0,61422.3354,,,3.5
2006-04-30,117.0,15925406.0,58745.2105,,,1.5
2006-05-31,106.95,28092496.0,54022.3583,,,1.5
2006-06-30,90.6,11184746.0,45763.6808,,,3.5
2006-07-31,103.05,15050494.0,52052.3985,,,3.5
2006-08-31,116.9,13472329.0,59048.2813,,,3.5
2006-09-30,136.45,21957331.0,68923.336,,,3.5
2006-10-31,129.8,27031421.0,65564.302,,,3.5
2006-11-30,128.45,23397083.0,64882.3929,,,3.5
2006-12-31,122.7,17489452.0,61977.965,,,3.5
2007-01-31,111.15,19230198.0,56143.8534,,,3.0
2007-02-28,97.75,20019623.0,49375.2737,,,3.0
2007-03-31,104.0,21502719.0,52532.2605,,,3.0
2007-04-30,106.55,17439385.0,53820.3111,,,3.0
2007-05-31,119.8,27917697.0,60513.1232,,,3.0
2007-06-30,132.55,24610837.0,66953.3762,,,3.5
2007-07-31,155.9,58163852.0,78747.879,,,3.5
2007-08-31,136.55,39295465.0,68973.8478,,,3.5
2007-09-30,163.35,34494721.0,82511.0272,,,3.5
2007-10-31,174.1,48645132.0,87941.0458,,,3.5
2007-11-30,177.75,37348300.0,89784.7265,,,3.5
2007-12-31,205.95,23985505.0,104029.0545,,,3.5
2008-01-31,188.75,29790065.0,95341.0247,,,3.5
2008-02-29,185.95,19176713.0,93926.6942,,,3.5
2008-03-31,140.75,23504359.0,71095.3601,,,2.0
2008-04-30,160.2,14493298.0,80919.9054,,,2.0
2008-05-31,137.35,20110677.0,69377.9589,,,2.0
2008-06-30,109.3,20339415.0,55209.3987,,,4.0
2008-07-31,131.55,27578048.0,66448.2744,,,4.0
2008-08-31,143.1,22827940.0,72282.3874,,,4.0
2008-09-30,143.55,33576962.0,72509.6905,,,4.0
2008-10-31,124.75,38548153.0,63013.4719,,,4.0
2008-11-30,148.9,29467591.0,75212.0719,,,4.0
2008-12-31,162.95,23955454.0,82308.98,,,4.0
2009-01-31,147.55,29950730.0,74530.1626,,,4.0
2009-02-28,129.6,23191890.0,65463.2943,,,4.0
2009-03-31,146.85,26318175.0,74176.58,,,4.0
2009-04-30,163.8,21891584.0,82738.3303,,,4.0
2009-05-31,205.25,52843768.0,103675.4719,,,4.0
2009-06-30,242.1,33708843.0,122289.0706,,,5.0
2009-07-31,233.9,30362276.0,118147.1029,,,5.0
2009-08-31,213.8,18111012.0,107994.2309,,,5.0
2009-09-30,239.65,19878534.0,121051.5314,,,5.0
2009-10-31,262.25,27205622.0,132467.1985,,,5.0
2009-11-30,276.85,16681701.0,139841.9215,,,5.0
2009-12-31,264.15,15342547.0,133426.9227,,,5.0
2010-01-31,254.9,13964554.0,128754.5811,,,5.0
2010-02-28,255.75,12122951.0,129183.9314,,,5.0
2010-03-31,292.3,18417685.0,147645.9948,,,5.0
2010-04-30,311.0,15539099.0,157091.7016,,,5.0
2010-05-31,293.1,12714208.0,148050.0892,,,5.0
2010-06-30,311.05,16239832.0,157116.9575,,,5.5
2010-07-31,317.55,14901678.0,160400.2245,,,5.5
2010-08-31,329.0,16727646.0,166183.8258,,,5.5
2010-09-30,388.9,14988076.0,196440.3947,,,5.5
2010-10-31,377.95,22200037.0,190909.3524,,,5.5
2010-11-30,352.3,20489988.0,177953.0754,,,5.5
2010-12-31,347.1,16858309.0,175326.4618,,,5.5
2011-01-31,330.1,14255627.0,166739.4556,,,5.5
2011-02-28,314.0,8535475.0,158607.0556,,,5.5
2011-03-31,347.25,14830813.0,175402.2295,,,5.5
2011-04-30,319.3,9564299.0,161284.1811,,,5.5
2011-05-31,318.45,20782899.0,166973.652,,,5.5
2011-06-30,292.9,9075640.0,153576.9592,,,8.0
2011-07-31,288.65,21657364.0,151348.5465,,,8.0
2011-08-31,242.55,16705181.0,127176.823,,,8.0
2011-09-30,244.7,19036874.0,128304.1377,,,8.0
2011-10-31,225.9,32213161.0,118446.6886,,,8.0
2011-11-30,211.7,12760891.0,111001.1685,,,8.0
2011-12-31,169.85,19336129.0,89057.8577,,,8.0
2012-01-31,228.2,38168165.0,119652.6531,,,8.0
2012-02-29,233.15,36972749.0,122248.0985,,,8.0
2012-03-31,235.8,28467988.0,123637.5793,,,8.0
2012-04-30,224.25,23220688.0,117581.5401,,,8.0
2012-05-31,201.65,26151955.0,111018.2081,,,8.0
2012-06-30,209.1,23566329.0,115119.7982,,,8.0
2012-07-31,167.8,26309092.0,92382.1241,,,8.0
2012-08-31,156.75,17939163.0,86298.5575,,,8.0
2012-09-30,207.85,34026882.0,114431.612,,,8.0
2012-10-31,195.65,24109523.0,107714.914,,,8.0
2012-11-30,242.65,56965839.0,133590.7176,,,8.0
2012-12-31,274.35,36109492.0,151043.1212,,,8.0
2013-01-31,255.05,54598711.0,140417.5253,,,8.0
2013-02-28,212.2,33437665.0,116826.5002,,,8.0
2013-03-31,218.0,30138348.0,120019.6844,,,8.0
2013-04-30,244.8,33317943.0,146095.2176,,,8.0
2013-05-31,220.05,42529823.0,131324.5614,,,8.0
2013-06-30,186.35,31314189.0,111212.5972,,,8.0
2013-07-31,133.1,61002818.0,79433.3066,,,8.0
2013-08-31,101.8,86367534.0,60753.6485,,,8.0
2013-09-30,109.65,109467814.0,65438.4829,,,8.0
2013-10-31,123.55,105786634.0,73733.9221,,,8.0
2013-11-30,120.25,131042171.0,71764.5013,,,8.0
2013-12-31,130.4,104075297.0,77821.9623,,,8.0
2014-01-31,108.2,89074651.0,68199.1389,,,5.4
2014-02-28,102.9,50744118.0,64858.5156,,,5.4
2014-03-31,137.4,92759964.0,86604.0821,,,5.4
2014-04-30,151.15,111433938.0,95270.7934,,,5.4
2014-05-31,206.05,186953421.0,129874.6078,,,5.4
2014-06-30,240.85,133525418.0,151809.2662,,,4.0
2014-07-31,191.25,105582375.0,120546.075,,,4.0
2014-08-31,208.9,119012816.0,131670.9807,,,4.0
2014-09-30,188.8,109659191.0,120035.0506,,,4.0
2014-10-31,225.6,85133265.0,143431.713,,,4.0
2014-11-30,215.25,78109694.0,136851.4017,,,4.0
2014-12-31,239.4,124847595.0,152205.4614,,,4.0
2015-01-31,209.15,95669791.0,132973.1506,,,4.0
2015-02-28,171.5,114230100.0,109036.0971,,,4.0
2015-03-31,156.5,76544064.0,99499.3931,,0.5015,1.3
2015-04-30,143.8,66427099.0,91425.0015,,0.4608,1.3
2015-05-31,173.4,105256161.0,110244.056,,0.5556,1.3
