UNITDSPR IN Equity,price,volume,mc,pe,bm,div
2001-09-30,6.57,126425.0,1699.002,,,0.0
2001-10-31,8.28,3126090.0,2141.2081,,,0.0
2001-11-30,12.15,10957750.0,3141.9901,,,0.0
2001-12-31,11.46,10449680.0,2963.5561,,,0.0
2002-01-31,11.25,8416830.0,2909.2501,,,0.0
2002-02-28,9.75,3926255.0,2521.3501,,,0.0
2002-03-31,10.48,9994230.0,2710.1281,16.4465,1.0314,0.0
2002-04-30,10.28,19378410.0,2658.4081,16.1326,1.0118,0.0
2002-05-31,8.48,6510540.0,2192.9281,13.3078,0.8346,0.0
2002-06-30,10.23,23364680.0,2645.4781,16.0541,1.0068,0.0
2002-07-31,9.44,43891575.0,2441.1841,14.8144,0.9291,0.0
2002-08-31,9.38,5435805.0,2425.6681,14.7202,0.9232,0.0
2002-09-30,8.46,1973535.0,2187.7561,13.2764,0.8326,0.0
2002-10-31,7.87,3141830.0,2035.182,12.3505,0.7746,0.0
2002-11-30,8.8,4021305.0,2275.6801,13.81,0.8661,0.0
2002-12-31,8.74,5106300.0,2260.1641,13.7158,0.8602,0.0
2003-01-31,7.82,5934175.0,2022.252,12.2721,0.7696,0.0
2003-02-28,7.61,1748695.0,1967.946,11.9425,0.749,0.0
2003-03-31,6.74,3561685.0,1742.964,14.9307,0.6625,0.0
2003-04-30,7.62,1690050.0,1970.532,16.8801,0.749,0.0
2003-05-31,9.01,4412115.0,2329.9861,19.9593,0.8857,0.0
2003-06-30,9.6,10719530.0,2482.5601,21.2663,0.9437,0.0
2003-07-31,8.57,12065540.0,2216.2021,18.9846,0.8424,0.0
2003-08-31,9.2,8837990.0,2379.1201,20.3802,0.9044,0.0
2003-09-30,9.22,8297470.0,2384.2921,20.4245,0.9063,0.4
2003-10-31,9.38,9794975.0,2425.6681,20.7789,0.9221,0.4
2003-11-30,13.4,36738520.0,3465.2401,29.6842,1.3172,0.4
2003-12-31,13.85,32342480.0,3581.6101,30.681,1.3615,0.4
2004-01-31,10.65,11501300.0,2754.0901,23.5923,1.0469,0.4
2004-02-29,10.93,6344385.0,2826.4981,24.2125,1.0744,0.4
2004-03-31,10.89,6098035.0,2816.1541,11.3795,1.0286,0.4
2004-04-30,11.46,6687630.0,2963.5561,11.9751,1.0824,0.4
2004-05-31,9.22,4712095.0,2384.2921,9.6344,0.8708,0.4
2004-06-30,9.31,2360675.0,2407.5661,9.7285,0.8793,0.4
2004-07-31,11.02,7973500.0,2849.7721,11.5154,1.0409,0.4
2004-08-31,13.34,34330055.0,3449.7241,13.9396,1.26,0.4
