VIJAYA IN Equity,price,volume,mc,pe,bm,div
2021-09-30,569.95,41454952.0,58115.4795,31.0793,13.8268,0.0
2021-10-31,564.5,7496967.0,57559.7652,30.7821,13.6946,0.0
2021-11-30,576.5,4242885.0,58783.3563,31.4365,13.9857,0.0
2021-12-31,582.5,1883856.0,59395.1519,37.9177,14.0379,0.0
2022-01-31,516.35,1664773.0,52650.1059,33.6116,,0.0
2022-02-28,421.7,2495463.0,42999.031,27.4504,,0.0
2022-03-31,438.15,12443618.0,44676.3705,40.7203,9.5418,0.0
2022-04-30,457.7,1986120.0,46669.8043,42.5372,9.9675,0.0
2022-05-31,363.2,2466630.0,37034.0243,33.7546,7.9095,0.0
2022-06-30,333.2,3883040.0,33996.6486,36.0606,7.3303,0.0
2022-07-31,341.55,1637599.0,34848.6054,36.9643,,0.0
2022-08-31,355.15,1681869.0,36241.1919,38.4361,,0.0
2022-09-30,460.7,11475545.0,47020.7908,52.2928,9.3978,1.0
2022-10-31,437.1,3620545.0,44612.0852,49.6141,8.9164,1.0
2022-11-30,489.35,3834797.0,49947.5934,55.5448,9.9822,1.0
2022-12-31,437.15,9372825.0,44619.5779,55.1261,8.9358,1.0
2023-01-31,412.35,3267126.0,42088.2602,51.9987,,1.0
2023-02-28,377.7,1683118.0,38551.5603,47.6293,,1.0
2023-03-31,391.3,9261435.0,39940.4508,47.2014,7.3322,1.0
2023-04-30,377.5,10230688.0,38531.8686,45.5368,7.0736,1.0
2023-05-31,383.65,4041446.0,39159.6063,46.2786,7.1888,1.0
2023-06-30,472.7,12821483.0,48249.0444,51.6612,9.2256,1.0
2023-07-31,449.4,1992817.0,45891.5115,49.1148,,1.0
2023-08-31,521.0,4179379.0,53203.1097,56.9399,,1.0
2023-09-30,499.2,3725474.0,51051.927,49.3281,8.555,1.0
2023-10-31,586.75,7231772.0,60005.4451,57.9792,10.0554,1.0
2023-11-30,638.8,7786787.0,65354.7586,63.1225,10.9474,1.0
2023-12-31,675.7,10492055.0,69129.9474,61.1493,11.2199,1.0
2024-01-31,660.4,3034535.0,67564.6252,59.7647,,1.0
2024-02-29,644.5,7513473.0,65961.7991,58.3258,,1.0
2024-03-31,636.6,3401211.0,65153.2682,54.7377,9.9139,1.0
2024-04-30,699.35,3804369.0,71575.4604,60.1333,10.8911,1.0
2024-05-31,813.6,22535627.0,83407.0802,69.957,12.6703,1.0
2024-06-30,748.9,3767057.0,76835.2303,61.7904,11.7336,1.0
2024-07-31,790.65,7174975.0,81118.6738,65.2351,,1.0
2024-08-31,912.6,10252555.0,93653.0836,75.297,,1.0
2024-09-30,959.35,6687407.0,98450.6747,74.0811,13.5816,1.0
2024-10-31,998.65,7693037.0,102483.7299,77.1158,14.1379,1.0
2024-11-30,1166.65,10550216.0,119732.6618,90.0888,16.5163,1.0
2024-12-31,1056.85,5799792.0,108463.9469,76.362,14.8734,1.0
2025-01-31,1034.8,16187854.0,106200.9673,74.7688,,1.0
2025-02-28,915.75,23549846.0,93989.1716,66.1669,,1.0
2025-03-31,1007.2,41286914.0,103375.2592,72.2007,12.9915,1.0
2025-04-30,1000.5,29044359.0,102687.5961,71.7204,12.9051,1.0
2025-05-31,956.3,7250466.0,98151.0727,68.552,12.335,1.0
2025-06-30,985.25,3995473.0,101172.4761,67.2526,12.7645,1.0
2025-07-31,1075.05,12562362.0,110393.7787,73.3823,,1.0
2025-08-31,1007.8,3929391.0,103526.1905,68.7918,,2.0
2025-09-30,1000.0,2937117.0,102724.936,67.7048,11.8747,2.0
2025-10-31,988.65,1659218.0,101559.008,66.9364,11.7399,2.0
2025-11-30,998.05,2990274.0,102524.6224,67.5728,11.8516,2.0
2025-12-31,1061.0,11386264.0,108991.1571,68.2315,12.4453,2.0
2026-01-31,958.7,2252804.0,98647.0931,61.6527,,2.0
2026-02-28,1004.5,2331989.0,103359.7633,64.5981,,2.0
2026-03-31,955.9,258297.0,98358.9848,61.4727,,2.0
