VOLT IN Equity,price,volume,mc,pe,bm,div
1995-01-31,11.88,,3929.2001,,,0.0
1995-02-28,10.5,,3474.2401,,,0.0
1995-03-31,9.75,,3226.0801,,,0.0
1995-04-30,9.0,,2977.9201,,,0.0
1995-05-31,9.65,,3192.9921,,,0.0
1995-06-30,8.8,,2911.7441,,,0.0
1995-07-31,8.65,,2862.1121,,,0.35
1995-08-31,8.1,,2680.1281,,,0.35
1995-09-30,7.8,,2580.8641,,,0.35
1995-10-31,7.7,,2547.7761,,,0.35
1995-11-30,7.15,,2365.7921,,,0.35
1995-12-31,7.5,,2481.6001,,,0.35
1996-01-31,6.65,,2200.3521,,,0.35
1996-02-29,6.5,,2150.7201,,,0.35
1996-03-31,7.0,,2316.1601,,,0.35
1996-04-30,7.8,,2580.8641,,,0.35
1996-05-31,6.85,623500.0,2266.5281,,,0.35
1996-06-30,6.0,3455000.0,1985.2801,,,0.35
1996-07-31,5.4,531500.0,1786.7521,,,0.25
1996-08-31,4.53,1028600.0,1497.2321,,,0.25
1996-09-30,3.55,381680.0,1174.624,,,0.25
1996-10-31,3.25,623000.0,1075.36,,,0.25
1996-11-30,2.98,1003560.0,984.368,,,0.25
1996-12-31,3.25,322600.0,1075.36,,,0.25
1997-01-31,3.28,402630.0,1083.632,,,0.25
1997-02-28,3.3,199110.0,1091.904,,,0.25
1997-03-31,2.8,538820.0,926.464,,,0.25
1997-04-30,2.49,919180.0,823.8912,,,0.25
1997-05-31,2.36,1289330.0,782.5312,,,0.25
1997-06-30,2.48,2900520.0,818.928,,,0.25
1997-07-31,3.25,4585490.0,1075.36,,,0.25
1997-08-31,2.83,4531440.0,934.736,,,0.25
1997-09-30,2.53,863050.0,835.472,,,0.0
1997-10-31,2.48,1890430.0,827.2,,,0.0
1997-11-30,2.42,1870610.0,802.384,,,0.0
1997-12-31,2.73,602260.0,901.648,,,0.0
1998-01-31,2.44,2062380.0,805.6928,,,0.0
