VTEX IN Equity,price,volume,mc,pe,bm,div
1995-01-31,28.0,,,,,0.2667
1995-02-28,27.33,,,,,0.2667
1995-03-31,26.33,,,,,0.2667
1995-04-30,24.0,,,,,0.2667
1995-05-31,22.13,,,,,0.2667
1995-06-30,19.87,,,,,0.2667
1995-07-31,20.53,,,,,0.2667
1995-08-31,16.93,,,,,0.4
1995-09-30,20.13,,,,,0.4
1995-10-31,17.73,,,,,0.4
1995-11-30,16.0,,,,,0.4
1995-12-31,14.27,,,,,0.4
1996-01-31,11.73,,,,,0.4
1996-02-29,16.27,,,,,0.4
1996-03-31,16.27,,,,,0.4
1996-04-30,15.33,,,,,0.4
1996-05-31,14.33,2250.0,2768.125,,,0.4
1996-06-30,12.0,101250.0,2317.5,,,0.4
1996-07-31,11.47,100875.0,2214.5,,,0.4
1996-08-31,10.27,22260.0,1982.75,,,0.4
1996-09-30,9.0,241163.0,1738.125,,,0.4
1996-10-31,7.33,588510.0,1416.25,,,0.4
1996-11-30,7.0,515760.0,1351.875,,,0.4
1996-12-31,7.6,1318943.0,1467.75,,,0.4
1997-01-31,9.6,226380.0,1854.0,,,0.4
1997-02-28,9.67,12375.0,1866.875,,,0.4
1997-03-31,9.6,1920855.0,1854.0,,,0.4
1997-04-30,9.2,9375.0,1776.75,,,0.4
1997-05-31,9.4,120255.0,1815.375,,,0.4
1997-06-30,9.87,16223.0,1905.5,,,0.4267
1997-07-31,8.63,292980.0,1667.3125,,,0.4267
1997-08-31,8.93,345225.0,1725.25,,,0.4267
1997-09-30,8.0,47520.0,1545.0,,,0.4267
1997-10-31,7.47,87150.0,1442.0,,,0.4267
1997-11-30,6.53,661193.0,1261.75,,,0.4267
1997-12-31,6.6,482138.0,1274.625,,,0.4267
1998-01-31,6.13,303300.0,1184.5,,,0.4267
1998-02-28,6.53,72443.0,1261.75,,,0.4267
1998-03-31,6.6,68625.0,1274.625,,,0.4267
1998-04-30,8.07,397110.0,1557.875,,,0.4267
1998-05-31,8.67,1003860.0,1673.75,,,0.4267
1998-06-30,7.17,316875.0,1385.35,,,0.5333
1998-07-31,7.6,211125.0,1467.75,,,0.5333
1998-08-31,6.8,24750.0,1313.25,,,0.5333
1998-09-30,7.6,131438.0,1467.75,,,0.5333
1998-10-31,7.07,29430.0,1364.75,,,0.5333
1998-11-30,7.2,7500.0,1390.5,,,0.5333
1998-12-31,6.8,17925.0,1313.25,,,0.5333
1999-01-31,6.42,128985.0,1239.8625,,,0.5333
1999-02-28,5.47,1030035.0,1055.75,,,0.5333
1999-03-31,5.4,306413.0,1042.875,,,0.5333
1999-04-30,5.2,562890.0,1004.25,,,0.5333
1999-05-31,5.47,239490.0,1055.75,,,0.5333
1999-06-30,5.92,424313.0,1143.3,,,0.5333
1999-07-31,7.33,277935.0,1416.25,,,0.5333
1999-08-31,9.4,1568918.0,1815.375,,,0.5333
1999-09-30,7.47,357458.0,1442.0,,,0.5333
1999-10-31,7.67,395348.0,1480.625,,,0.5333
1999-11-30,8.6,155888.0,1660.875,,,0.5333
1999-12-31,8.53,318143.0,1648.0,,,0.5333
2000-01-31,8.2,458070.0,1583.625,,,0.5333
2000-02-29,7.33,198000.0,1416.25,,,0.5333
2000-03-31,6.73,997875.0,1300.375,,,0.5333
2000-04-30,6.27,69000.0,1210.25,,,0.9333
2000-05-31,5.77,46875.0,1113.6875,,,0.9333
2000-06-30,6.0,138270.0,1158.75,,,0.9333
2000-07-31,6.04,215250.0,1166.475,,,0.56
2000-08-31,5.81,381225.0,1121.4125,,,0.56
2000-09-30,5.43,1286903.0,1049.3125,,,0.56
2000-10-31,5.6,165803.0,1081.5,,,0.56
2000-11-30,5.75,78840.0,1109.825,,,0.56
2000-12-31,5.67,265928.0,1094.375,,,0.56
2001-01-31,5.87,140408.0,1133.0,,,0.56
2001-02-28,6.01,211808.0,1161.325,,,0.56
2001-03-31,6.17,419445.0,1190.9375,,,0.56
2001-04-30,5.85,170468.0,1130.425,,,0.56
2001-05-31,6.02,2805773.0,1162.6125,,,0.56
2001-06-30,5.79,203235.0,1118.8375,,,0.0933
2001-07-31,4.53,7815.0,875.5,,,0.56
2001-08-31,4.83,51023.0,933.4375,,,0.56
2001-09-30,4.25,426390.0,821.425,,,0.56
2001-10-31,4.23,75848.0,816.275,,,0.56
2001-11-30,4.45,39923.0,860.05,,,0.56
2001-12-31,4.65,96930.0,898.675,,,0.56
2002-01-31,4.47,44573.0,862.625,,,0.56
2002-02-28,4.63,425618.0,893.525,,,0.56
2002-03-31,4.8,587460.0,927.0,3.378,0.2167,0.56
2002-04-30,5.33,78338.0,1030.0,3.7533,0.2408,0.56
2002-05-31,6.47,380370.0,1248.875,4.5509,0.292,0.56
2002-06-30,8.87,1729598.0,1712.375,6.2399,0.4003,0.56
2002-07-31,8.45,2305763.0,1631.2625,5.9444,0.3814,0.56
2002-08-31,7.0,102720.0,1351.875,4.9263,0.3161,0.56
2002-09-30,7.27,264863.0,1403.375,5.1139,0.3281,0.56
2002-10-31,7.6,176228.0,1467.75,5.3485,0.3431,0.56
2002-11-30,8.25,440385.0,1593.925,5.8083,0.3726,0.56
2002-12-31,8.13,197888.0,1570.75,5.7238,0.3672,0.56
2003-01-31,8.17,172238.0,1578.475,5.752,0.369,0.56
2003-02-28,8.18,210510.0,1579.7625,5.7567,0.3693,0.56
2003-03-31,7.77,304193.0,1499.9375,2.9039,0.3193,0.56
2003-04-30,8.8,176273.0,1699.5,3.2902,0.3618,0.56
2003-05-31,12.22,2152478.0,2359.9875,4.5689,0.5024,0.56
2003-06-30,11.11,1145273.0,2146.2625,4.1552,0.4569,0.56
2003-07-31,11.81,8414228.0,2281.45,4.4169,0.4857,0.56
2003-08-31,11.32,2850525.0,2186.175,4.2324,0.4654,0.56
2003-09-30,11.42,4415948.0,2205.4875,4.2698,0.4695,0.56
2003-10-31,10.45,2983298.0,2018.8,3.9084,0.4298,0.56
2003-11-30,19.57,13508273.0,3780.1,7.3183,0.8048,0.56
2003-12-31,22.91,7069680.0,4425.1375,8.5671,0.9421,0.56
2004-01-31,21.79,4170563.0,4208.8375,8.1483,0.896,0.56
2004-02-29,18.99,1724220.0,3668.0875,7.1014,0.7809,0.56
2004-03-31,18.23,1913625.0,3521.3125,4.9313,0.6653,0.56
2004-04-30,18.48,829860.0,3568.95,4.9981,0.6743,0.56
2004-05-31,17.02,849848.0,3286.9875,4.6032,0.621,0.56
2004-06-30,17.57,1169670.0,3392.5625,4.751,0.641,0.56
2004-07-31,21.85,7008113.0,4219.1375,5.9086,0.7971,0.56
2004-08-31,26.69,7272878.0,5155.15,7.2194,0.974,0.6
2004-09-30,28.09,4846958.0,5425.525,7.5981,1.025,0.6
2004-10-31,33.44,1797683.0,6458.1,9.0441,1.2201,0.6
2004-11-30,38.7,4584090.0,7473.9375,10.4667,1.4121,0.6
