WELSPUNL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,14.2,,,,,0.0
1995-02-28,12.67,,,,,0.0
1995-03-31,11.83,,,,,0.0
1995-04-30,10.79,,,,,0.0
1995-05-31,9.67,,,,,0.0
1995-06-30,11.26,,,,,0.0
1995-07-31,9.39,,,,,0.0
1995-08-31,9.39,,,,,0.0
1995-09-30,8.35,,,,,0.0
1995-10-31,8.26,,,,,0.2
1995-11-30,7.98,,,,,0.2
1995-12-31,7.88,,,,,0.2
1996-01-31,7.6,,,,,0.2
1996-02-29,7.51,,,,,0.2
1996-03-31,7.41,,,,,0.2
1996-04-30,6.76,,,,,0.2
1996-05-31,6.19,104000.0,,,,0.2
1996-06-30,5.66,286000.0,,,,0.2
1996-07-31,5.61,377000.0,,,,0.2
1996-08-31,5.26,257500.0,,,,0.2
1996-09-30,4.69,165000.0,,,,0.2
1996-10-31,4.04,101000.0,,,,0.2
1996-11-30,3.85,94500.0,,,,0.21
1996-12-31,4.88,79500.0,,,,0.21
1997-01-31,4.88,216500.0,,,,0.21
1997-02-28,4.15,232500.0,,,,0.21
1997-03-31,3.45,75000.0,,,,0.21
1997-04-30,2.25,35000.0,,,,0.21
1997-05-31,1.88,70000.0,,,,0.15
1997-06-30,2.25,48000.0,,,,0.15
1997-07-31,2.11,47000.0,,,,0.15
1997-08-31,1.69,68000.0,,,,0.15
1997-09-30,1.03,779500.0,,,,0.15
1997-10-31,1.53,255000.0,,,,0.15
1997-11-30,1.03,306000.0,,,,0.15
1997-12-31,1.03,109000.0,,,,0.15
1998-01-31,0.94,122000.0,,,,0.15
1998-02-28,0.84,121000.0,,,,0.15
1998-03-31,1.25,223000.0,,,,0.15
1998-04-30,1.27,197000.0,,,,0.15
1998-05-31,1.05,46000.0,,,,0.15
1998-06-30,0.94,27000.0,,,,0.15
1998-07-31,0.91,38000.0,,,,0.15
1998-08-31,1.17,88000.0,,,,0.15
1998-09-30,1.11,18000.0,,,,0.15
1998-10-31,1.41,145000.0,,,,0.15
1998-11-30,1.35,242500.0,,,,0.15
