WLCO IN Equity,price,volume,mc,pe,bm,div
1997-04-30,9.51,7350.0,,,,0.0
1997-05-31,6.56,3850.0,,,,0.0
1997-06-30,9.38,3570.0,,,,0.0
1997-07-31,13.39,1400.0,,,,0.0
1997-08-31,11.38,1120.0,,,,0.0
1997-09-30,12.32,7700.0,,,,0.0
1997-10-31,6.03,2100.0,,,,0.0
1997-11-30,6.03,1540.0,,,,0.0
1997-12-31,3.35,3290.0,,,,0.0
1998-01-31,5.36,280.0,,,,0.0
1998-02-28,7.77,1330.0,,,,0.0
1998-03-31,13.39,15120.0,,,,0.0
1998-04-30,7.37,11270.0,,,,0.0
1998-05-31,5.36,1260.0,,,,0.0
1998-06-30,5.36,420.0,,,,0.0
1998-09-30,9.38,2870.0,,,,0.0
1998-11-30,5.36,1190.0,,,,0.0
1999-01-31,10.58,560.0,,,,0.0
1999-02-28,5.02,560.0,,,,0.0
1999-03-31,10.98,329980.0,,,,0.0
1999-04-30,6.03,19530.0,,,,0.0
1999-05-31,6.5,13160.0,,,,0.0
1999-06-30,7.37,17780.0,,,,0.0
1999-07-31,4.02,22960.0,,,,0.0
1999-08-31,11.05,123340.0,,,,0.0
1999-09-30,8.04,118440.0,,,,0.0
1999-10-31,9.71,78820.0,,,,0.0
1999-11-30,12.59,125230.0,,,,0.0
1999-12-31,13.66,130200.0,,,,0.0
2000-01-31,10.05,90860.0,,,,0.0
2000-02-29,11.92,100800.0,,,,0.0
2000-03-31,12.52,71890.0,,,,0.0
2000-04-30,9.11,23800.0,,,,0.0
2000-05-31,10.05,15820.0,,,,0.0
2000-06-30,8.04,87500.0,,,,0.0
2000-07-31,9.98,39481.0,,,,0.0
2000-08-31,12.39,17023.0,,,,0.0
2000-09-30,13.13,43018.0,,,,0.0
2000-10-31,9.38,287.0,,,,0.0
2000-11-30,13.46,418570.0,,,,0.0
2000-12-31,12.72,807871.0,,,,0.0
2001-01-31,18.28,1901082.0,,,,0.0
2001-02-28,15.54,4173442.0,,,,0.0
2001-03-31,8.04,1140031.0,,,,0.0
2001-04-30,13.13,712277.0,,,,0.0
2001-05-31,12.66,475903.0,,,,0.0
2001-06-30,10.78,619645.0,987.8944,,,0.0
2001-07-31,7.9,395313.0,724.0468,,,0.0
2001-08-31,9.44,326894.0,865.1746,,,0.0
2001-09-30,8.1,123146.0,742.4548,,,0.0
2001-10-31,10.58,286010.0,969.4864,,,0.0
2001-11-30,15.6,1435127.0,1429.6857,,,0.0
2001-12-31,12.72,2899478.0,1165.8381,,,0.0
2002-01-31,13.06,2018332.0,1196.5181,,,0.0
2002-02-28,13.13,3260604.0,1202.6541,,,0.0
2002-03-31,11.72,3445943.0,1073.7983,,,0.0
2002-04-30,11.18,317701.0,1024.7104,,,0.0
2002-05-31,9.58,275146.0,877.4466,,,0.0
2002-06-30,13.8,933651.0,1455.9648,,,0.0
2002-07-31,11.52,1219679.0,1215.6599,,,0.0
2002-08-31,10.78,153580.0,1137.9142,,,0.0
2002-09-30,10.05,171121.0,1060.1685,,,0.0
2002-10-31,9.51,85612.0,1003.6262,,,0.0
2002-11-30,11.85,394291.0,1250.9989,,,0.0
2002-12-31,12.26,372966.0,1293.4056,,,0.0
2003-01-31,11.05,256969.0,1166.1854,,,0.0
2003-02-28,9.91,110473.0,1046.033,,,0.0
2003-03-31,9.51,104694.0,1003.6262,,,0.0
2003-04-30,10.05,76192.0,1060.1685,,,0.0
2003-05-31,14.2,2064329.0,1498.3715,,,0.0
2003-06-30,28.11,15968282.0,2967.0583,,,0.0
2003-07-31,32.35,30903517.0,3413.7427,,,0.0
2003-08-31,32.01,16210193.0,3378.4037,,,0.0
2003-09-30,45.81,78107345.0,4834.3685,,,0.0
2003-10-31,54.78,43740157.0,5781.4524,,,0.0
2003-11-30,58.2,28475712.0,6141.9097,,,0.0
2003-12-31,66.83,22240476.0,7053.6546,,,0.0
2004-01-31,52.3,9824487.0,5519.9442,,,0.0
2004-02-29,43.93,6000505.0,4636.4704,,,0.0
2004-03-31,40.11,5824294.0,4233.6063,,,0.0
2004-04-30,49.22,6004994.0,5194.8258,,,0.0
2004-05-31,37.03,2687796.0,3908.488,,,0.0
2004-06-30,38.98,5212438.0,4113.4539,,,0.0
2004-07-31,43.6,8208842.0,4601.1314,,,0.0
2004-08-31,47.15,14615542.0,4975.7243,,,0.0
2004-09-30,52.1,24119877.0,5498.7408,,,0.0
2004-10-31,52.97,17669609.0,5590.6221,,,0.0
2004-11-30,52.84,11994285.0,5576.4865,,,0.0
2004-12-31,59.07,15269401.0,6233.791,,,0.0
2005-01-31,54.65,31104023.0,5767.3168,,,0.0
2005-02-28,55.58,27891527.0,5866.2659,,,0.0
2005-03-31,47.01,14743071.0,4961.5887,,,0.0
2005-04-30,48.48,11777072.0,5116.6578,,,0.0
2005-05-31,56.77,25892671.0,6483.028,,,0.0
2005-06-30,62.91,26013709.0,7184.3299,,,0.0
2005-07-31,72.8,15055846.0,8314.1484,,,0.0
2005-08-31,71.53,9085304.0,8450.4159,,,0.0
2005-09-30,81.47,17334947.0,9758.4353,,,0.0
2005-10-31,89.16,75121312.0,10679.2543,,,0.0
2005-11-30,84.43,19496658.0,10200.7107,,,0.0
2005-12-31,81.0,16621091.0,10512.4605,,,0.0
2006-01-31,90.47,14719776.0,11871.9605,,,0.0
2006-02-28,86.3,9605043.0,11324.497,,,0.0
2006-03-31,81.38,4335505.0,10706.1031,,,0.0
2006-04-30,72.61,11782462.0,9293.8349,,,0.0
2006-05-31,65.16,8937592.0,8572.283,,,0.0
2006-06-30,62.82,8035436.0,8263.9275,,,0.0
2006-07-31,62.3,8783469.0,8196.0893,,,0.0
2006-08-31,69.1,6945656.0,9090.3202,,,0.0
2006-09-30,67.08,6291012.0,8825.1345,,,0.5
2006-10-31,65.44,14413878.0,8609.2856,,,0.5
2006-11-30,80.54,58496706.0,11067.6742,,,0.5
2006-12-31,87.0,32346140.0,11956.6958,,,0.5
2007-01-31,109.65,59190203.0,15068.2712,,,0.5
2007-02-28,99.99,25947493.0,14247.64,,,0.5
2007-03-31,97.41,24473713.0,14370.1281,9.1211,2.0843,0.5
2007-04-30,127.93,43082485.0,19078.4796,11.9785,2.7372,0.5
2007-05-31,167.54,52341939.0,24985.8871,15.6875,3.5848,0.5
2007-06-30,208.0,76606193.0,31205.7536,19.4755,4.4503,0.5
2007-07-31,234.48,70406746.0,35179.4409,21.9555,5.017,1.0
2007-08-31,232.09,37517074.0,36988.7241,21.7317,4.9659,1.0
2007-09-30,277.56,99763692.0,50578.6626,25.9893,5.9388,1.0
2007-10-31,308.73,73517949.0,56468.6942,28.9083,6.6058,1.0
2007-11-30,391.99,48846486.0,71696.2073,36.7038,8.3872,1.0
2007-12-31,428.18,28681913.0,78315.374,40.0923,9.1615,1.0
2008-01-31,443.13,39460749.0,81097.8576,41.4925,9.4814,1.0
2008-02-29,412.94,25279735.0,75610.3772,38.6658,8.8355,1.0
2008-03-31,359.22,30304662.0,65773.904,17.2124,4.0743,1.0
2008-04-30,376.85,29690381.0,69036.1208,18.0569,4.2742,1.0
2008-05-31,365.74,29052758.0,67000.8476,17.5246,4.1482,1.0
2008-06-30,284.78,23929867.0,53997.9401,13.6454,3.23,1.0
2008-07-31,308.31,20206553.0,58459.9921,14.773,3.4969,1.5
2008-08-31,299.73,10709350.0,59611.9325,14.362,3.3996,1.5
2008-09-30,222.62,15525819.0,44282.3344,10.667,2.525,1.5
2008-10-31,109.13,30151352.0,21707.5521,5.2291,1.2378,1.5
2008-11-30,75.52,16553293.0,15021.8498,3.6186,0.8565,1.5
